 	X	Y	Position	Time
1	25.827	1.054	34.978	0
2	25.898	1.054	35.049	3
3	25.969	1.068	35.120	6
4	26.039	1.054	35.191	9
5	26.110	1.054	35.261	12
6	26.181	1.068	35.332	15
7	26.245	1.046	35.396	18
8	26.315	1.061	35.466	21
9	26.362	1.085	35.513	24
10	26.411	1.058	35.562	27
11	26.464	1.054	35.615	30
12	26.519	1.079	35.670	33
13	26.543	1.061	35.694	36
14	26.601	1.035	35.752	39
15	26.634	1.066	35.785	42
16	26.669	1.061	35.820	45
17	26.696	1.039	35.847	48
18	26.733	1.068	35.884	51
19	26.755	1.061	35.906	54
20	26.775	1.061	35.926	57
21	26.795	1.061	35.946	60
22	26.803	1.068	35.955	63
23	26.813	1.035	35.964	66
24	26.803	1.068	35.955	69
25	26.803	1.068	35.955	72
26	26.810	1.026	35.962	75
27	26.803	1.068	35.955	78
28	26.795	1.061	35.946	81
29	26.775	1.061	35.926	84
30	26.755	1.061	35.906	87
31	26.733	1.068	35.884	90
32	26.696	1.039	35.847	93
33	26.669	1.061	35.820	96
34	26.613	1.061	35.765	99
35	26.594	1.043	35.745	102
36	26.527	1.061	35.679	105
37	26.483	1.074	35.634	108
38	26.431	1.046	35.583	111
39	26.386	1.061	35.537	114
40	26.315	1.061	35.466	117
41	26.245	1.046	35.396	120
42	26.181	1.054	35.332	123
43	26.105	1.087	35.257	126
44	26.032	1.046	35.183	129
45	25.962	1.061	35.113	132
46	25.885	1.088	35.036	135
47	25.756	1.054	34.908	138
48	25.696	1.052	34.847	141
49	25.614	1.088	34.765	144
50	25.522	1.061	34.673	147
51	25.403	1.054	34.554	150
52	25.320	1.079	34.472	153
53	25.219	1.061	34.370	156
54	25.120	1.054	34.271	159
55	25.026	1.089	34.177	162
56	24.908	1.054	34.059	165
57	24.821	1.043	33.972	168
58	24.724	1.096	33.875	171
59	24.618	1.061	33.769	174
60	24.501	1.058	33.652	177
61	24.408	1.087	33.559	180
62	24.285	1.073	33.436	183
63	24.202	1.043	33.353	186
64	24.091	1.089	33.242	189
65	23.987	1.080	33.138	192
66	23.891	1.042	33.043	195
67	23.785	1.073	32.936	198
68	23.696	1.072	32.847	201
69	23.581	1.058	32.732	204
70	23.493	1.068	32.644	207
71	23.402	1.092	32.553	210
72	23.301	1.055	32.452	213
73	23.205	1.072	32.356	216
