 ,X,Y,Position,Time
1,7.789,0.948,16.95,0
2,8.133,0.955,17.294,3
3,8.502,0.899,17.663,6
4,8.875,0.948,18.037,9
5,9.282,0.978,18.443,12
6,9.724,0.914,18.885,15
7,10.148,0.955,19.31,18
8,10.6,0.982,19.761,21
9,11.073,0.924,20.234,24
10,11.537,0.948,20.698,27
11,12.058,0.99,21.219,30
12,12.581,0.926,21.742,33
13,13.086,0.966,22.247,36
14,13.614,0.99,22.775,39
15,14.165,0.948,23.326,42
16,14.722,0.961,23.883,45
17,15.292,1.002,24.453,48
18,15.871,0.972,25.032,51
19,16.449,0.969,25.611,54
20,17.054,1.025,26.215,57
21,17.668,0.969,26.829,60
22,18.246,0.975,27.407,63
23,18.851,1.017,28.012,66
24,19.455,0.983,28.616,69
25,20.084,0.975,29.246,72
26,20.697,1.014,29.858,75
27,21.294,0.983,30.455,78
28,21.923,0.975,31.084,81
29,22.544,1.018,31.705,84
30,23.133,0.983,32.294,87
31,23.762,0.975,32.923,90
32,24.341,1.012,33.502,93
33,24.957,0.983,34.118,96
34,25.544,0.949,34.705,99
35,26.131,0.99,35.292,102
36,26.724,0.982,35.885,105
37,27.293,0.955,36.454,108
38,27.856,0.982,37.017,111
39,28.421,0.982,37.582,114
40,28.96,0.931,38.121,117
41,29.497,0.983,38.659,120
42,30.032,0.993,39.193,123
43,30.543,0.928,39.704,126
44,31.043,0.966,40.205,129
45,31.526,0.99,40.687,132
46,31.99,0.917,41.151,135
47,32.46,0.955,41.622,138
48,32.893,0.982,42.054,141
49,33.327,0.925,42.488,144
50,33.725,0.928,42.886,147
51,34.122,0.969,43.284,150
52,34.482,0.91,43.644,153
53,34.836,0.91,43.997,156
54,35.183,0.969,44.344,159
55,35.507,0.937,44.669,162
56,35.784,0.919,44.946,165
57,36.067,0.955,45.228,168
58,36.315,0.919,45.476,171
59,36.533,0.91,45.695,174
60,36.774,0.955,45.936,177
61,36.951,0.919,46.112,180
62,37.1,0.898,46.261,183
63,37.269,0.955,46.431,186
64,37.411,0.941,46.572,189
65,37.496,0.905,46.657,192
66,37.588,0.955,46.749,195
67,37.658,0.955,46.82,198
68,37.665,0.898,46.827,201
69,37.682,0.947,46.843,204
70,37.667,0.946,46.828,207
71,37.658,0.884,46.82,210
72,37.623,0.941,46.784,213
73,37.531,0.955,46.692,216
74,37.446,0.884,46.607,219
75,37.328,0.947,46.49,222
76,37.199,0.955,46.36,225
77,37.049,0.911,46.21,228
78,36.861,0.935,46.022,231
79,36.654,0.948,45.815,234
80,36.433,0.919,45.594,237
81,36.205,0.929,45.367,240
82,35.961,0.955,45.122,243
83,35.665,0.935,44.827,246
84,35.378,0.925,44.539,249
85,35.071,0.972,44.232,252
86,34.733,0.948,43.894,255
87,34.378,0.928,43.539,258
88,34.039,0.968,43.2,261
89,33.663,0.955,42.824,264
90,33.247,0.928,42.408,267
91,32.867,0.984,42.028,270
92,32.425,0.955,41.586,273
93,31.983,0.925,41.144,276
94,31.541,0.975,40.702,279
95,31.088,0.98,40.249,282
96,30.619,0.944,39.78,285
97,30.119,0.982,39.28,288
98,29.632,0.975,38.793,291
99,29.134,0.944,38.295,294
100,28.586,0.99,37.747,297
101,28.083,0.983,37.244,300
102,27.569,0.961,36.73,303
103,27.015,0.99,36.176,306
104,26.476,1.003,35.637,309
105,25.954,0.975,35.115,312
106,25.396,0.983,34.557,315
107,24.829,1.017,33.99,318
108,24.264,0.983,33.425,321
109,23.706,0.99,32.868,324
110,23.144,1.021,32.305,327
111,22.575,0.99,31.736,330
112,22.029,0.99,31.19,333
113,21.476,1.013,30.637,336
114,20.933,0.975,30.094,339
115,20.367,0.975,29.529,342
116,19.802,1.025,28.963,345
117,19.271,0.99,28.432,348
118,18.734,0.983,27.895,351
119,18.171,1.008,27.332,354
120,17.665,0.99,26.826,357
121,17.114,0.975,26.275,360
122,16.603,1.018,25.765,363
123,16.117,0.983,25.278,366
124,15.607,0.968,24.768,369
125,15.088,0.993,24.249,372
126,14.632,0.983,23.793,375
127,14.144,0.955,23.305,378
128,13.72,0.99,22.881,381
129,13.26,0.99,22.421,384
130,12.81,0.948,21.971,387
131,12.411,0.99,21.573,390
132,12.022,0.975,21.184,393
133,11.629,0.926,20.79,396
134,11.244,0.975,20.406,399
135,10.894,0.966,20.055,402
136,10.545,0.928,19.707,405
137,10.249,0.972,19.41,408
138,9.947,0.966,19.108,411
139,9.636,0.925,18.797,414
140,9.406,0.955,18.567,417
141,9.131,0.971,18.292,420
142,8.919,0.928,18.08,423
143,8.699,0.955,17.86,426
144,8.522,0.969,17.683,429
145,8.353,0.928,17.514,432
146,8.194,0.948,17.355,435
147,8.065,0.966,17.226,438
148,7.991,0.919,17.153,441
149,7.897,0.943,17.058,444
150,7.821,0.98,16.982,447
151,7.789,0.948,16.95,450
152,7.779,0.919,16.94,453
153,7.767,0.972,16.929,456
154,7.789,0.948,16.95,459
155,7.815,0.919,16.976,462
156,7.898,0.974,17.059,465
157,7.982,0.948,17.143,468
158,8.07,0.928,17.231,471
159,8.175,0.969,17.336,474
160,8.345,0.955,17.506,477
161,8.495,0.928,17.656,480
162,8.696,0.966,17.857,483
163,8.899,0.972,18.06,486
164,9.123,0.919,18.284,489
165,9.338,0.966,18.499,492
166,9.615,0.966,18.776,495
167,9.872,0.929,19.033,498
168,10.172,0.972,19.333,501
169,10.467,0.975,19.628,504
170,10.812,0.928,19.973,507
171,11.138,0.969,20.3,510
172,11.507,0.98,20.668,513
173,11.867,0.949,21.029,516
174,12.242,0.983,21.403,519
175,12.651,0.982,21.812,522
176,13.048,0.955,22.209,525
177,13.466,0.98,22.627,528
178,13.905,1.003,23.067,531
179,14.356,0.975,23.517,534
180,14.78,0.975,23.942,537
181,15.244,1.01,24.405,540
182,15.7,0.975,24.861,543
183,16.195,0.975,25.356,546
184,16.692,1,25.853,549
185,17.185,0.975,26.346,552
186,17.68,0.975,26.841,555
187,18.171,1.008,27.332,558
188,18.677,0.983,27.838,561
189,19.172,0.983,28.333,564
190,19.69,1.015,28.852,567
191,20.213,1.012,29.374,570
192,20.728,0.983,29.889,573
193,21.255,1.01,30.416,576
194,21.78,1,30.941,579
195,22.277,0.975,31.438,582
196,22.787,0.99,31.948,585
197,23.302,1,32.463,588
198,23.826,0.983,32.987,591
199,24.328,0.99,33.489,594
200,24.839,1.002,34,597
201,25.325,0.983,34.486,600
202,25.848,0.99,35.009,603
203,26.33,1.012,35.491,606
204,26.806,0.966,35.967,609
205,27.298,0.975,36.459,612
206,27.768,0.993,36.93,615
207,28.215,0.966,37.376,618
208,28.671,0.98,37.832,621
209,29.128,0.982,38.29,624
210,29.558,0.966,38.719,627
211,29.957,0.969,39.118,630
212,30.385,0.993,39.546,633
213,30.788,0.955,39.949,636
214,31.188,0.955,40.349,639
215,31.541,0.975,40.702,642
216,31.907,0.961,41.068,645
217,32.248,0.941,41.41,648
218,32.573,0.98,41.734,651
219,32.885,0.955,42.046,654
220,33.185,0.925,42.347,657
221,33.486,0.969,42.647,660
222,33.743,0.948,42.904,663
223,34.013,0.929,43.174,666
224,34.228,0.955,43.39,669
225,34.45,0.948,43.611,672
226,34.653,0.919,43.814,675
227,34.83,0.955,43.991,678
228,34.997,0.961,44.158,681
229,35.148,0.919,44.309,684
230,35.254,0.955,44.415,687
231,35.37,0.948,44.531,690
232,35.448,0.925,44.61,693
233,35.511,0.948,44.672,696
234,35.582,0.948,44.743,699
235,35.601,0.929,44.762,702
236,35.608,0.955,44.769,705
237,35.608,0.955,44.769,708
238,35.578,0.937,44.739,711
239,35.523,0.948,44.684,714
240,35.466,0.969,44.627,717
241,35.378,0.925,44.539,720
242,35.299,0.948,44.46,723
243,35.157,0.948,44.319,726
244,35.012,0.937,44.173,729
245,34.836,0.929,43.997,732
246,34.688,0.969,43.849,735
247,34.476,0.955,43.637,738
248,34.264,0.955,43.425,741
249,34.052,0.969,43.213,744
250,33.804,0.955,42.965,747
251,33.531,0.948,42.692,750
252,33.241,0.966,42.402,753
253,32.965,0.948,42.126,756
254,32.67,0.944,41.831,759
255,32.319,0.975,41.48,762
256,31.984,0.971,41.146,765
257,31.647,0.955,40.808,768
258,31.287,0.98,40.448,771
259,30.896,0.982,40.058,774
260,30.516,0.955,39.677,777
261,30.119,0.982,39.28,780
262,29.709,0.983,38.871,783
263,29.29,0.961,38.451,786
264,28.854,0.975,38.015,789
265,28.429,0.99,37.591,792
266,28.002,0.966,37.164,795
267,27.545,0.99,36.707,798
268,27.086,0.99,36.247,801
269,26.599,0.971,35.76,804
270,26.158,0.982,35.319,807
271,25.667,1.008,34.828,810
272,25.183,0.983,34.345,813
273,24.728,0.982,33.889,816
274,24.251,1.017,33.412,819
275,23.755,0.983,32.916,822
276,23.267,0.99,32.428,825
277,22.772,1.025,31.933,828
278,22.284,0.983,31.445,831
279,21.789,0.983,30.95,834
280,21.327,1.015,30.488,837
281,20.847,0.99,30.008,840
282,20.367,0.975,29.529,843
283,19.874,1,29.036,846
284,19.392,0.99,28.554,849
285,18.953,0.975,28.114,852
286,18.48,1.012,27.641,855
287,18.034,0.99,27.195,858
288,17.574,0.99,26.735,861
289,17.129,0.99,26.291,864
290,16.692,1,25.853,867
291,16.266,0.975,25.427,870
292,15.856,0.99,25.018,873
293,15.443,0.992,24.604,876
294,15.063,0.975,24.225,879
295,14.646,0.983,23.807,882
296,14.293,0.983,23.454,885
297,13.929,0.964,23.091,888
298,13.578,0.975,22.739,891
299,13.24,0.99,22.401,894
300,12.921,0.948,22.082,897
301,12.591,0.966,21.752,900
302,12.297,0.982,21.458,903
303,12.022,0.955,21.184,906
304,11.74,0.975,20.901,909
305,11.507,0.98,20.668,912
306,11.244,0.955,20.406,915
307,11.032,0.955,20.194,918
308,10.832,0.978,19.993,921
309,10.643,0.955,19.805,924
310,10.467,0.955,19.628,927
311,10.325,0.975,19.486,930
312,10.184,0.955,19.345,933
313,10.06,0.925,19.221,936
314,9.972,0.975,19.133,939
315,9.873,0.969,19.034,942
316,9.83,0.955,18.991,945
317,9.762,0.966,18.923,948
318,9.75,0.948,18.911,951
319,9.729,0.924,18.89,954
320,9.724,0.969,18.885,957
321,9.759,0.975,18.921,960
322,9.795,0.944,18.956,963
323,9.833,0.966,18.994,966
324,9.904,0.966,19.065,969
325,10.007,0.935,19.168,972
326,10.116,0.966,19.277,975
327,10.246,0.982,19.407,978
328,10.393,0.944,19.554,981
329,10.537,0.955,19.698,984
330,10.725,0.971,19.886,987
331,10.901,0.948,20.062,990
332,11.113,0.948,20.274,993
333,11.33,0.99,20.492,996
334,11.563,0.955,20.724,999
335,11.813,0.966,20.974,1002
336,12.1,0.983,21.261,1005
337,12.379,0.966,21.54,1008
338,12.659,0.975,21.82,1011
339,12.968,0.992,22.129,1014
340,13.298,0.966,22.459,1017
341,13.62,0.98,22.781,1020
342,13.947,0.99,23.108,1023
343,14.304,0.971,23.466,1026
344,14.684,0.959,23.845,1029
345,15.07,0.983,24.232,1032
346,15.424,0.983,24.585,1035
347,15.841,0.975,25.002,1038
348,16.21,0.99,25.371,1041
349,16.626,0.983,25.787,1044
350,17.044,0.975,26.205,1047
351,17.47,1,26.631,1050
352,17.899,0.983,27.06,1053
353,18.316,0.975,27.478,1056
354,18.76,0.996,27.921,1059
355,19.2,0.99,28.362,1062
356,19.636,0.993,28.797,1065
357,20.087,1,29.248,1068
358,20.524,0.99,29.685,1071
359,20.979,0.982,30.141,1074
360,21.428,0.99,30.589,1077
361,21.883,1.016,31.044,1080
362,22.34,0.983,31.502,1083
363,22.772,0.975,31.933,1086
364,23.209,1.012,32.371,1089
365,23.664,0.976,32.825,1092
366,24.123,0.983,33.284,1095
367,24.535,1.008,33.697,1098
368,24.971,0.983,34.132,1101
369,25.396,0.983,34.557,1104
370,25.848,0.99,35.009,1107
371,26.237,0.975,35.398,1110
372,26.661,0.975,35.823,1113
373,27.079,0.997,36.24,1116
374,27.458,0.982,36.62,1119
375,27.864,0.975,37.025,1122
376,28.242,0.993,37.403,1125
377,28.613,0.98,37.774,1128
378,28.992,0.966,38.154,1131
379,29.341,0.982,38.502,1134
380,29.691,0.972,38.852,1137
381,29.997,0.961,39.158,1140
382,30.331,0.982,39.492,1143
383,30.622,0.975,39.783,1146
384,30.916,0.937,40.078,1149
385,31.199,0.972,40.361,1152
386,31.47,0.975,40.632,1155
387,31.744,0.948,40.905,1158
388,31.965,0.975,41.127,1161
389,32.213,0.955,41.374,1164
390,32.399,0.948,41.561,1167
391,32.605,0.966,41.766,1170
392,32.785,0.98,41.946,1173
393,32.956,0.955,42.117,1176
394,33.097,0.955,42.258,1179
395,33.238,0.955,42.4,1182
396,33.344,0.955,42.506,1185
397,33.46,0.948,42.621,1188
398,33.557,0.955,42.718,1191
399,33.602,0.948,42.763,1194
400,33.663,0.955,42.824,1197
