t,y,v_{y},v_{x},x
0.4,0.000341295,3.64E-05,-4.46E-06,0.000508886
0.6,0.000357615,8.33E-05,-6.52E-06,0.000507408
0.8,0.000374623,8.38E-05,-1.64E-06,0.000506279
1,0.000391126,9.31E-05,-4.68E-07,0.000506751
1.2,0.000411851,9.46E-05,-6.87E-06,0.000506092
1.4,0.000428985,9.55E-05,-4.67E-06,0.000504003
1.6,0.000450056,0.000101819,-3.06E-06,0.000504223
1.8,0.000469712,0.000100753,-8.47E-06,0.00050278
2,0.000490357,1.96E-05,6.55E-07,0.000500834
2.2,0.000477534,-8.27E-05,7.49E-06,0.000503042
2.4,0.000457287,-8.63E-05,9.40E-07,0.000503829
2.6,0.000443031,-6.50E-05,-2.63E-06,0.000503418
2.8,0.000431299,-3.99E-05,-6.61E-05,0.000502777
3,0.000427069,2.26E-05,-4.57E-06,0.000476967
3.2,0.000440319,8.64E-05,6.19E-05,0.000500949
3.4,0.000461644,9.46E-05,3.51E-06,0.000501745
3.6,0.000478162,7.82E-05,2.15E-06,0.000502354
3.8,0.00049294,0.000100447,-1.35E-06,0.000502606
4,0.000518341,0.000107053,-1.05E-05,0.000501813
4.2,0.000535762,9.79E-05,-9.03E-06,0.000498397
4.4,0.000557517,0.000106859,-5.20E-06,0.000498201
4.6,0.000578505,0.000101141,-3.35E-06,0.000496316
4.8,0.000597974,0.000102685,6.90E-06,0.000496861
5,0.000619579,0.000103182,-4.80E-06,0.000499075
5.2,0.000639247,9.98E-05,-6.82E-06,0.000494943
5.4,0.000659504,9.32E-05,2.44E-06,0.000496348
5.6,0.000676521,9.22E-05,-9.95E-06,0.000495918
5.8,0.000696398,0.000103988,-1.75E-05,0.000492367
6,0.000718117,0.000102828,-2.17E-05,0.000488922
6.2,0.000737529,9.38E-05,-2.54E-05,0.000483674
6.4,0.000755643,8.91E-05,-1.50E-05,0.000478764
6.6,0.000773149,0.00010422,-1.30E-05,0.000477678
6.8,0.00079733,0.000107233,-1.21E-05,0.000473557
7,0.000816042,8.65E-05,-8.99E-06,0.000472824
7.2,0.000831915,9.21E-05,-9.18E-06,0.000469962
7.4,0.000852878,0.000104992,-8.26E-06,0.00046915
7.6,0.000873912,0.000106833,-6.43E-06,0.000466657
7.8,0.000895611,0.000101565,-9.96E-06,0.000466578
8,0.000914538,9.11E-05,-1.53E-05,0.000462675
8.2,0.000932033,8.87E-05,-1.99E-05,0.000460449
8.4,0.000950037,9.59E-05,-1.52E-05,0.000454704
8.6,0.000970383,8.65E-05,-1.39E-06,0.000454349
8.8,0.000984644,9.17E-05,-1.18E-05,0.000454149
9,0.00100705,9.72E-05,-2.18E-05,0.000449642
9.2,0.001023526,8.02E-05,-1.98E-05,0.000445431
9.4,0.001039116,8.30E-05,-8.26E-06,0.000441711
9.6,0.001056716,8.20E-05,-5.22E-06,0.000442126
9.8,0.001071926,8.38E-05,-8.44E-06,0.000439625
10,0.001090245,9.81E-05,-5.19E-06,0.000438748
10.2,0.001111171,9.24E-05,3.10E-06,0.000437549
10.4,0.001127189,9.60E-05,3.89E-06,0.00043999
10.6,0.001149563,0.000103696,-9.34E-07,0.000439104
10.8,0.001168668,8.16E-05,1.37E-06,0.000439616
11,0.001182188,8.81E-05,-1.37E-05,0.000439654
11.2,0.001203913,4.31E-06,-1.41E-05,0.000434153
11.4,0.001183912,-8.80E-05,3.46E-07,0.000434033
11.6,0.001168727,-6.85E-05,5.26E-06,0.000434291
11.8,0.001156505,-6.80E-05,5.98E-07,0.000436139
12,0.00114151,-7.60E-05,-5.99E-06,0.00043453
12.2,0.0011261,-6.91E-05,-2.10E-06,0.000433743
12.4,0.00111386,-6.90E-05,-5.12E-07,0.000433691
12.6,0.001098491,-7.30E-05,-4.40E-06,0.000433538
12.8,0.001084672,-7.57E-05,-2.77E-06,0.000431932
13,0.001068214,-8.48E-05,-4.16E-06,0.000432431
13.2,0.001050733,-7.38E-05,-1.13E-05,0.000430267
13.4,0.001038703,-5.99E-05,-5.67E-06,0.000427897
13.6,0.001026791,-6.01E-05,-9.70E-07,0.000428001
13.8,0.001014654,-6.89E-05,-2.06E-06,0.000427509
14,0.000999227,-7.40E-05,-7.51E-06,0.000427177
