t,y,v_{y},v_{x},x
192.4,-0.000173562,-5.18E-05,9.58E-06,0.000635285
192.6,-0.000187294,-7.95E-05,1.70E-05,0.00063708
192.8,-0.000205374,-8.19E-05,1.52E-05,0.000642081
193,-0.000220055,-7.39E-05,1.75E-06,0.000643165
193.2,-0.000234922,-7.88E-05,-2.81E-06,0.000642783
193.4,-0.000251571,-6.46E-05,-7.96E-06,0.000642043
193.6,-0.00026076,-6.01E-05,-3.55E-06,0.000639598
193.8,-0.000275597,-6.54E-05,1.16E-05,0.000640622
194,-0.00028691,-6.49E-05,1.10E-05,0.000644228
194.2,-0.000301553,-6.39E-05,5.44E-06,0.000645014
194.4,-0.000312455,-5.71E-05,-8.63E-06,0.000646406
194.6,-0.000324377,-6.41E-05,-3.00E-06,0.000641561
194.8,-0.000338094,-6.05E-05,7.50E-06,0.000645205
195,-0.000348567,-6.71E-05,-1.03E-05,0.000644562
195.2,-0.000364935,-7.67E-05,-1.08E-05,0.00064109
195.4,-0.000379246,-7.65E-05,5.25E-07,0.000640229
195.6,-0.00039555,-7.91E-05,-3.95E-06,0.0006413
195.8,-0.000410902,-7.09E-05,-1.52E-05,0.000638651
196,-0.0004239,-5.46E-05,-7.55E-06,0.000635217
196.2,-0.00043274,-0.000102213,1.46E-06,0.000635632
196.4,-0.000464785,-0.000178415,-3.89E-07,0.000635799
196.6,-0.000504106,-0.000148946,-1.41E-06,0.000635476
196.8,-0.000524363,-2.75E-05,8.12E-06,0.000635234
197,-0.000515111,5.63E-05,6.08E-06,0.000638724
197.2,-0.000501862,5.66E-05,-8.05E-06,0.000637666
197.4,-0.000492461,7.21E-05,-1.08E-05,0.000635505
197.6,-0.000473022,5.83E-05,-2.18E-06,0.000633345
197.8,-0.000469157,4.27E-05,5.15E-07,0.000634632
198,-0.000455947,7.11E-05,1.29E-06,0.000633551
198.2,-0.000440722,6.11E-05,9.31E-06,0.000635148
198.4,-0.00043152,5.66E-05,6.72E-06,0.000637277
198.6,-0.000418093,5.50E-05,4.20E-06,0.000637836
198.8,-0.000409501,5.44E-05,-4.86E-06,0.000638955
199,-0.000396316,6.03E-05,-1.19E-05,0.00063589
199.2,-0.000385372,5.55E-05,-1.50E-05,0.000634186
199.4,-0.000374096,6.02E-05,-1.17E-05,0.00062987
199.6,-0.00036131,5.37E-05,4.19E-06,0.000629496
199.8,-0.000352612,6.25E-05,9.86E-06,0.000631545
200,-0.000336311,5.65E-05,1.21E-06,0.000633442
200.2,-0.000330029,4.06E-05,-2.69E-06,0.000632028
200.4,-0.000320058,6.76E-05,-4.09E-06,0.000632364
200.6,-0.000302997,5.68E-05,-6.53E-06,0.000630392
200.8,-0.000297327,5.11E-05,-1.27E-05,0.000629754
201,-0.000282568,5.10E-05,-1.08E-05,0.000625302
201.2,-0.000276908,3.11E-05,-3.88E-06,0.000625442
201.4,-0.000270128,4.86E-05,-1.27E-05,0.000623749
201.6,-0.000257477,5.22E-05,-7.11E-06,0.000620377
201.8,-0.000249242,4.98E-05,-1.55E-06,0.000620905
202,-0.000237567,4.78E-05,5.65E-06,0.000619755
202.2,-0.00023012,4.82E-05,3.71E-06,0.000623166
202.4,-0.000218292,6.38E-05,-1.37E-05,0.000621238
202.6,-0.00020459,4.63E-05,-9.17E-06,0.000617679
202.8,-0.000199757,3.44E-05,-2.24E-05,0.000617568
203,-0.00019084,5.21E-05,-2.39E-05,0.000608722
203.2,-0.000178925,4.69E-05,-8.12E-06,0.000607995
203.4,-0.00017209,3.84E-05,-8.10E-07,0.000605474
203.6,-0.000163548,4.70E-05,5.35E-06,0.000607671
203.8,-0.000153281,5.38E-05,1.11E-05,0.000607612
204,-0.000142038,5.37E-05,5.91E-06,0.000612105
204.2,-0.000131792,5.14E-05,-6.84E-06,0.000609978
204.4,-0.000121471,5.89E-05,-1.82E-05,0.000609368
204.6,-0.000108221,6.55E-05,-2.99E-05,0.000602697
204.8,-9.53E-05,5.95E-05,-1.48E-05,0.000597389
205,-8.44E-05,4.45E-05,-1.07E-05,0.000596794
205.2,-7.75E-05,4.68E-05,-1.81E-05,0.000593094
205.4,-6.57E-05,6.37E-05,-1.27E-05,0.000589557
205.6,-5.20E-05,6.83E-05,-7.26E-06,0.000588001
205.8,-3.84E-05,5.81E-05,-1.39E-05,0.000586654
206,-2.87E-05,4.84E-05,-2.03E-05,0.00058246
206.2,-1.90E-05,5.24E-05,-2.30E-05,0.000578527
206.4,-7.80E-06,5.28E-05,-1.36E-05,0.000573279
206.6,2.08E-06,5.41E-05,-3.85E-06,0.000573097
206.8,1.38E-05,5.39E-05,-4.80E-06,0.000571738
207,2.36E-05,4.66E-05,3.56E-06,0.000571175
207.2,3.25E-05,5.61E-05,-9.38E-07,0.000573161
207.4,4.61E-05,5.13E-05,-7.94E-06,0.0005708
207.6,5.30E-05,4.86E-05,-4.89E-06,0.000569986
207.8,6.55E-05,5.37E-05,-5.29E-07,0.000568844
208,7.45E-05,5.41E-05,2.47E-06,0.000569774
208.2,8.71E-05,5.96E-05,-3.63E-06,0.000569831
208.4,9.83E-05,5.05E-05,-3.36E-06,0.000568323
208.6,0.000107335,5.12E-05,-5.10E-06,0.000568487
208.8,0.000118802,5.87E-05,-1.20E-05,0.000566285
209,0.000130831,6.22E-05,-4.90E-07,0.000563701
209.2,0.00014369,6.10E-05,9.25E-06,0.000566089
209.4,0.000155223,5.29E-05,2.43E-06,0.000567402
209.6,0.000164854,6.38E-05,-4.27E-06,0.000567061
209.8,0.000180748,7.85E-05,-4.53E-06,0.000565693
210,0.000196239,7.28E-05,5.74E-06,0.000565248
210.2,0.000209867,5.63E-05,1.19E-05,0.00056799
210.4,0.000218758,4.49E-05,-1.52E-06,0.000570002
210.6,0.000227836,5.01E-05,-3.12E-06,0.000567383
210.8,0.000238791,4.64E-05,-6.59E-06,0.000568752
211,0.000246398,4.26E-05,-9.84E-06,0.000564748
211.2,0.000255846,5.76E-05,7.57E-06,0.000564815
211.4,0.000269422,6.19E-05,9.11E-06,0.000567777
211.6,0.000280587,7.73E-05,-5.93E-07,0.000568457
211.8,0.000300331,8.40E-05,7.69E-06,0.000567539
212,0.000314182,6.14E-05,1.13E-05,0.000571533
212.2,0.000324879,5.21E-05,-8.59E-06,0.000572054
212.4,0.000335008,5.36E-05,-2.12E-05,0.000568098
212.6,0.000346303,5.66E-05,-7.87E-07,0.000563589
212.8,0.000357666,7.22E-05,6.54E-06,0.000567784
213,0.000375164,7.84E-05,-6.72E-07,0.000566206
213.2,0.00038902,6.14E-05,8.85E-06,0.000567515
213.4,0.000399726,5.59E-05,1.42E-05,0.000569744
213.6,0.000411375,5.96E-05,3.60E-06,0.000573177
213.8,0.000423548,4.99E-05,2.03E-06,0.000571186
214,0.000431335,3.42E-05,6.30E-06,0.000573989
214.2,0.000437247,5.07E-05,2.59E-06,0.000573705
214.4,0.000451623,6.07E-05,8.36E-07,0.000575026
214.6,0.000461512,5.56E-05,-1.65E-05,0.00057404
