,t,y,v_{y},v_{x},x
0,420.4,-0.000309472,-5.77E-05,-5.85E-06,0.000684049
1,420.6,-0.000322378,-6.14E-05,2.29E-05,0.000684361
2,420.8,-0.000334042,-7.15E-05,1.44E-05,0.000693217
3,421,-0.000350992,-2.39E-05,-8.46E-06,0.000690129
4,421.2,-0.000343612,4.33E-05,2.63E-06,0.000689835
5,421.4,-0.000333675,5.73E-05,-6.73E-06,0.000691179
6,421.6,-0.000320685,6.50E-05,-1.92E-05,0.000687145
7,421.8,-0.000307692,5.05E-05,-7.53E-06,0.000683494
8,422,-0.000300483,3.58E-05,-6.46E-06,0.000684132
9,422.2,-0.000293358,4.85E-05,-3.95E-06,0.000680909
10,422.4,-0.0002811,6.34E-05,-8.44E-06,0.000682551
11,422.6,-0.000268017,5.85E-05,-3.76E-06,0.000677535
12,422.8,-0.000257719,6.23E-05,3.24E-05,0.000681045
13,423,-0.000243096,5.36E-05,2.40E-05,0.000690477
14,423.2,-0.00023629,4.76E-05,7.73E-06,0.000690653
15,423.4,-0.000224075,2.93E-05,-6.91E-06,0.000693571
16,423.6,-0.000224561,-3.16E-05,-1.39E-05,0.000687888
17,423.8,-0.000236728,-6.86E-05,3.98E-06,0.000687997
18,424,-0.000252013,-7.16E-05,1.41E-05,0.00068948
19,424.2,-0.000265381,-5.96E-05,2.41E-06,0.000693636
20,424.4,-0.000275848,-6.89E-05,8.13E-06,0.000690444
21,424.6,-0.000292926,-7.54E-05,1.27E-05,0.000696888
22,424.8,-0.000306011,-6.86E-05,1.23E-05,0.000695529
23,425,-0.000320378,-7.85E-05,1.59E-05,0.000701811
24,425.2,-0.000337409,-6.11E-05,3.74E-06,0.000701896
25,425.4,-0.000344826,-5.80E-05,6.05E-06,0.000703306
26,425.6,-0.000360601,-7.81E-05,-1.60E-06,0.000704314
27,425.8,-0.000376068,-6.96E-05,-3.61E-06,0.000702664
28,426,-0.000388424,-6.96E-05,-2.36E-06,0.000702869
29,426.2,-0.000403925,-6.73E-05,-1.03E-05,0.00070172
