,t,x,y,v_{x},v_{y}
1,27.4,-0.00096,0.000925,2.56e-07,-5.38e-05
2,27.6,-0.0009590000000000001,0.000915,2.21e-07,-4.27e-05
3,27.8,-0.00096,0.000908,-5.89e-06,-5.1200000000000004e-05
4,28.0,-0.0009609999999999999,0.0008950000000000001,1.8699999999999999e-06,-4.39e-05
5,28.2,-0.0009590000000000001,0.000891,7.440000000000001e-06,-4.66e-05
6,28.4,-0.000958,0.0008759999999999999,9.16e-06,-5.9499999999999996e-05
7,28.6,-0.000955,0.000867,-3.3399999999999998e-06,-3.88e-05
8,28.8,-0.00096,0.000861,-4.8e-06,-3.37e-05
9,29.0,-0.0009570000000000001,0.000853,9.820000000000001e-06,-4.8e-05
10,29.2,-0.0009559999999999999,0.000841,1e-05,-6.86e-05
11,29.4,-0.000953,0.000826,9.990000000000001e-06,-5.92e-05
12,29.6,-0.000952,0.0008179999999999999,6.77e-06,-4.74e-05
13,29.8,-0.00095,0.0008070000000000001,-3.23e-06,-5.2e-05
14,30.0,-0.000953,0.0007970000000000001,-1.09e-05,-4.69e-05
15,30.2,-0.000955,0.000788,-1.11e-05,-4.46e-05
16,30.4,-0.000958,0.0007790000000000001,-8.97e-06,-4.61e-05
17,30.6,-0.000958,0.0007700000000000001,1e-06,-4.81e-05
18,30.8,-0.0009570000000000001,0.00076,1.01e-05,-5.17e-05
19,31.0,-0.0009540000000000001,0.0007490000000000001,7.540000000000001e-06,-4.24e-05
20,31.2,-0.0009540000000000001,0.0007430000000000001,4.5e-06,-3.9800000000000005e-05
21,31.4,-0.000952,0.000733,7.41e-07,-4.74e-05
22,31.6,-0.0009540000000000001,0.0007240000000000001,-2.8999999999999998e-06,-3.84e-05
23,31.8,-0.0009540000000000001,0.000718,8.750000000000001e-06,-3.51e-05
24,32.0,-0.00095,0.00071,9.76e-06,-4.5600000000000004e-05
25,32.2,-0.00095,0.0007,5.16e-07,-5.3e-05
26,32.4,-0.00095,0.000689,-2.2300000000000002e-06,-6.33e-05
27,32.6,-0.000951,0.000674,4.2e-06,-4.84e-05
28,32.8,-0.000948,0.0006690000000000001,1.24e-05,-2.57e-05
29,33.0,-0.000946,0.0006640000000000001,1.8e-05,-4.8e-05
30,33.2,-0.000941,0.0006500000000000001,7.53e-06,-5.6300000000000006e-05
31,33.4,-0.0009429999999999999,0.000642,-3.17e-06,-5.0700000000000006e-05
32,33.6,-0.0009429999999999999,0.00063,1.9699999999999998e-05,-5.28e-05
33,33.8,-0.0009350000000000001,0.00062,2.95e-05,-5.9e-05
34,34.0,-0.000931,0.000606,5.1600000000000006e-06,-6.560000000000001e-05
35,34.2,-0.0009329999999999999,0.000594,-5.35e-06,-3.83e-05
36,34.4,-0.0009329999999999999,0.0005909999999999999,1.02e-05,-5.04e-05
37,34.6,-0.000929,0.000574,9e-06,-6.110000000000001e-05
38,34.8,-0.000929,0.0005670000000000001,-1.57e-06,-4.880000000000001e-05
39,35.0,-0.000929,0.0005539999999999999,-1.01e-05,-5.52e-05
40,35.2,-0.0009329999999999999,0.0005440000000000001,-1.5e-05,-6.02e-05
41,35.4,-0.0009350000000000001,0.0005300000000000001,-5.510000000000001e-06,-6.02e-05
42,35.6,-0.0009350000000000001,0.0005200000000000001,-8.63e-06,-5.55e-05
43,35.8,-0.0009390000000000001,0.000508,-9.52e-06,-6.2e-05
44,36.0,-0.0009390000000000001,0.000496,-1.01e-05,-4.93e-05
45,36.2,-0.0009429999999999999,0.000488,-1.18e-05,-6.12e-05
46,36.4,-0.0009440000000000001,0.00047100000000000006,2.12e-06,-5.59e-05
47,36.6,-0.0009420000000000001,0.00046600000000000005,-1.04e-05,-3.5900000000000005e-05
48,36.8,-0.000948,0.00045700000000000005,-2.3800000000000003e-05,-6.17e-05
49,37.0,-0.000951,0.000441,-2.24e-05,-7.32e-05
