,t,x,y,v_{x},v_{y}
0,254,0.000284,-0.000426,-1.09E-05,-2.76E-05
1,254,0.000282,-0.000435,-1.59E-05,-5.79E-05
2,254,0.000277,-0.00045,-1.77E-05,-4.63E-05
3,254,0.000275,-0.000453,-9.74E-06,-2.18E-05
4,254,0.000273,-0.000458,-1.90E-06,-3.98E-05
5,255,0.000274,-0.000469,2.45E-06,-4.11E-05
6,255,0.000274,-0.000475,3.04E-05,-5.14E-05
7,255,0.000286,-0.00049,3.14E-05,-5.29E-05
8,255,0.000287,-0.000496,1.14E-06,-3.45E-05
9,255,0.000287,-0.000504,-8.42E-07,-4.44E-05
10,256,0.000287,-0.000514,1.32E-06,-6.48E-05
11,256,0.000287,-0.000529,2.69E-07,-6.76E-05
12,256,0.000287,-0.000541,-2.33E-06,-4.65E-05
13,256,0.000286,-0.000548,-7.09E-06,-3.44E-05
14,256,0.000284,-0.000555,-1.12E-05,-4.12E-05
15,257,0.000282,-0.000565,-1.09E-05,-6.66E-05
16,257,0.000279,-0.000581,-1.15E-05,-6.42E-05
17,257,0.000277,-0.00059,4.12E-06,-3.02E-05
18,257,0.000281,-0.000593,2.19E-05,-3.61E-05
19,257,0.000286,-0.000605,2.23E-05,-3.62E-05
20,258,0.00029,-0.000608,8.34E-06,-2.98E-05
21,258,0.000289,-0.000617,-2.24E-06,-4.86E-05
22,258,0.000289,-0.000627,-4.18E-06,-4.57E-05
23,258,0.000288,-0.000635,-6.32E-06,-3.74E-05
24,258,0.000287,-0.000642,2.91E-06,-3.24E-05
25,259,0.000289,-0.000648,8.20E-06,-2.06E-05
26,259,0.00029,-0.00065,1.89E-08,-3.64E-05
27,259,0.000289,-0.000662,-9.15E-06,-5.44E-05
28,259,0.000286,-0.000672,5.42E-06,-5.60E-05
29,259,0.000291,-0.000685,7.21E-06,-4.50E-05
30,260,0.000289,-0.00069,-1.12E-05,-2.25E-05
31,260,0.000287,-0.000694,-2.82E-06,-4.58E-05
32,260,0.000288,-0.000709,-6.87E-07,-5.86E-05
33,260,0.000286,-0.000717,-9.81E-06,-3.75E-05
34,260,0.000284,-0.000724,-9.60E-07,-5.24E-05
35,261,0.000286,-0.000738,3.12E-06,-6.34E-05
36,261,0.000285,-0.000749,-7.72E-06,-3.27E-05
37,261,0.000283,-0.000751,-8.10E-06,-2.35E-05
38,261,0.000282,-0.000758,9.27E-07,-3.70E-05
39,261,0.000283,-0.000766,8.35E-06,-4.15E-05
40,262,0.000285,-0.000775,1.67E-05,-2.99E-05
41,262,0.00029,-0.000778,2.30E-05,-2.35E-05
42,262,0.000295,-0.000784,2.00E-05,-3.60E-05
43,262,0.000298,-0.000792,1.92E-05,-3.52E-05
44,262,0.000302,-0.000798,1.75E-05,-2.50E-05
45,263,0.000305,-0.000802,3.05E-06,-3.74E-05
46,263,0.000303,-0.000813,-2.32E-06,-3.78E-05
47,263,0.000304,-0.000818,-1.28E-05,-2.76E-05
48,263,0.000298,-0.000824,-1.54E-06,-4.00E-05
49,263,0.000303,-0.000834,1.89E-05,-2.59E-05
50,264,0.000306,-0.000835,7.44E-06,-2.38E-05
51,264,0.000306,-0.000843,1.06E-06,-4.33E-05
52,264,0.000306,-0.000852,-1.55E-05,-3.72E-05
53,264,0.0003,-0.000858,-1.40E-05,-4.73E-05
54,264,0.000301,-0.000871,-5.66E-06,-5.44E-05
55,265,0.000298,-0.00088,-6.67E-06,-4.09E-05
56,265,0.000298,-0.000887,-9.21E-06,-3.95E-05
57,265,0.000294,-0.000895,-1.07E-05,-3.08E-05
58,265,0.000294,-0.0009,-9.76E-07,-4.60E-05
59,265,0.000294,-0.000914,8.81E-06,-6.26E-05
60,266,0.000297,-0.000925,-4.87E-06,-3.68E-05
61,266,0.000292,-0.000929,-1.58E-05,-3.76E-05
62,266,0.000291,-0.00094,7.87E-06,-4.47E-05
63,266,0.000295,-0.000946,2.51E-05,-2.53E-05
64,266,0.000301,-0.00095,1.93E-05,-1.48E-05
65,267,0.000303,-0.000952,2.84E-06,-2.79E-05
66,267,0.000302,-0.000961,-6.16E-06,-7.20E-05
67,267,0.0003,-0.000981,8.12E-06,-0.000109
68,267,0.000305,-0.001,-7.46E-07,-9.45E-05
69,267,0.0003,-0.00102,-8.33E-06,-0.000103
70,268,0.000302,-0.00105,7.65E-06,-8.32E-05
71,268,0.000303,-0.00105,3.35E-07,-1.11E-05
72,268,0.000302,-0.00105,-2.32E-06,3.19E-05
73,268,0.000302,-0.00104,-1.29E-05,4.32E-05
74,268,0.000297,-0.00103,-8.07E-06,3.27E-05
75,269,0.000299,-0.00103,1.20E-05,3.17E-05
