,t,x,y,v_{x},v_{y}
0,86.6,0.000359,0.00114,-2.9999999999999997e-05,-9.74e-06
1,86.8,0.000359,0.0011300000000000001,-7.05e-06,-5.9999999999999995e-05
2,87.0,0.000356,0.00112,-1.0800000000000002e-05,-6.56e-05
3,87.2,0.000354,0.0011099999999999999,-7e-06,-8.05e-05
4,87.4,0.00035299999999999996,0.00109,-8.04e-06,-8.149999999999999e-05
5,87.6,0.00035099999999999997,0.00107,-1.24e-05,-7.6e-05
6,87.8,0.000348,0.00106,-1.11e-05,-7.070000000000001e-05
7,88.0,0.00034700000000000003,0.00105,-1.27e-05,-7.3e-05
8,88.2,0.000343,0.00103,-8.62e-06,-6.31e-05
9,88.4,0.000343,0.0010199999999999999,1.4e-06,-5.7100000000000006e-05
10,88.6,0.000344,0.00101,1.09e-05,-8.39e-05
11,88.8,0.000348,0.000987,-1.1e-05,-8.02e-05
12,89.0,0.000339,0.000974,-1.95e-05,-6.22e-05
13,89.2,0.00033999999999999997,0.000962,2e-06,-5.7499999999999995e-05
14,89.4,0.00033999999999999997,0.000951,1.47e-06,-6.82e-05
15,89.6,0.00033999999999999997,0.000935,-4.51e-06,-7.97e-05
16,89.8,0.000338,0.000919,-1.77e-05,-7.15e-05
17,90.0,0.000333,0.000907,-1.29e-05,-8.120000000000001e-05
18,90.2,0.000333,0.0008869999999999999,7.19e-06,-7.65e-05
19,90.4,0.000336,0.0008759999999999999,2.61e-06,-6.620000000000001e-05
20,90.6,0.000334,0.00086,-5.25e-06,-7.190000000000001e-05
21,90.8,0.000334,0.0008470000000000001,-8.65e-06,-6.87e-05
22,91.0,0.000331,0.000833,-1.3300000000000001e-05,-6.459999999999998e-05
23,91.2,0.00032900000000000003,0.0008210000000000001,-1.29e-06,-6.47e-05
24,91.4,0.00033,0.000807,-1.0300000000000001e-05,-8.6e-05
25,91.6,0.000325,0.000787,-1.21e-05,-8.190000000000001e-05
26,91.8,0.000325,0.0007740000000000001,2.22e-06,-6.11e-05
27,92.0,0.00032599999999999996,0.000763,2.76e-06,-6.18e-05
28,92.2,0.000327,0.00075,1.5e-06,-6.29e-05
29,92.4,0.00032599999999999996,0.000737,-1.43e-07,-6.12e-05
30,92.6,0.00032599999999999996,0.000725,-2.33e-07,-5.28e-05
31,92.8,0.00032599999999999996,0.0007160000000000001,-9.01e-06,-6.17e-05
32,93.0,0.000323,0.0007,-2.3e-05,-7.4e-05
33,93.2,0.000317,0.000687,-2.0600000000000003e-05,-6.7e-05
34,93.4,0.000315,0.000674,-4.42e-06,-6.75e-05
35,93.6,0.000315,0.00066,-4.35e-06,-6.86e-05
36,93.8,0.00031299999999999996,0.000646,-8.46e-06,-6.7e-05
37,94.0,0.000312,0.000633,-8.01e-06,-5.42e-05
38,94.2,0.00031,0.000624,-2.31e-06,-5.03e-05
39,94.4,0.00031099999999999997,0.0006129999999999999,7.87e-06,-5.18e-05
40,94.6,0.00031299999999999996,0.000604,1.62e-05,-6.15e-05
41,94.8,0.000317,0.000588,6.21e-06,-8.1e-05
42,95.0,0.000315,0.000571,-1.21e-06,-8.4e-05
43,95.2,0.000317,0.0005549999999999999,3.2200000000000005e-07,-7.950000000000001e-05
44,95.4,0.000315,0.00054,1.91e-06,-6.38e-05
45,95.6,0.00031800000000000003,0.000529,1.1900000000000001e-05,-6.330000000000001e-05
46,95.8,0.00032,0.0005139999999999999,1e-05,-9.350000000000001e-05
47,96.0,0.000322,0.000492,-8.24e-06,-8.8e-05
48,96.2,0.000317,0.000479,-1.22e-05,-5.2000000000000004e-05
49,96.4,0.000317,0.000471,1.15e-06,-6.12e-05
50,96.6,0.000317,0.000455,-1.01e-05,-6.91e-05
51,96.8,0.00031299999999999996,0.000443,-1.2e-05,-6.78e-05
52,97.0,0.00031299999999999996,0.00042699999999999997,1.44e-06,-6.929999999999999e-05
53,97.2,0.00031299999999999996,0.00041500000000000006,-8.07e-06,-7.709999999999999e-05
54,97.4,0.000309,0.000397,-1.53e-05,-7.99e-05
55,97.6,0.000307,0.000383,2.45e-06,-6.96e-05
56,97.8,0.00031,0.00036899999999999997,8.25e-06,-7.3e-05
57,98.0,0.00031,0.000354,-8.159999999999999e-07,-6.29e-05
58,98.2,0.00031,0.000344,-8.8e-06,-4.5799999999999995e-05
59,98.4,0.000307,0.000336,-1.63e-05,-4.8599999999999995e-05
60,98.6,0.000303,0.000324,-1.05e-05,-5.99e-05
61,98.8,0.000303,0.000312,-1.59e-05,-6.91e-05
62,99.0,0.000297,0.000297,-1.84e-05,-6.82e-05
63,99.2,0.000295,0.000285,-6.89e-06,-7.42e-05
64,99.4,0.000294,0.000267,-7.49e-06,-8.01e-05
65,99.6,0.000292,0.00025299999999999997,4.2200000000000005e-07,-7.3e-05
66,99.8,0.000295,0.00023799999999999998,1.3800000000000002e-05,-6.49e-05
67,100.0,0.000298,0.000227,4.24e-06,-5.94e-05
68,100.0,0.000296,0.00021400000000000002,-8.04e-06,-7.06e-05
69,100.0,0.000295,0.000198,-5.22e-06,-6.95e-05
70,101.0,0.000294,0.00018600000000000002,1.8e-06,-5.429999999999999e-05
71,101.0,0.000295,0.000177,5.98e-06,-5.07e-05
