t,x,y,v_{x},v_{y}
3.29E+02,-7.79E-04,-1.41E-04,-3.75E-06,-7.89E-05
3.30E+02,-7.83E-04,-1.81E-04,-5.85E-06,-6.55E-05
3.30E+02,-7.86E-04,-2.19E-04,-2.51E-06,-6.30E-05
3.31E+02,-7.86E-04,-2.57E-04,-5.03E-06,-9.45E-05
3.31E+02,-7.92E-04,-3.32E-04,-2.70E-06,-4.37E-05
3.32E+02,-7.90E-04,-3.09E-04,-4.11E-06,3.63E-05
3.33E+02,-7.97E-04,-2.89E-04,-1.11E-05,3.56E-05
3.33E+02,-8.03E-04,-2.67E-04,-1.35E-05,3.67E-05
3.34E+02,-8.13E-04,-2.45E-04,-1.32E-05,3.72E-05
3.34E+02,-8.19E-04,-2.22E-04,-1.26E-05,3.46E-05
3.35E+02,-8.28E-04,-2.03E-04,-7.93E-06,3.64E-05
3.36E+02,-8.28E-04,-1.78E-04,-5.35E-06,4.14E-05
3.36E+02,-8.35E-04,-1.54E-04,-5.89E-06,3.97E-05
3.37E+02,-8.35E-04,-1.31E-04,2.43E-06,3.64E-05
3.37E+02,-8.32E-04,-1.10E-04,3.92E-06,3.91E-05
3.38E+02,-8.31E-04,-8.39E-05,2.85E-06,4.20E-05
3.39E+02,-8.28E-04,-5.96E-05,-3.39E-06,4.08E-05
3.39E+02,-8.35E-04,-3.49E-05,-1.26E-05,3.91E-05
3.40E+02,-8.43E-04,-1.26E-05,-1.69E-05,4.21E-05
3.40E+02,-8.55E-04,1.56E-05,-1.10E-05,5.06E-05
3.41E+02,-8.57E-04,4.81E-05,-6.61E-06,5.00E-05
3.42E+02,-8.63E-04,7.56E-05,3.24E-06,4.14E-05
3.42E+02,-8.53E-04,9.77E-05,8.18E-07,2.82E-06
3.43E+02,-8.62E-04,7.90E-05,-6.45E-06,-3.86E-05
3.43E+02,-8.60E-04,5.15E-05,-3.85E-09,-3.18E-05
3.44E+02,-8.62E-04,4.08E-05,-2.61E-06,1.99E-05
3.45E+02,-8.64E-04,7.54E-05,-8.49E-08,4.77E-05
3.45E+02,-8.62E-04,9.80E-05,-3.41E-09,4.26E-05
3.46E+02,-8.64E-04,1.26E-04,-2.02E-06,3.35E-06
3.46E+02,-8.65E-04,1.02E-04,-6.10E-06,-4.03E-05
3.47E+02,-8.71E-04,7.81E-05,-7.82E-06,-4.28E-05
3.48E+02,-8.74E-04,5.07E-05,-8.62E-06,-4.28E-05
3.48E+02,-8.81E-04,2.68E-05,-9.83E-06,-5.94E-05
3.49E+02,-8.86E-04,-2.06E-05,-4.90E-06,-6.26E-05
3.49E+02,-8.87E-04,-4.84E-05,-4.86E-06,-4.74E-05
3.50E+02,-8.92E-04,-7.75E-05,-6.95E-06,-5.43E-05
3.51E+02,-8.96E-04,-1.13E-04,-9.25E-06,-5.20E-05
3.51E+02,-9.03E-04,-1.40E-04,-1.26E-05,-3.84E-05
3.52E+02,-9.11E-04,-1.60E-04,-1.48E-05,-5.41E-05
3.52E+02,-9.20E-04,-2.05E-04,-4.65E-06,-5.25E-05
3.53E+02,-9.16E-04,-2.23E-04,-5.40E-07,-4.27E-05
3.54E+02,-9.21E-04,-2.56E-04,-4.95E-06,-5.28E-05
3.54E+02,-9.22E-04,-2.86E-04,5.50E-06,-5.55E-05
3.55E+02,-9.15E-04,-3.23E-04,1.62E-05,-5.91E-05
3.55E+02,-9.03E-04,-3.57E-04,1.47E-05,-6.99E-05
3.56E+02,-8.97E-04,-4.07E-04,2.53E-06,-5.58E-05
3.57E+02,-9.00E-04,-4.24E-04,-1.24E-06,-4.09E-05
3.57E+02,-8.98E-04,-4.56E-04,1.28E-06,-6.49E-05
3.58E+02,-8.98E-04,-5.02E-04,-2.04E-07,-5.63E-05
3.58E+02,-8.99E-04,-5.23E-04,-1.77E-06,-4.20E-05
3.59E+02,-9.00E-04,-5.52E-04,-1.70E-05,-5.81E-05
3.60E+02,-9.19E-04,-5.93E-04,-1.11E-05,-6.12E-05
3.60E+02,-9.13E-04,-6.25E-04,-4.00E-06,-1.09E-04
