t,x,y,v_{x},v_{y}
3.30E+02,-7.84E-04,-1.80E-04,,
3.30E+02,-7.87E-04,-2.18E-04,-2.94E-06,-6.33E-05
3.31E+02,-7.88E-04,-2.56E-04,-4.44E-06,-9.47E-05
3.31E+02,-7.92E-04,-3.31E-04,-2.18E-06,-4.38E-05
3.32E+02,-7.90E-04,-3.08E-04,1.01E-06,3.84E-05
3.33E+02,-7.91E-04,-2.85E-04,-1.13E-05,3.55E-05
3.33E+02,-8.04E-04,-2.66E-04,-1.84E-05,2.81E-05
3.34E+02,-8.13E-04,-2.51E-04,-1.41E-05,3.72E-05
3.34E+02,-8.21E-04,-2.21E-04,-1.26E-05,4.03E-05
3.35E+02,-8.28E-04,-2.03E-04,-6.01E-06,3.55E-05
3.36E+02,-8.28E-04,-1.79E-04,-5.80E-06,4.15E-05
3.36E+02,-8.35E-04,-1.53E-04,-7.19E-06,4.05E-05
3.37E+02,-8.37E-04,-1.30E-04,1.82E-06,3.70E-05
3.37E+02,-8.33E-04,-1.09E-04,3.77E-06,3.93E-05
3.38E+02,-8.32E-04,-8.28E-05,2.62E-06,4.23E-05
3.39E+02,-8.30E-04,-5.81E-05,-4.00E-06,4.12E-05
3.39E+02,-8.37E-04,-3.34E-05,-1.29E-05,3.93E-05
3.40E+02,-8.45E-04,-1.09E-05,-1.53E-05,4.90E-05
3.40E+02,-8.55E-04,2.55E-05,-1.10E-05,5.08E-05
3.41E+02,-8.59E-04,5.01E-05,-8.16E-06,4.36E-05
3.42E+02,-8.65E-04,7.78E-05,3.18E-06,4.13E-05
3.42E+02,-8.55E-04,9.96E-05,7.60E-07,2.81E-06
3.43E+02,-8.64E-04,8.11E-05,-6.43E-06,-3.84E-05
3.43E+02,-8.62E-04,5.36E-05,4.96E-08,-3.18E-05
3.44E+02,-8.64E-04,4.30E-05,-2.69E-06,2.00E-05
3.45E+02,-8.66E-04,7.75E-05,9.12E-09,4.76E-05
3.45E+02,-8.64E-04,1.00E-04,5.03E-08,4.24E-05
3.46E+02,-8.66E-04,1.28E-04,-2.06E-06,3.40E-06
3.46E+02,-8.66E-04,1.04E-04,-6.07E-06,-4.03E-05
3.47E+02,-8.73E-04,8.01E-05,-7.86E-06,-4.29E-05
3.48E+02,-8.76E-04,5.27E-05,-8.44E-06,-4.31E-05
3.48E+02,-8.83E-04,2.84E-05,-9.83E-06,-5.93E-05
3.49E+02,-8.88E-04,-1.84E-05,-5.00E-06,-6.23E-05
3.49E+02,-8.89E-04,-4.63E-05,-4.53E-06,-4.77E-05
3.50E+02,-8.93E-04,-7.56E-05,-1.70E-05,-5.11E-05
3.51E+02,-9.09E-04,-1.08E-04,-9.74E-06,-5.18E-05
3.51E+02,-9.05E-04,-1.38E-04,-2.89E-06,-4.19E-05
3.52E+02,-9.13E-04,-1.58E-04,-1.64E-05,-4.93E-05
3.52E+02,-9.24E-04,-1.97E-04,-4.48E-06,-5.26E-05
3.53E+02,-9.18E-04,-2.21E-04,2.50E-06,-4.79E-05
3.54E+02,-9.21E-04,-2.54E-04,-5.33E-06,-5.31E-05
3.54E+02,-9.25E-04,-2.85E-04,5.55E-06,-5.72E-05
3.55E+02,-9.15E-04,-3.23E-04,1.61E-05,-5.95E-05
3.55E+02,-9.05E-04,-3.56E-04,1.69E-06,-6.49E-05
3.56E+02,-9.13E-04,-4.01E-04,2.73E-06,-5.56E-05
3.57E+02,-9.02E-04,-4.23E-04,1.03E-05,-4.47E-05
3.57E+02,-9.00E-04,-4.54E-04,-3.30E-06,-6.24E-05
3.58E+02,-9.06E-04,-4.98E-04,-1.14E-07,-5.63E-05
3.58E+02,-9.01E-04,-5.22E-04,5.00E-06,-4.52E-05
