,t,x,y,v_{x},v_{y}
350,157.0,0.00017900000000000001,0.000816,3.61e-07,-5.8099999999999996e-05
351,157.0,0.00017900000000000001,0.000807,-7.49e-08,-7.070000000000001e-05
352,158.0,0.00017900000000000001,0.000788,9.55e-08,-7.57e-05
353,158.0,0.00017900000000000001,0.0007769999999999999,9.56e-07,-6.0899999999999996e-05
354,158.0,0.00017900000000000001,0.000763,1.21e-06,-6.49e-05
355,158.0,0.00018,0.0007509999999999999,4.5e-07,-6.440000000000001e-05
356,158.0,0.00018,0.0007379999999999999,-1.12e-06,-5.91e-05
357,159.0,0.00017900000000000001,0.000727,-1.49e-06,-5.45e-05
358,159.0,0.00017900000000000001,0.0007160000000000001,-2.9e-07,-6.27e-05
359,159.0,0.00017900000000000001,0.0007019999999999999,3.96e-07,-7.18e-05
360,159.0,0.00017900000000000001,0.000687,2.42e-06,-7.54e-05
361,159.0,0.00018,0.000672,2.97e-06,-7.859999999999999e-05
362,160.0,0.00018,0.000656,1.34e-06,-8.48e-05
363,160.0,0.000181,0.000638,7.12e-07,-8.39e-05
364,160.0,0.000181,0.0006219999999999999,-1.7e-06,-6.620000000000001e-05
365,160.0,0.00018,0.000611,1.92e-07,-6.23e-05
366,160.0,0.000181,0.000597,1.29e-06,-6.13e-05
367,161.0,0.00018,0.000587,4.2799999999999997e-07,-5.720000000000001e-05
368,161.0,0.000181,0.0005740000000000001,6.76e-07,-6.31e-05
369,161.0,0.000181,0.000562,-1.72e-07,-5.24e-05
370,161.0,0.000181,0.000553,-7.4e-06,-5.2300000000000004e-05
371,161.0,0.000178,0.000541,-6.28e-06,-5.65e-05
372,162.0,0.000178,0.000531,3.1e-06,-4.68e-05
373,162.0,0.00017900000000000001,0.000522,-1.1e-07,-2.64e-05
374,162.0,0.000178,0.0005200000000000001,1.11e-07,3.56e-06
375,162.0,0.00017900000000000001,0.000523,1.14e-07,2.2899999999999998e-05
376,162.0,0.000178,0.000529,1.48e-06,2.6899999999999997e-05
377,163.0,0.00018,0.000534,5.81e-06,1.7899999999999998e-05
378,163.0,0.000181,0.000536,4.46e-06,1.4800000000000002e-05
379,163.0,0.000181,0.00054,1.61e-06,1.49e-05
380,163.0,0.000181,0.000542,-3.29e-07,1.51e-05
381,163.0,0.000181,0.000546,-4.46e-07,1.6100000000000002e-05
382,164.0,0.000181,0.000549,-4.47e-06,2.14e-06
383,164.0,0.00017900000000000001,0.000547,-8.84e-06,2.78e-06
384,164.0,0.000178,0.00055,-1.34e-05,1.53e-05
385,164.0,0.000174,0.000553,-1.6e-05,1.92e-05
386,164.0,0.000171,0.000558,-1.3300000000000001e-05,1.24e-05
387,165.0,0.000169,0.000558,-5.43e-06,1.01e-05
388,165.0,0.000169,0.000562,1.38e-06,2.02e-05
389,165.0,0.000169,0.000566,6.47e-07,8.38e-06
390,165.0,0.000169,0.0005650000000000001,3.58e-08,1.4300000000000002e-05
391,165.0,0.000169,0.000572,-5.44e-06,2.59e-05
392,166.0,0.000167,0.000575,-2.27e-05,1.99e-05
393,166.0,0.00016,0.00058,-1.18e-05,1.49e-05
394,166.0,0.000162,0.0005809999999999999,1.0199999999999999e-05,1.3000000000000001e-05
395,166.0,0.000164,0.000585,5.73e-06,1.3000000000000001e-05
396,166.0,0.000165,0.000587,1.34e-05,1.75e-05
397,167.0,0.00016999999999999999,0.000592,2.2e-05,2.0399999999999998e-05
398,167.0,0.000173,0.000595,1.68e-06,4.11e-06
399,167.0,0.00016999999999999999,0.000594,-1.12e-05,-8.520000000000001e-07
400,167.0,0.000169,0.000594,-3.3799999999999995e-05,0.00015900000000000002
401,167.0,0.000157,0.000657,-6.19e-05,0.000225
402,168.0,0.000144,0.000684,-4.5299999999999997e-05,6.82e-05
403,168.0,0.000139,0.000685,-2.1899999999999997e-05,-3.08e-06
404,168.0,0.000135,0.000683,-1.34e-05,-1.0199999999999999e-05
405,168.0,0.000133,0.000681,4.35e-08,2.3e-06
406,168.0,0.000135,0.000684,-2.75e-06,8.49e-06
407,169.0,0.000132,0.000684,-6.35e-06,6.89e-06
408,169.0,0.000133,0.000687,3.75e-06,3.91e-06
409,169.0,0.000134,0.000686,-1.57e-06,-2.4e-06
