t,x,y,v_{y},v_{x}
0.00E+00,-1.64E-05,6.28E-04,,
2.00E-01,-1.49E-05,6.14E-04,-3.88E-05,1.79E-05
4.00E-01,-9.19E-06,6.13E-04,-1.39E-05,4.43E-06
6.00E-01,-1.32E-05,6.09E-04,-1.93E-05,-5.87E-06
8.00E-01,-1.15E-05,6.05E-04,-2.28E-05,-1.37E-06
1.00E+00,-1.37E-05,6.00E-04,-3.10E-05,-3.53E-06
1.20E+00,-1.30E-05,5.93E-04,-5.86E-05,4.53E-06
1.40E+00,-1.19E-05,5.76E-04,-5.08E-05,1.94E-05
1.60E+00,-5.19E-06,5.72E-04,-3.75E-05,1.37E-05
1.80E+00,-6.44E-06,5.61E-04,-3.80E-05,-1.30E-05
2.00E+00,-1.04E-05,5.57E-04,-1.99E-05,-8.11E-06
2.20E+00,-9.68E-06,5.53E-04,-2.15E-05,9.92E-07
2.40E+00,-1.00E-05,5.49E-04,-1.87E-05,6.35E-06
2.60E+00,-7.14E-06,5.46E-04,-3.04E-05,-3.76E-06
2.80E+00,-1.15E-05,5.36E-04,-3.78E-05,-8.74E-06
3.00E+00,-1.06E-05,5.31E-04,-1.61E-05,2.81E-06
3.20E+00,-1.04E-05,5.30E-04,-1.14E-05,-3.21E-06
3.40E+00,-1.19E-05,5.26E-04,-2.75E-05,-8.28E-06
3.60E+00,-1.37E-05,5.19E-04,-2.46E-05,3.12E-06
3.80E+00,-1.07E-05,5.16E-04,-2.38E-05,7.72E-06
4.00E+00,-1.06E-05,5.09E-04,-3.41E-05,8.23E-06
4.20E+00,-7.38E-06,5.03E-04,-2.73E-05,-7.05E-06
4.40E+00,-1.34E-05,4.99E-04,-4.41E-05,-2.30E-05
4.60E+00,-1.66E-05,4.85E-04,-6.12E-05,-8.52E-06
4.80E+00,-1.68E-05,4.74E-04,-5.45E-05,-8.65E-07
5.00E+00,-1.69E-05,4.63E-04,-4.89E-05,-5.96E-06
5.20E+00,-1.92E-05,4.55E-04,-4.70E-05,-2.87E-05
5.40E+00,-2.84E-05,4.44E-04,-4.30E-05,-2.96E-05
5.60E+00,-3.11E-05,4.37E-04,-2.36E-05,-7.75E-06
5.80E+00,-3.15E-05,4.35E-04,-2.35E-05,-3.98E-06
6.00E+00,-3.26E-05,4.28E-04,-3.57E-05,-1.11E-05
6.20E+00,-3.59E-05,4.21E-04,-3.77E-05,-2.15E-05
6.40E+00,-4.13E-05,4.13E-04,-3.21E-05,-2.31E-05
6.60E+00,-4.52E-05,4.08E-04,-5.03E-05,-1.21E-05
6.80E+00,-4.61E-05,3.93E-04,-4.47E-05,-2.27E-06
7.00E+00,-4.61E-05,3.90E-04,-2.01E-05,9.67E-06
7.20E+00,-4.22E-05,3.85E-04,-2.91E-05,1.03E-05
7.40E+00,-4.20E-05,3.78E-04,-1.70E-05,-2.42E-06
7.60E+00,-4.32E-05,3.78E-04,-1.24E-05,-2.26E-06
7.80E+00,-4.29E-05,3.73E-04,-3.17E-05,-8.94E-06
8.00E+00,-4.68E-05,3.65E-04,-5.21E-05,-1.40E-05
8.20E+00,-4.85E-05,3.53E-04,-5.21E-05,-1.73E-05
8.40E+00,-5.37E-05,3.44E-04,-3.44E-05,-1.25E-05
8.60E+00,-5.35E-05,3.39E-04,-3.84E-05,3.93E-06
8.80E+00,-5.21E-05,3.29E-04,-3.34E-05,-3.06E-06
9.00E+00,-5.47E-05,3.25E-04,-1.49E-05,-1.24E-05
9.20E+00,-5.71E-05,3.23E-04,-7.09E-06,-1.06E-06
9.40E+00,-5.51E-05,3.23E-04,-2.25E-05,2.62E-06
9.60E+00,-5.60E-05,3.14E-04,-1.86E-05,-8.25E-06
9.80E+00,-5.84E-05,3.15E-04,2.38E-07,-5.03E-06
1.00E+01,-5.81E-05,3.14E-04,-1.18E-05,-9.92E-06
1.02E+01,-6.24E-05,3.10E-04,-2.74E-05,-1.53E-05
1.04E+01,-6.42E-05,3.03E-04,-2.26E-05,-1.76E-05
1.06E+01,-6.94E-05,3.01E-04,-2.72E-05,-8.54E-06
1.08E+01,-6.76E-05,2.92E-04,-3.80E-05,-4.02E-07
1.10E+01,-6.96E-05,2.86E-04,-1.83E-05,-6.81E-06
1.12E+01,-7.03E-05,2.85E-04,-1.97E-05,-3.87E-06
1.14E+01,-7.11E-05,2.78E-04,-4.44E-05,1.53E-05
1.16E+01,-6.42E-05,2.67E-04,-4.68E-05,1.55E-05
1.18E+01,-6.49E-05,2.60E-04,-2.55E-05,8.12E-06
1.20E+01,-6.09E-05,2.57E-04,-3.01E-05,1.18E-05
1.22E+01,-6.02E-05,2.48E-04,-4.29E-05,-6.93E-06
1.24E+01,-6.37E-05,2.40E-04,-3.78E-05,-7.09E-06
1.26E+01,-6.30E-05,2.32E-04,-2.96E-05,-2.03E-06
1.28E+01,-6.45E-05,2.28E-04,-3.61E-05,-2.90E-06
1.30E+01,-6.42E-05,2.18E-04,-5.54E-05,-1.79E-05
1.32E+01,-7.17E-05,2.06E-04,-5.68E-05,-1.82E-05
1.34E+01,-7.15E-05,1.95E-04,-4.35E-05,-3.55E-06
1.36E+01,-7.31E-05,1.89E-04,-2.33E-05,-1.61E-05
1.38E+01,-7.79E-05,1.86E-04,-2.78E-05,-1.20E-05
1.40E+01,-7.79E-05,1.77E-04,-5.47E-05,-6.45E-06
1.42E+01,-8.05E-05,1.64E-04,-5.18E-05,-1.44E-06
1.44E+01,-7.85E-05,1.57E-04,-2.54E-05,-2.98E-08
1.46E+01,-8.05E-05,1.54E-04,-2.73E-05,2.83E-06
1.48E+01,-7.74E-05,1.46E-04,-4.26E-05,1.73E-05
1.50E+01,-7.36E-05,1.37E-04,-4.62E-05,1.62E-05
1.52E+01,-7.09E-05,1.27E-04,-3.74E-05,4.36E-06
1.54E+01,-7.18E-05,1.22E-04,-2.71E-05,-9.85E-06
1.56E+01,-7.48E-05,1.16E-04,-2.02E-05,-7.37E-06
1.58E+01,-7.48E-05,1.14E-04,-3.04E-05,-7.96E-06
1.60E+01,-7.80E-05,1.04E-04,-3.28E-05,4.39E-06
1.62E+01,-7.30E-05,1.01E-04,-3.66E-05,-1.44E-05
1.64E+01,-8.37E-05,8.97E-05,-4.08E-05,-2.67E-05
1.66E+01,-8.37E-05,8.43E-05,-1.46E-05,7.39E-06
1.68E+01,-8.08E-05,8.38E-05,-1.77E-05,2.05E-05
1.70E+01,-7.55E-05,7.72E-05,-3.29E-05,3.16E-05
1.72E+01,-6.81E-05,7.07E-05,-3.80E-05,1.91E-05
1.74E+01,-6.78E-05,6.20E-05,-4.58E-05,8.03E-06
1.76E+01,-6.49E-05,5.23E-05,-4.66E-05,1.15E-05
1.78E+01,-6.32E-05,4.34E-05,-4.38E-05,1.38E-05
1.80E+01,-5.94E-05,3.48E-05,-3.38E-05,1.42E-05
1.82E+01,-5.75E-05,2.99E-05,-3.97E-05,-3.25E-06
1.84E+01,-6.07E-05,1.89E-05,-1.35E-04,-2.56E-06
1.86E+01,-5.86E-05,-2.39E-05,-2.49E-04,6.78E-06
1.88E+01,-5.80E-05,-8.06E-05,-2.85E-04,-1.27E-05
1.90E+01,-6.37E-05,-1.38E-04,-3.22E-04,-1.03E-05
1.92E+01,-6.21E-05,-2.09E-04,-1.99E-04,1.61E-05
1.94E+01,-5.72E-05,-2.17E-04,-2.45E-05,8.41E-06
1.96E+01,-5.87E-05,-2.19E-04,1.10E-04,-7.72E-06
1.98E+01,-6.03E-05,-1.73E-04,2.27E-04,-1.21E-06
2.00E+01,-5.92E-05,-1.29E-04,2.46E-04,3.24E-06
2.02E+01,-5.90E-05,-7.49E-05,2.53E-04,9.16E-06
2.04E+01,-5.56E-05,-2.72E-05,2.32E-04,1.80E-05
2.06E+01,-5.18E-05,1.77E-05,2.34E-04,1.86E-05
2.08E+01,-4.81E-05,6.63E-05,2.41E-04,1.22E-05
2.10E+01,-4.69E-05,1.14E-04,2.30E-04,2.49E-05
2.12E+01,-3.82E-05,1.58E-04,2.45E-04,2.55E-05
2.14E+01,-3.67E-05,2.12E-04,2.43E-04,-8.83E-06
2.16E+01,-4.17E-05,2.56E-04,2.18E-04,3.69E-06
2.18E+01,-3.52E-05,2.99E-04,2.26E-04,2.05E-05
2.20E+01,-3.35E-05,3.46E-04,2.22E-04,8.54E-06
2.22E+01,-3.18E-05,3.88E-04,2.17E-04,1.53E-06
2.24E+01,-3.29E-05,4.33E-04,2.40E-04,3.52E-05
2.26E+01,-1.77E-05,4.84E-04,2.27E-04,4.16E-06
2.28E+01,-3.12E-05,5.23E-04,2.23E-04,7.19E-06
2.30E+01,-1.49E-05,5.73E-04,2.32E-04,3.77E-05
2.32E+01,-1.62E-05,6.16E-04,2.31E-04,1.34E-05
2.34E+01,-9.51E-06,6.66E-04,2.37E-04,1.42E-05
2.36E+01,-1.05E-05,7.11E-04,2.33E-04,3.23E-06
2.38E+01,-8.22E-06,7.59E-04,2.46E-04,1.39E-05
2.40E+01,-4.94E-06,8.09E-04,2.44E-04,1.09E-05
2.42E+01,-3.87E-06,8.57E-04,2.35E-04,2.34E-07
2.44E+01,-4.85E-06,9.03E-04,2.48E-04,-1.40E-06
2.46E+01,-4.43E-06,9.56E-04,2.40E-04,1.28E-05
2.48E+01,2.74E-07,9.99E-04,2.01E-04,4.12E-06
2.50E+01,-2.78E-06,1.04E-03,2.07E-04,-1.56E-05
2.52E+01,-5.97E-06,1.08E-03,1.83E-04,-7.02E-06
2.54E+01,-5.59E-06,1.11E-03,6.35E-05,7.32E-06
2.56E+01,-3.04E-06,1.11E-03,-3.15E-05,8.41E-06
2.58E+01,-2.22E-06,1.10E-03,-2.85E-05,1.12E-07
2.60E+01,-3.00E-06,1.10E-03,-1.70E-05,-1.85E-05
2.62E+01,-9.62E-06,1.09E-03,-3.73E-05,-9.24E-06
2.64E+01,-6.69E-06,1.08E-03,-3.07E-05,1.71E-05
2.66E+01,-2.77E-06,1.08E-03,-6.52E-06,1.08E-05
2.68E+01,-2.39E-06,1.08E-03,-2.23E-05,2.43E-07
2.70E+01,-2.68E-06,1.07E-03,-1.83E-05,-4.02E-06
2.72E+01,-3.99E-06,1.07E-03,1.15E-06,-1.89E-05
2.74E+01,-1.02E-05,1.07E-03,-2.47E-05,-2.00E-05
2.76E+01,-1.20E-05,1.06E-03,-2.69E-05,-4.82E-06
2.78E+01,-1.22E-05,1.06E-03,-1.22E-05,-4.25E-06
2.80E+01,-1.37E-05,1.06E-03,-3.15E-05,-9.18E-07
2.82E+01,-1.25E-05,1.05E-03,-4.03E-05,7.20E-06
2.84E+01,-1.08E-05,1.04E-03,-1.81E-05,-6.68E-07
2.86E+01,-1.28E-05,1.04E-03,-2.37E-05,-1.13E-05
2.88E+01,-1.54E-05,1.03E-03,-5.05E-05,-2.45E-06
2.90E+01,-1.38E-05,1.02E-03,-5.44E-05,5.20E-06
2.92E+01,-1.33E-05,1.01E-03,-5.15E-05,-2.83E-06
2.94E+01,-1.49E-05,9.98E-04,-3.84E-05,-1.07E-05
2.96E+01,-1.76E-05,9.94E-04,-2.57E-05,-1.04E-07
2.98E+01,-1.50E-05,9.87E-04,-3.60E-05,8.57E-07
3.00E+01,-1.72E-05,9.79E-04,-4.67E-05,-1.05E-05
3.02E+01,-1.92E-05,9.69E-04,-4.40E-05,-4.62E-06
3.04E+01,-1.91E-05,9.62E-04,-3.54E-05,-3.55E-05
3.06E+01,-3.33E-05,9.55E-04,-2.04E-05,-4.06E-05
3.08E+01,-3.53E-05,9.53E-04,-2.41E-05,-1.21E-06
3.10E+01,-3.38E-05,9.45E-04,-4.44E-05,-7.53E-06
3.12E+01,-3.83E-05,9.36E-04,-5.47E-05,-1.48E-05
3.14E+01,-3.97E-05,9.23E-04,-3.46E-05,-1.15E-05
3.16E+01,-4.29E-05,9.22E-04,-2.51E-05,-1.18E-05
3.18E+01,-4.44E-05,9.13E-04,-4.11E-05,-1.91E-05
3.20E+01,-5.05E-05,9.05E-04,-2.74E-05,-1.24E-05
3.22E+01,-4.94E-05,9.02E-04,-2.10E-05,-1.02E-05
3.24E+01,-5.46E-05,8.97E-04,-1.80E-05,-2.20E-05
3.26E+01,-5.82E-05,8.95E-04,-2.49E-05,-3.83E-05
3.28E+01,-6.99E-05,8.87E-04,-4.89E-05,-3.89E-05
3.30E+01,-7.37E-05,8.75E-04,-4.33E-05,-1.15E-05
3.32E+01,-7.45E-05,8.70E-04,-2.61E-05,-5.08E-06
3.34E+01,-7.58E-05,8.65E-04,-1.81E-05,-2.01E-06
3.36E+01,-7.53E-05,8.62E-04,-2.96E-05,3.96E-06
3.38E+01,-7.42E-05,8.53E-04,-4.94E-05,1.44E-06
3.40E+01,-7.47E-05,8.43E-04,-4.09E-05,8.37E-06
3.42E+01,-7.08E-05,8.37E-04,-3.50E-05,1.58E-05
3.44E+01,-6.84E-05,8.29E-04,-4.00E-05,1.97E-05
3.46E+01,-6.30E-05,8.21E-04,-3.44E-05,7.02E-06
3.48E+01,-6.56E-05,8.15E-04,-5.19E-05,6.07E-06
3.50E+01,-6.06E-05,8.00E-04,-5.60E-05,-3.47E-06
3.52E+01,-6.70E-05,7.93E-04,-2.30E-05,-1.98E-05
3.54E+01,-6.85E-05,7.91E-04,-1.11E-05,-1.47E-05
3.56E+01,-7.29E-05,7.88E-04,-2.63E-05,-3.75E-05
3.58E+01,-8.35E-05,7.80E-04,-3.17E-05,-3.41E-05
3.60E+01,-8.65E-05,7.75E-04,-4.23E-05,-1.34E-05
3.62E+01,-8.88E-05,7.63E-04,-5.48E-05,-1.67E-05
3.64E+01,-9.32E-05,7.53E-04,-3.55E-05,-1.26E-05
3.66E+01,-9.39E-05,7.49E-04,-3.40E-05,-1.83E-05
3.68E+01,-1.01E-04,7.40E-04,-4.38E-05,-2.34E-05
3.70E+01,-1.03E-04,7.31E-04,-3.79E-05,-1.84E-06
3.72E+01,-1.01E-04,7.25E-04,-2.16E-05,4.94E-06
3.74E+01,-1.01E-04,7.23E-04,-2.26E-05,1.82E-05
3.76E+01,-9.40E-05,7.16E-04,-2.56E-05,2.11E-05
3.78E+01,-9.28E-05,7.13E-04,-2.34E-05,1.02E-06
3.80E+01,-9.36E-05,7.06E-04,-2.71E-05,2.05E-06
3.82E+01,-9.20E-05,7.02E-04,-3.47E-05,-7.05E-06
3.84E+01,-9.64E-05,6.92E-04,-3.78E-05,-9.03E-06
3.86E+01,-9.56E-05,6.87E-04,-3.85E-05,-5.34E-06
3.88E+01,-9.85E-05,6.77E-04,-3.02E-05,-2.93E-05
3.90E+01,-1.07E-04,6.75E-04,-3.19E-05,-4.54E-05
3.92E+01,-1.17E-04,6.64E-04,-4.67E-05,-2.94E-05
3.94E+01,-1.19E-04,6.56E-04,-5.28E-05,-3.97E-06
3.96E+01,-1.18E-04,6.43E-04,-5.30E-05,7.11E-06
3.98E+01,-1.16E-04,6.35E-04,-2.11E-05,2.33E-06
4.00E+01,-1.17E-04,6.35E-04,-1.78E-05,1.94E-06
4.02E+01,-1.16E-04,6.28E-04,-3.91E-05,1.17E-05
