t,x,y,v_{y},v_{x}
0.000000000E0,3.935792556E-4,1.121690531E-3,,
2.000000000E-1,3.897552380E-4,1.117764182E-3,-1.325769797E-5,-6.245342767E-6
4.000000000E-1,3.910811185E-4,1.116387452E-3,5.335473365E-6,-9.421005993E-8
6.000000000E-1,3.897175540E-4,1.119898371E-3,1.049485684E-5,-3.906896322E-6
8.000000000E-1,3.895183599E-4,1.120585395E-3,-1.363474537E-5,1.072683874E-6
1.000000000E0,3.901466275E-4,1.114444473E-3,-1.683812468E-5,8.378950044E-7
1.200000000E0,3.898535180E-4,1.113850145E-3,-2.386790648E-5,-2.525005455E-5
1.400000000E0,3.800466057E-4,1.104897311E-3,-3.177313327E-5,-2.197384552E-5
1.600000000E0,3.810639797E-4,1.101140891E-3,-3.467861952E-5,-6.305476711E-6
1.800000000E0,3.775244150E-4,1.091025863E-3,-2.230566201E-5,-2.070761726E-5
2.000000000E0,3.727809328E-4,1.092218627E-3,-1.430899085E-5,-9.028247076E-6
2.200000000E0,3.739131162E-4,1.085302267E-3,-1.383673428E-5,-1.592308703E-6
2.400000000E0,3.721440094E-4,1.086683933E-3,-7.473754152E-6,-8.715314661E-6
2.600000000E0,3.704269903E-4,1.082312765E-3,-1.083276622E-5,-4.317399808E-6
2.800000000E0,3.704170494E-4,1.082350826E-3,1.543569899E-6,-1.230656954E-6
3.000000000E0,3.699347275E-4,1.082930193E-3,-6.614138141E-6,-1.368799753E-5
3.200000000E0,3.649418504E-4,1.079705171E-3,-1.628585582E-5,-2.344504672E-5
3.400000000E0,3.605567088E-4,1.076415851E-3,-3.108097232E-5,-4.688837815E-7
3.600000000E0,3.647542969E-4,1.067272782E-3,-3.893667336E-5,1.248629808E-5
3.800000000E0,3.655512281E-4,1.060841181E-3,-3.096012966E-5,6.801912105E-6
4.000000000E0,3.674750618E-4,1.054888730E-3,-3.121404379E-5,-1.327813108E-6
4.200000000E0,3.650201028E-4,1.048355564E-3,-1.144239438E-5,-1.921741845E-6
4.400000000E0,3.667063650E-4,1.050311773E-3,-2.091978718E-5,-2.611755445E-6
4.600000000E0,3.639754007E-4,1.039987649E-3,-5.543096676E-5,-7.454331760E-6
4.800000000E0,3.637246323E-4,1.028139386E-3,-2.993392471E-5,-1.672886678E-5
5.000000000E0,3.572838539E-4,1.028014079E-3,-2.112765105E-5,-2.180896348E-5
5.200000000E0,3.550010469E-4,1.019688326E-3,-4.878934325E-5,-2.385912493E-5
5.400000000E0,3.477402040E-4,1.008498342E-3,-4.195962419E-5,-2.817827121E-5
5.600000000E0,3.437297384E-4,1.002904476E-3,-9.091240504E-6,-2.857896978E-6
5.800000000E0,3.465970452E-4,1.004861845E-3,5.017710682E-6,1.070062434E-5
6.000000000E0,3.480099882E-4,1.004911560E-3,-1.003659546E-5,1.679197278E-6
6.200000000E0,3.472687241E-4,1.000847207E-3,-2.235838061E-5,-1.317994925E-5
6.400000000E0,3.427380085E-4,9.959682079E-4,-1.782999904E-5,-2.193881864E-5
6.600000000E0,3.384931966E-4,9.937152076E-4,-4.713536106E-5,-1.295480499E-5
6.800000000E0,3.375560865E-4,9.771140635E-4,-4.016523494E-5,5.511757228E-6
7.000000000E0,3.406978995E-4,9.776491137E-4,-4.109441647E-6,7.798948305E-7
7.200000000E0,3.378680444E-4,9.754702868E-4,-2.056008963E-5,-1.487421547E-5
7.400000000E0,3.347482133E-4,9.694250778E-4,-2.624222452E-5,-1.554983878E-5
7.600000000E0,3.316481089E-4,9.649733970E-4,-2.646002167E-5,-1.267615812E-5
7.800000000E0,3.296777501E-4,9.588410691E-4,-4.634842258E-5,-1.596110120E-5
8.000000000E0,3.252636684E-4,9.464340280E-4,-5.341189606E-5,-2.856838101E-5
8.200000000E0,3.182503977E-4,9.374763107E-4,-2.957992088E-5,-2.383035409E-5
8.400000000E0,3.157315268E-4,9.346020596E-4,-1.750438816E-5,-9.486335314E-7
8.600000000E0,3.178709443E-4,9.304745555E-4,-2.731645151E-5,5.107074757E-6
8.800000000E0,3.177743567E-4,9.236754790E-4,-2.827245896E-5,-1.020107964E-5
9.000000000E0,3.137905124E-4,9.191655719E-4,-3.260823392E-5,-3.314669592E-5
9.200000000E0,3.045156783E-4,9.106321855E-4,-2.678553936E-5,-3.102510435E-5
