t,x,y,v_{y},v_{x}
0.000000000E0,8.819887572E-5,9.213919404E-4,,
2.000000000E-1,9.030724842E-5,9.086170542E-4,-2.874461048E-5,-3.209471130E-6
4.000000000E-1,8.691508727E-5,9.098940962E-4,-4.540431637E-6,-1.495838095E-5
6.000000000E-1,8.432389604E-5,9.068008816E-4,-2.133799806E-5,4.270682368E-6
8.000000000E-1,8.862336022E-5,9.013588970E-4,-3.521720172E-5,1.468651838E-5
1.000000000E0,9.019850339E-5,8.927140009E-4,-3.832771444E-5,3.747036382E-6
1.200000000E0,9.012217477E-5,8.860278112E-4,-3.462540230E-5,1.907747054E-6
1.400000000E0,9.096160221E-5,8.788638400E-4,-3.768983712E-5,-5.354315831E-6
1.600000000E0,8.798044844E-5,8.709518764E-4,-2.397310351E-5,-9.244964910E-6
1.800000000E0,8.726361625E-5,8.692745986E-4,-3.075539130E-5,-2.361790037E-6
2.000000000E0,8.703573242E-5,8.586497198E-4,-5.258884087E-5,-1.614615569E-6
2.200000000E0,8.661777002E-5,8.482390622E-4,-3.219279607E-5,-2.961217685E-6
2.400000000E0,8.585124535E-5,8.457726014E-4,-1.593149501E-5,-5.831527217E-6
2.600000000E0,8.428515913E-5,8.418664642E-4,-2.833977607E-5,-1.854208372E-5
2.800000000E0,7.843435732E-5,8.344361885E-4,-4.583338369E-5,-2.171320295E-5
3.000000000E0,7.559987795E-5,8.235331107E-4,-4.305686054E-5,-2.698505194E-5
3.200000000E0,6.764033654E-5,8.172134443E-4,-8.043776251E-6,-1.491370598E-5
3.400000000E0,6.963439556E-5,8.203156002E-4,-4.289412609E-6,-5.583165991E-7
3.600000000E0,6.741700990E-5,8.154976792E-4,-2.300780549E-5,-6.118438398E-6
3.800000000E0,6.718702020E-5,8.111124780E-4,-3.019478246E-5,-2.544247098E-6
4.000000000E0,6.639931107E-5,8.034197663E-4,-3.711813336E-5,2.028513498E-6
4.200000000E0,6.799842560E-5,7.962652247E-4,-3.170609008E-5,1.392741153E-5
4.400000000E0,7.197027568E-5,7.907373302E-4,-9.852598150E-6,3.163567556E-5
4.600000000E0,8.065269582E-5,7.923241854E-4,6.641694794E-6,2.367932847E-5
4.800000000E0,8.144200707E-5,7.933940081E-4,-3.326045946E-7,1.450649476E-5
5.000000000E0,8.645529373E-5,7.921911436E-4,-7.808218396E-6,2.042426943E-5
5.200000000E0,8.961171484E-5,7.902707208E-4,-2.090913409E-5,3.591942804E-6
5.400000000E0,8.789207085E-5,7.838274900E-4,-1.994857156E-5,1.528096887E-5
5.600000000E0,9.572410239E-5,7.822912922E-4,-6.769914736E-6,2.741572594E-5
5.800000000E0,9.885836122E-5,7.811195241E-4,-5.042234130E-6,1.835648027E-5
6.000000000E0,1.030666945E-4,7.802743985E-4,-3.857725084E-6,1.279286089E-5
6.200000000E0,1.039755056E-4,7.795764340E-4,-8.964897060E-6,1.635003151E-5
6.400000000E0,1.096067071E-4,7.766884397E-4,-2.000097478E-5,2.429562661E-5
6.600000000E0,1.136937562E-4,7.715760441E-4,-1.135426187E-5,1.413387844E-5
6.800000000E0,1.152602585E-4,7.721467349E-4,2.257184228E-6,1.348447065E-5
7.000000000E0,1.190875445E-4,7.724789178E-4,-1.425684398E-5,3.213283083E-5
7.200000000E0,1.281133908E-4,7.664439973E-4,-3.852422189E-5,2.981555853E-5
7.400000000E0,1.310137679E-4,7.570692290E-4,-3.695249492E-5,1.181635999E-5
7.600000000E0,1.328399348E-4,7.516629994E-4,-3.256592094E-5,2.153526671E-5
7.800000000E0,1.396278746E-4,7.440428607E-4,-3.000835168E-5,1.263444168E-5
8.000000000E0,1.378937115E-4,7.396596587E-4,-2.255992316E-5,-1.339627930E-5
8.200000000E0,1.342693629E-4,7.350188914E-4,-2.983063160E-5,-6.694217380E-7
8.400000000E0,1.376259428E-4,7.277274061E-4,-3.011788362E-5,1.450335361E-5
8.600000000E0,1.400707043E-4,7.229717380E-4,-8.975958624E-6,3.995143457E-6
8.800000000E0,1.392240002E-4,7.241370226E-4,4.450703260E-8,-1.016399554E-5
9.000000000E0,1.360051061E-4,7.229895408E-4,-1.295333706E-5,-1.453106813E-5
9.200000000E0,1.334115729E-4,7.189556878E-4,-1.023819439E-5,3.712180794E-6
9.400000000E0,1.374899784E-4,7.188942630E-4,-1.502778858E-5,1.377778146E-5
9.600000000E0,1.389226855E-4,7.129445724E-4,-2.499033661E-5,-8.032968416E-6
9.800000000E0,1.342767910E-4,7.088981284E-4,-1.386166793E-5,-4.547014689E-6
1.000000000E1,1.371038796E-4,7.073999052E-4,-6.148534071E-6,2.549137109E-5
1.020000000E1,1.444733395E-4,7.064387147E-4,-7.694286589E-6,1.178247934E-5
1.040000000E1,1.418168714E-4,7.043221906E-4,-6.782907953E-7,1.542618034E-5
1.060000000E1,1.506438116E-4,7.061673984E-4,9.926417144E-6,2.333899479E-5
1.080000000E1,1.511524693E-4,7.082927574E-4,3.603485135E-6,2.397167132E-5
1.100000000E1,1.602324801E-4,7.076087925E-4,-1.071240526E-5,3.527780119E-5
1.120000000E1,1.652635897E-4,7.040077953E-4,3.264629588E-8,1.693862483E-5
1.140000000E1,1.670079301E-4,7.076218510E-4,3.515714250E-6,2.039641316E-5
1.160000000E1,1.734221550E-4,7.054140810E-4,-1.906036796E-5,1.471443123E-5
1.180000000E1,1.728937026E-4,6.999977038E-4,-2.276991313E-5,5.304517026E-6
1.200000000E1,1.755439618E-4,6.963061158E-4,-2.141622677E-5,4.524293890E-6
1.220000000E1,1.747034201E-4,6.914312131E-4,-2.135689050E-5,-1.170494772E-5
1.240000000E1,1.708619827E-4,6.877633596E-4,-2.150965064E-5,-1.362448487E-5
1.260000000E1,1.692536262E-4,6.828273529E-4,-1.078555172E-5,-4.607110860E-6
1.280000000E1,1.690191384E-4,6.834491389E-4,-5.904217519E-6,6.926592883E-7
1.300000000E1,1.695306899E-4,6.804656658E-4,-3.098063824E-5,-1.481724764E-6
1.320000000E1,1.684264485E-4,6.710568836E-4,-3.076512102E-5,-8.004997804E-6
1.340000000E1,1.663286908E-4,6.681596174E-4,-5.387872120E-6,7.290607594E-6
1.360000000E1,1.713426915E-4,6.689017347E-4,-9.128929660E-6,1.703568218E-5
1.380000000E1,1.731429636E-4,6.645080456E-4,-1.606767993E-5,1.882314769E-5
1.400000000E1,1.788719506E-4,6.624746627E-4,-1.114163167E-5,1.778647467E-5
1.420000000E1,1.802575535E-4,6.600513929E-4,1.699538266E-6,-8.421865524E-6
1.440000000E1,1.755032044E-4,6.631544781E-4,-3.268079674E-5,-7.239631126E-6
1.460000000E1,1.773617011E-4,6.469790742E-4,-4.302317289E-5,6.892468281E-6
1.480000000E1,1.782601917E-4,6.459452089E-4,-2.276802161E-6,2.930878657E-6
1.500000000E1,1.785340525E-4,6.460683533E-4,-1.272582256E-5,1.659987116E-7
1.520000000E1,1.783265912E-4,6.408548799E-4,-1.408984049E-5,-2.186850592E-6
1.540000000E1,1.776593123E-4,6.404324171E-4,-3.208820605E-6,-1.218846439E-6
1.560000000E1,1.778390526E-4,6.395713516E-4,-1.192689908E-5,9.785666944E-6
1.580000000E1,1.815735791E-4,6.356616575E-4,-1.723201202E-5,2.004092838E-5
1.600000000E1,1.858554240E-4,6.326785468E-4,-2.059075958E-5,1.904972388E-5
1.620000000E1,1.891934686E-4,6.274253537E-4,-3.447354706E-5,-1.630249787E-6
1.640000000E1,1.852033241E-4,6.188891280E-4,-1.997354253E-5,7.824846068E-7
1.660000000E1,1.895064625E-4,6.194359367E-4,-1.797266899E-5,1.327561380E-5
1.680000000E1,1.905135696E-4,6.117000604E-4,-3.589496128E-5,1.472798751E-5
1.700000000E1,1.953976575E-4,6.050779522E-4,-1.853701865E-5,1.668970724E-5
1.720000000E1,1.971894525E-4,6.042852529E-4,-1.564784595E-5,2.841007545E-6
1.740000000E1,1.965340605E-4,5.988188138E-4,1.072397724E-6,-8.471091393E-6
1.760000000E1,1.938010159E-4,6.047142120E-4,1.081586607E-5,8.138970757E-6
1.780000000E1,1.997896488E-4,6.031451602E-4,-1.334530637E-5,8.330320254E-6
1.800000000E1,1.971331440E-4,5.993760895E-4,-1.893940464E-5,-7.792018422E-6
1.820000000E1,1.966728414E-4,5.955693983E-4,1.572037070E-6,2.703342106E-6
1.840000000E1,1.982144809E-4,6.000049043E-4,-1.846201269E-5,5.310104880E-6
1.860000000E1,1.987968834E-4,5.881845933E-4,-4.180843073E-5,1.546426438E-5
1.880000000E1,2.044001866E-4,5.832815320E-4,-2.183462184E-5,1.779769053E-5
1.900000000E1,2.059159596E-4,5.794507445E-4,-1.781814472E-5,3.807980265E-6
1.920000000E1,2.059233787E-4,5.761542741E-4,-1.454039733E-5,-6.858428491E-6
1.940000000E1,2.031725882E-4,5.736345856E-4,-4.580720555E-5,-1.860236014E-5
1.960000000E1,1.984824347E-4,5.578313919E-4,-4.840005839E-5,-1.004012297E-5
1.980000000E1,1.991565390E-4,5.542745622E-4,-2.206781531E-5,1.838242580E-5
2.000000000E1,2.058354050E-4,5.490042658E-4,-2.433358065E-5,7.787253622E-6
2.020000000E1,2.022714404E-4,5.445411300E-4,-7.642888042E-6,-1.492540322E-5
2.040000000E1,1.998652437E-4,5.459471106E-4,-1.666642985E-7,-7.773855061E-6
