,t,x,y,v_{y},v_{x}
0,33.2,0.000606,-0.000919,1.8100000000000003e-05,-2.81e-06
1,33.4,0.000605,-0.0009109999999999999,1.9399999999999997e-05,-8.05e-07
2,33.6,0.000606,-0.0009109999999999999,8.89e-06,-8.54e-06
3,33.8,0.000602,-0.000908,6.71e-06,-9.29e-06
4,34.0,0.000602,-0.000908,-2.46e-06,9.95e-06
5,34.2,0.000606,-0.000909,8.7e-06,-7.31e-08
6,34.4,0.000602,-0.0009050000000000001,2.8899999999999998e-05,-8.29e-06
7,34.6,0.000603,-0.000897,1.1400000000000001e-05,-2.81e-06
8,34.8,0.000601,-0.0009,7.28e-06,-3.44e-06
9,35.0,0.000601,-0.0008939999999999999,1.56e-05,2.01e-06
10,35.2,0.000602,-0.0008939999999999999,1.15e-05,5.14e-07
11,35.4,0.000602,-0.0008900000000000001,1.23e-05,2.61e-07
12,35.6,0.000602,-0.000889,1.54e-06,9.64e-08
13,35.8,0.000602,-0.000889,1.27e-05,-3.3100000000000004e-09
14,36.0,0.000602,-0.000884,2.75e-05,1.16e-06
15,36.2,0.000602,-0.000878,2.9199999999999998e-05,2.48e-06
16,36.4,0.000603,-0.000872,1.2e-05,1.31e-05
17,36.6,0.000607,-0.0008730000000000001,6.4e-06,1.18e-05
18,36.8,0.000607,-0.0008699999999999999,5.22e-06,8.44e-06
19,37.0,0.000611,-0.0008710000000000001,1.1900000000000001e-05,1.1900000000000001e-05
20,37.2,0.000612,-0.000865,1.36e-05,1.47e-05
21,37.4,0.000617,-0.000866,7.15e-06,1.53e-05
22,37.6,0.000618,-0.0008619999999999999,1e-05,1.6e-05
23,37.8,0.0006230000000000001,-0.0008619999999999999,5.51e-06,8.59e-06
24,38.0,0.0006219999999999999,-0.00086,2.34e-05,-5.97e-08
25,38.2,0.0006230000000000001,-0.000852,2.5e-05,1.26e-05
26,38.4,0.000627,-0.00085,2.77e-06,7.81e-06
27,38.6,0.0006259999999999999,-0.000851,1.26e-05,2.34e-06
28,38.8,0.000628,-0.0008449999999999999,7.07e-06,1.66e-05
29,39.0,0.000633,-0.000849,3.27e-06,1.4400000000000001e-05
30,39.2,0.000633,-0.0008439999999999999,7.84e-06,-2.67e-07
31,39.4,0.000633,-0.0008449999999999999,1.05e-05,-9.64e-07
32,39.6,0.000633,-0.000839,1.17e-05,-3.48e-07
33,39.8,0.0006320000000000001,-0.0008410000000000001,-6.97e-06,-2.81e-07
34,40.0,0.000633,-0.000842,2.35e-06,-1.8399999999999998e-07
35,40.2,0.0006320000000000001,-0.00084,6.63e-06,-1.42e-06
36,40.4,0.0006320000000000001,-0.00084,7.18e-06,1.56e-06
37,40.6,0.000633,-0.000837,3.07e-06,4.46e-07
38,40.8,0.0006320000000000001,-0.0008380000000000001,1.84e-05,-1.3000000000000001e-05
39,41.0,0.000628,-0.0008300000000000001,2.52e-05,-1.0300000000000001e-05
40,41.2,0.000628,-0.000828,2.05e-06,-5.25e-07
41,41.4,0.000628,-0.0008289999999999999,-4.9e-05,-1.1599999999999999e-05
42,41.6,0.000624,-0.000848,-0.000103,-1.3500000000000001e-05
43,41.8,0.0006219999999999999,-0.0008699999999999999,-0.000105,-1.74e-05
44,42.0,0.000617,-0.0008900000000000001,-0.000124,-3.86e-06
45,42.2,0.000621,-0.0009199999999999999,-0.00013000000000000002,-2.91e-06
46,42.4,0.000616,-0.000942,-0.000122,-5.14e-07
47,42.6,0.000621,-0.0009689999999999999,-9.329999999999999e-05,1.3699999999999998e-05
48,42.8,0.000621,-0.0009789999999999998,-2.51e-05,2.4199999999999997e-07
49,43.0,0.000621,-0.0009789999999999998,1.9699999999999998e-05,-1.4499999999999998e-05
50,43.2,0.000615,-0.0009710000000000001,2.3800000000000003e-05,-2.47e-05
51,43.4,0.000611,-0.0009689999999999999,-2.88e-06,1.39e-06
52,43.6,0.000616,-0.0009720000000000001,-5.68e-06,1.07e-05
53,43.8,0.000615,-0.0009710000000000001,1.6800000000000002e-05,-1.53e-06
54,44.0,0.000615,-0.000965,2.8000000000000003e-05,1.75e-06
55,44.2,0.000616,-0.0009599999999999999,9.05e-06,1.07e-05
56,44.4,0.00062,-0.000962,1.32e-05,-3.98e-07
57,44.6,0.000616,-0.0009550000000000001,2.23e-05,-8.31e-06
58,44.8,0.000616,-0.000953,2.9e-06,1.25e-06
59,45.0,0.000616,-0.0009539999999999999,8.38e-06,-1.38e-06
60,45.2,0.000616,-0.00095,1.3500000000000001e-05,6.19e-08
61,45.4,0.000616,-0.0009480000000000001,-2.51e-06,-2.34e-06
62,45.6,0.000615,-0.000951,-3.01e-07,-1.22e-05
63,45.8,0.000611,-0.0009480000000000001,2.21e-06,-2.27e-05
64,46.0,0.000606,-0.00095,7.159999999999999e-07,-1.26e-05
65,46.2,0.000606,-0.0009480000000000001,1.26e-05,1.82e-07
66,46.4,0.000606,-0.0009449999999999999,2.1600000000000003e-05,-1.18e-05
67,46.6,0.000601,-0.0009400000000000001,1.2e-05,-2.4299999999999998e-05
68,46.8,0.000596,-0.0009400000000000001,3.11e-06,-1.25e-05
69,47.0,0.000596,-0.000938,4.61e-07,-3.34e-07
70,47.2,0.000596,-0.0009400000000000001,-1.14e-07,-3.66e-07
71,47.4,0.000596,-0.000938,1.2e-05,-1.7e-07
72,47.6,0.000596,-0.000935,1.07e-06,6.73e-07
73,47.8,0.000597,-0.000938,1.47e-06,6.96e-07
74,48.0,0.000596,-0.0009339999999999999,-5.11e-05,9.4e-06
75,48.2,0.0006,-0.000958,-0.000154,6.81e-06
76,48.4,0.000599,-0.0009960000000000001,-0.00021400000000000002,-2.55e-06
77,48.6,0.000599,-0.0010400000000000001,-0.00022400000000000002,-7.15e-08
78,48.8,0.000599,-0.00109,-0.00016299999999999998,8.28e-06
79,49.0,0.000603,-0.0011099999999999999,-6.05e-05,9.74e-06
80,49.2,0.000603,-0.0011099999999999999,1.17e-05,5.38e-07
81,49.4,0.000603,-0.0011,1.91e-05,-2.9699999999999997e-07
82,49.6,0.000603,-0.0011,2.7899999999999997e-05,2.92e-06
83,49.8,0.000604,-0.00109,6.1e-06,1.39e-05
84,50.0,0.000608,-0.0011,-7.26e-06,9.61e-06
85,50.2,0.000608,-0.0011,1.88e-05,-1.07e-06
86,50.4,0.000608,-0.00109,5.99e-06,1.39e-05
87,50.6,0.0006129999999999999,-0.00109,-6.71e-06,1.3699999999999998e-05
88,50.8,0.0006129999999999999,-0.00109,1.91e-05,-9.95e-07
89,51.0,0.0006129999999999999,-0.00109,2.57e-05,1.24e-05
90,51.2,0.000618,-0.00108,1.5399999999999998e-05,1.3000000000000001e-05
91,51.4,0.000618,-0.00108,2.61e-05,1.54e-06
92,51.6,0.0006190000000000001,-0.00107,1.4400000000000001e-05,5.92e-07
93,51.8,0.000618,-0.00107,2.4e-05,-1.18e-05
94,52.0,0.000614,-0.00106,3.13e-05,-2.56e-05
95,52.2,0.000608,-0.00106,2.17e-07,-1.25e-05
96,52.4,0.000609,-0.00106,-7.03e-06,1.33e-06
97,52.6,0.000609,-0.00106,9e-06,-1.88e-06
98,52.8,0.000608,-0.00106,2.47e-05,1.07e-06
99,53.0,0.000609,-0.00105,1.58e-05,2.13e-06
100,53.2,0.000609,-0.00105,1.06e-05,-4.9e-07
101,53.4,0.000609,-0.00105,2.2800000000000002e-05,-2.4e-07
102,53.6,0.000609,-0.00105,2.8600000000000004e-05,1.82e-06
103,53.8,0.00061,-0.0010400000000000001,2.7000000000000002e-05,1.82e-06
104,54.0,0.00061,-0.00103,1.84e-05,-1.54e-06
105,54.2,0.000609,-0.00103,1.26e-05,-9.8e-09
106,54.4,0.00061,-0.00103,1.26e-05,2.15e-07
107,54.6,0.000609,-0.00103,1.73e-05,1.49e-06
108,54.8,0.00061,-0.0010199999999999999,-4.69e-06,2.01e-06
109,55.0,0.00061,-0.00103,-3.53e-06,-1.28e-05
110,55.2,0.000605,-0.0010199999999999999,1.01e-05,-1.29e-05
111,55.4,0.000605,-0.0010199999999999999,-3.29e-06,9.4e-06
112,55.6,0.000609,-0.00103,9.01e-06,1.1e-05
113,55.8,0.000609,-0.0010199999999999999,3.56e-06,-1.01e-05
114,56.0,0.000605,-0.0010199999999999999,-8.51e-06,4.45e-07
115,56.2,0.000609,-0.0010199999999999999,7.05e-06,9.69e-06
116,56.4,0.000609,-0.0010199999999999999,2.22e-05,-5.01e-07
117,56.6,0.000609,-0.0010199999999999999,1.65e-05,1.68e-06
118,56.8,0.000609,-0.00101,1.57e-05,-1.04e-05
119,57.0,0.000605,-0.00101,8.98e-06,-1.13e-06
120,57.2,0.000609,-0.00101,1.26e-05,1.21e-05
121,57.4,0.00061,-0.001,1.67e-05,1.4599999999999999e-05
122,57.6,0.000615,-0.001,1.22e-05,1.32e-05
123,57.8,0.000615,-0.000999,8.54e-06,1.11e-05
124,58.0,0.0006190000000000001,-0.001,3.25e-06,1.29e-05
