t,x,y,v_{y},v_{x}
9.320000000E1,1.846116855E-3,2.920342482E-4,,
9.340000000E1,1.841569952E-3,2.844827202E-4,-2.767695133E-5,-5.974380991E-6
9.360000000E1,1.843727103E-3,2.809634677E-4,-2.917777261E-5,-9.528470798E-7
9.380000000E1,1.841188813E-3,2.728116112E-4,-5.428249292E-5,-2.442502769E-5
9.400000000E1,1.833957092E-3,2.592504705E-4,-4.322343832E-5,-1.198308097E-5
9.420000000E1,1.836395581E-3,2.555222359E-4,-2.729087456E-5,-5.685792539E-6
9.440000000E1,1.831682775E-3,2.483341207E-4,-3.986425793E-5,-1.959863445E-5
9.460000000E1,1.828556127E-3,2.395765327E-4,-2.922568304E-5,-1.121189149E-5
9.480000000E1,1.827198018E-3,2.366438475E-4,-2.538799578E-5,-8.920793342E-6
9.500000000E1,1.824987810E-3,2.294213344E-4,-2.878739817E-5,-4.381811045E-6
9.520000000E1,1.825445294E-3,2.251288882E-4,-2.205560317E-5,-1.476680561E-5
9.540000000E1,1.819081088E-3,2.205990931E-4,-4.365252610E-5,-6.286573218E-6
9.560000000E1,1.822930664E-3,2.076678778E-4,-5.152616077E-5,1.360671486E-5
9.580000000E1,1.824523773E-3,1.999886288E-4,-3.526502497E-5,-4.645960143E-6
9.600000000E1,1.821072280E-3,1.935618678E-4,-1.690351895E-5,-1.405575870E-5
9.620000000E1,1.818901470E-3,1.932272212E-4,-1.656928794E-5,-1.683448741E-5
9.640000000E1,1.814338485E-3,1.869341526E-4,-2.873205715E-5,-1.656446058E-5
9.660000000E1,1.812275686E-3,1.817343984E-4,-1.256100194E-5,-1.711623703E-5
9.680000000E1,1.807491990E-3,1.819097518E-4,-7.129691164E-6,-6.022178025E-6
9.700000000E1,1.809866815E-3,1.788825219E-4,-2.276887330E-5,8.241823899E-6
9.720000000E1,1.810788720E-3,1.728022025E-4,-4.319821168E-5,-5.029928234E-7
9.740000000E1,1.809665617E-3,1.616032372E-4,-3.105629454E-5,-7.998176633E-6
9.760000000E1,1.807589449E-3,1.603796847E-4,-1.509467028E-5,-4.042363646E-6
9.780000000E1,1.808048672E-3,1.555653691E-4,-2.800538898E-5,3.665009664E-6
9.800000000E1,1.809055453E-3,1.491775291E-4,-2.937581985E-5,-7.272466722E-6
9.820000000E1,1.805139685E-3,1.438150412E-4,-2.606119253E-5,-4.015037393E-5
9.840000000E1,1.792995304E-3,1.387530521E-4,-1.358958307E-5,-4.344750856E-5
9.860000000E1,1.787760682E-3,1.383792079E-4,-5.970255091E-6,-1.156782655E-5
9.880000000E1,1.788368173E-3,1.363649500E-4,-2.251725454E-5,-2.563847998E-6
