t,x,y,v_{x},v_{y}
2.768000000E2,1.136528437E-3,1.400634110E-3,,
2.770000000E2,1.131624083E-3,1.404359387E-3,-2.460258978E-5,-1.633494613E-6
2.772000000E2,1.126687401E-3,1.399980712E-3,1.090774502E-4,-1.511813175E-4
2.774000000E2,1.175255063E-3,1.343886860E-3,1.043098972E-4,-1.165729568E-4
2.776000000E2,1.168411360E-3,1.353351529E-3,-1.167795749E-5,2.038395062E-7
2.778000000E2,1.170583880E-3,1.343968395E-3,-7.970730738E-5,1.182064515E-4
2.780000000E2,1.136528437E-3,1.400634110E-3,-8.443758112E-5,1.404954432E-4
2.782000000E2,1.136808848E-3,1.400166573E-3,-3.232020630E-6,1.816402664E-6
2.784000000E2,1.135235629E-3,1.401360671E-3,2.689079725E-6,-8.923910139E-6
2.786000000E2,1.137884479E-3,1.396597009E-3,1.784265328E-5,-1.546244793E-5
2.788000000E2,1.142372690E-3,1.395175692E-3,1.653172510E-5,-2.535390357E-5
2.790000000E2,1.144497169E-3,1.386455447E-3,1.123344162E-6,-3.327947706E-5
2.792000000E2,1.142822028E-3,1.381863901E-3,4.128870199E-6,3.307011674E-6
2.794000000E2,1.146148718E-3,1.387778252E-3,1.535217332E-5,5.817177725E-6
2.796000000E2,1.148962897E-3,1.384190772E-3,3.467749632E-7,-1.666941635E-5
2.798000000E2,1.146287427E-3,1.381110485E-3,-1.820203145E-5,-1.980351567E-5
2.800000000E2,1.141682085E-3,1.376269366E-3,-3.538772409E-5,-1.463224632E-5
2.802000000E2,1.132132338E-3,1.375257587E-3,-4.582436307E-5,-8.219967450E-6
2.804000000E2,1.123352339E-3,1.372981379E-3,-2.396784118E-5,-1.460072293E-5
2.806000000E2,1.122545201E-3,1.369417298E-3,-3.359511185E-6,-1.333171075E-5
2.808000000E2,1.122008535E-3,1.367648695E-3,-2.034374150E-5,-6.001302941E-6
2.810000000E2,1.114407705E-3,1.367016776E-3,-3.290623370E-5,-1.176953654E-5
2.812000000E2,1.108846041E-3,1.362940880E-3,-6.585781229E-6,-3.362708066E-5
2.814000000E2,1.111773392E-3,1.353565944E-3,-1.011696911E-5,-2.758810981E-5
2.816000000E2,1.104799254E-3,1.351905636E-3,-8.404419472E-7,-7.228739625E-6
2.818000000E2,1.111437216E-3,1.350674448E-3,5.513127905E-6,-6.872932411E-6
2.820000000E2,1.107004505E-3,1.349156463E-3,-4.234451328E-5,-1.441856359E-5
2.822000000E2,1.094499410E-3,1.344907023E-3,-3.650212261E-5,-4.138176095E-5
2.824000000E2,1.092403656E-3,1.332603759E-3,-2.448978924E-7,-2.345571807E-5
2.826000000E2,1.094401451E-3,1.335524736E-3,1.405296480E-5,4.988737914E-6
2.828000000E2,1.098024842E-3,1.334599254E-3,-1.402541146E-6,-2.046854325E-5
2.830000000E2,1.093840435E-3,1.327337318E-3,-2.467893571E-5,-3.507982104E-5
2.832000000E2,1.088153268E-3,1.320567325E-3,-1.244051748E-6,-2.829484730E-5
2.834000000E2,1.093342814E-3,1.316019379E-3,2.217284725E-5,-1.977094286E-5
2.836000000E2,1.097022406E-3,1.312658948E-3,-1.072976822E-5,-1.401610375E-5
2.838000000E2,1.089050907E-3,1.310412938E-3,-4.798470061E-6,-2.458016196E-5
2.840000000E2,1.095103018E-3,1.302826883E-3,1.073342170E-5,-2.771360798E-5
2.842000000E2,1.093344275E-3,1.299327495E-3,-8.624922030E-6,-2.115693494E-5
2.844000000E2,1.091653050E-3,1.294364109E-3,-1.529825234E-5,-2.425370430E-5
2.846000000E2,1.087224974E-3,1.289626013E-3,-1.889495793E-5,-2.377538245E-5
2.848000000E2,1.084095066E-3,1.284853957E-3,1.151660737E-6,-3.280628635E-5
2.850000000E2,1.087685639E-3,1.276503499E-3,1.589459674E-6,-1.179168689E-5
2.852000000E2,1.084730850E-3,1.280137282E-3,3.112008661E-6,-3.474860760E-6
2.854000000E2,1.088930442E-3,1.275113554E-3,-1.894963171E-5,-1.818904458E-5
2.856000000E2,1.077150998E-3,1.272861664E-3,-5.972659769E-5,-1.838893902E-5
2.858000000E2,1.065039803E-3,1.267757979E-3,-1.418460215E-5,-2.688635770E-5
2.860000000E2,1.071477157E-3,1.262107121E-3,1.482414253E-5,-3.599088854E-5
2.862000000E2,1.070969460E-3,1.253361623E-3,3.316104116E-9,-2.630382828E-5
2.864000000E2,1.071478483E-3,1.251585590E-3,-3.930616040E-6,-2.500290054E-5
2.866000000E2,1.069397214E-3,1.243360463E-3,9.541135204E-6,-3.171947379E-5
2.868000000E2,1.075294937E-3,1.238897800E-3,1.585889702E-5,-3.460170264E-6
2.870000000E2,1.075740772E-3,1.241976395E-3,-1.085513177E-5,-1.094937887E-5
2.872000000E2,1.070952885E-3,1.234518048E-3,-5.467501932E-6,-4.669127530E-5
