t,x,y,v_{x},v_{y}
2.580000000E1,8.437774394E-4,8.342873855E-4,,
2.600000000E1,8.461705283E-4,8.251356863E-4,1.701329964E-7,-4.981406835E-5
2.620000000E1,8.438454926E-4,8.143617582E-4,-8.879278580E-6,-6.350282054E-5
2.640000000E1,8.426188169E-4,7.997345581E-4,-1.148968570E-5,-5.535415561E-5
2.660000000E1,8.392496184E-4,7.922200960E-4,-1.008690031E-5,-5.467595798E-5
2.680000000E1,8.385840567E-4,7.778641749E-4,-9.364653602E-6,-5.724648296E-5
2.700000000E1,8.355037569E-4,7.693215028E-4,-7.383101612E-6,-4.676378144E-5
2.720000000E1,8.356308161E-4,7.591586623E-4,1.472555800E-5,-5.468628977E-5
2.740000000E1,8.413939801E-4,7.474469869E-4,7.428411899E-6,-5.774414174E-5
2.760000000E1,8.386021809E-4,7.360610056E-4,6.209021798E-6,-3.819458956E-5
2.780000000E1,8.438775888E-4,7.321691510E-4,1.810851367E-5,-4.090915004E-5
2.800000000E1,8.458455863E-4,7.196973456E-4,3.773066973E-7,-3.373469072E-5
2.820000000E1,8.440285115E-4,7.186752748E-4,1.318178124E-6,-1.491056047E-5
2.840000000E1,8.463728576E-4,7.137331214E-4,1.108790641E-5,-3.329999608E-5
2.860000000E1,8.484636741E-4,7.053552763E-4,1.195851463E-5,-2.783554596E-5
2.880000000E1,8.511562634E-4,7.025989030E-4,8.195614284E-6,-3.715147560E-5
2.900000000E1,8.517419198E-4,6.904946861E-4,2.381515004E-6,-5.103536345E-5
2.920000000E1,8.521088694E-4,6.821847576E-4,-1.293137714E-5,-3.724472455E-5
2.940000000E1,8.465693689E-4,6.755967963E-4,-1.485172164E-5,-4.526684101E-5
2.960000000E1,8.461681808E-4,6.640780212E-4,2.688758301E-7,-5.034258727E-5
2.980000000E1,8.466769193E-4,6.554597614E-4,5.836297320E-6,-5.687399738E-5
3.000000000E1,8.485026997E-4,6.413284223E-4,2.823274264E-6,-5.023679129E-5
3.020000000E1,8.478062290E-4,6.353650448E-4,1.179123382E-6,-3.815251162E-5
3.040000000E1,8.489743491E-4,6.260674176E-4,-7.848053770E-7,-3.382004291E-5
