t,x,y,v_{x},v_{y}
2.480000000E1,6.137831920E-4,9.439812439E-4,,
2.500000000E1,6.208398241E-4,9.335123692E-4,1.401087875E-5,-5.008860122E-5
2.520000000E1,6.193875435E-4,9.239458034E-4,-5.460405094E-6,-4.170611689E-5
2.540000000E1,6.186556621E-4,9.168299224E-4,-5.128602700E-6,-5.071297338E-5
2.560000000E1,6.173361024E-4,9.036606140E-4,8.884319510E-6,-4.893319875E-5
2.580000000E1,6.222093899E-4,8.972566429E-4,1.683702919E-5,-2.470959833E-5
2.600000000E1,6.240709141E-4,8.937767747E-4,-3.026733587E-6,-1.998888924E-5
2.620000000E1,6.209986964E-4,8.892610872E-4,-8.584517220E-7,-3.578481648E-5
2.640000000E1,6.237275334E-4,8.794628481E-4,1.239349253E-5,-2.305168898E-5
2.660000000E1,6.259560934E-4,8.800404116E-4,3.122741840E-7,-9.887421756E-6
2.680000000E1,6.238524431E-4,8.755078794E-4,-1.134028140E-5,-3.219058571E-5
2.700000000E1,6.214199809E-4,8.671641774E-4,-5.695087651E-6,-3.518211855E-5
2.720000000E1,6.215744080E-4,8.614350320E-4,5.581885783E-6,-2.571732299E-5
2.740000000E1,6.236527352E-4,8.568772482E-4,8.110091640E-6,-1.956032495E-5
2.760000000E1,6.248184447E-4,8.536109020E-4,-1.670882213E-6,-2.347996210E-5
2.780000000E1,6.229843823E-4,8.474852633E-4,-2.080272742E-5,-4.967930118E-5
2.800000000E1,6.164973537E-4,8.337391815E-4,-1.621278817E-5,-6.653701758E-5
2.820000000E1,6.164992670E-4,8.208704563E-4,8.155923088E-6,-7.193667645E-5
2.840000000E1,6.197597229E-4,8.049645109E-4,-2.039346465E-6,-4.912385401E-5
2.860000000E1,6.156835285E-4,8.012209147E-4,-1.138250514E-5,-2.706073905E-5
2.880000000E1,6.152067209E-4,7.941402153E-4,7.716074942E-7,-3.339159212E-5
2.900000000E1,6.159921715E-4,7.878642778E-4,8.515889760E-7,-3.842104306E-5
2.920000000E1,6.155473565E-4,7.787717981E-4,7.519399247E-6,-4.445935050E-5
2.940000000E1,6.189999312E-4,7.700805376E-4,9.353558919E-6,-3.498260121E-5
2.960000000E1,6.192887800E-4,7.647787576E-4,1.610438052E-6,-3.821974810E-5
2.980000000E1,6.196441064E-4,7.547926384E-4,-3.554738251E-6,-4.016177840E-5
3.000000000E1,6.178668847E-4,7.487140463E-4,-2.002409179E-6,-3.496965938E-5
3.020000000E1,6.188431427E-4,7.408047746E-4,1.213602183E-5,-3.307374027E-5
3.040000000E1,6.227212934E-4,7.354845502E-4,8.895095051E-6,-4.079963202E-5
3.060000000E1,6.224011807E-4,7.244849218E-4,-1.089137516E-5,-7.110613439E-5
3.080000000E1,6.183647434E-4,7.070420964E-4,-2.093913906E-5,-5.766430845E-5
3.100000000E1,6.140255251E-4,7.014191985E-4,-1.385482967E-5,-4.073313206E-5
3.120000000E1,6.128228115E-4,6.907488436E-4,-2.931451079E-6,-5.061958875E-5
3.140000000E1,6.128529447E-4,6.811713630E-4,-6.961672905E-6,-3.867318209E-5
3.160000000E1,6.100381424E-4,6.752795707E-4,-1.437585084E-5,-3.603864429E-5
3.180000000E1,6.071026043E-4,6.667559052E-4,-1.971385695E-5,-3.774601047E-5
3.200000000E1,6.021525996E-4,6.601811665E-4,-5.134742929E-6,-4.954801659E-5
3.220000000E1,6.050487072E-4,6.469366986E-4,1.176489663E-6,-5.085424642E-5
3.240000000E1,6.026231954E-4,6.398394680E-4,-1.693082015E-5,-3.816702543E-5
3.260000000E1,5.982763791E-4,6.316698884E-4,-1.517901881E-5,-4.627140358E-5
3.280000000E1,5.965515879E-4,6.213309065E-4,4.048892279E-7,-4.737357242E-5
3.300000000E1,5.984383348E-4,6.127204595E-4,2.010240024E-6,-2.756468003E-5
3.320000000E1,5.973556839E-4,6.103050345E-4,-4.158156991E-6,-2.450542188E-5
3.340000000E1,5.967750720E-4,6.029182907E-4,1.068055739E-6,-2.828600190E-5
3.360000000E1,5.977829062E-4,5.989906338E-4,5.152512607E-6,-2.684794311E-5
3.380000000E1,5.988360770E-4,5.921791135E-4,5.906354150E-6,-3.991808123E-5
3.400000000E1,6.001454479E-4,5.830234013E-4,5.214234985E-6,-3.806548157E-5
3.420000000E1,6.009217710E-4,5.769529208E-4,2.036888609E-5,-1.625203862E-5
3.440000000E1,6.082930023E-4,5.765225858E-4,2.685501299E-5,-2.092947654E-5
3.460000000E1,6.116637762E-4,5.685811302E-4,9.669957335E-6,-3.947527467E-5
3.480000000E1,6.121609853E-4,5.607324760E-4,2.087586252E-5,-4.523659705E-5
3.500000000E1,6.200141212E-4,5.504864914E-4,3.410068156E-5,-4.945635264E-5
3.520000000E1,6.258012579E-4,5.409499349E-4,2.236383224E-5,-2.739016746E-5
3.540000000E1,6.289596541E-4,5.395304244E-4,3.178879272E-5,-4.637182230E-5
3.560000000E1,6.385167750E-4,5.224012060E-4,1.838491686E-5,-6.348786672E-5
3.580000000E1,6.363136209E-4,5.141352777E-4,-5.378585110E-7,-3.842152306E-5
3.600000000E1,6.383016316E-4,5.070325968E-4,1.230599720E-6,-2.984093956E-5
