t,x,y,v_{y},v_{x}
1.868000000E2,4.382730187E-4,1.402183376E-3,,
1.870000000E2,4.348016130E-4,1.397069455E-3,-1.862809893E-5,-8.747114238E-6
1.872000000E2,4.347741730E-4,1.394732136E-3,-4.204853716E-5,-1.171267829E-6
1.874000000E2,4.343331059E-4,1.380250040E-3,-5.746095963E-5,-4.743289128E-6
1.876000000E2,4.328768573E-4,1.371747752E-3,-4.282633803E-5,-8.983131051E-6
1.878000000E2,4.307398534E-4,1.363119505E-3,-3.816047411E-5,1.184236235E-6
1.880000000E2,4.333505518E-4,1.356483563E-3,-4.002509776E-5,2.251875049E-5
1.882000000E2,4.397473536E-4,1.347109466E-3,-4.176309841E-5,1.952755817E-5
1.884000000E2,4.411615751E-4,1.339778323E-3,-4.310707642E-5,1.283906706E-5
1.886000000E2,4.448829805E-4,1.329866636E-3,-4.179738456E-5,1.601444784E-5
1.888000000E2,4.475673542E-4,1.323059369E-3,-3.870361267E-5,2.337245966E-6
1.890000000E2,4.458178788E-4,1.314385191E-3,-3.762596289E-5,1.136757069E-5
1.892000000E2,4.521143825E-4,1.308008984E-3,-4.276065333E-5,2.496062494E-5
1.894000000E2,4.558021288E-4,1.297280929E-3,-7.521375159E-5,8.676764191E-6
1.896000000E2,4.555850882E-4,1.277923484E-3,-7.667326407E-5,-9.843525591E-6
1.898000000E2,4.518647186E-4,1.266611624E-3,-6.111326791E-5,-1.334278121E-5
1.900000000E2,4.502479757E-4,1.253478177E-3,-4.454876343E-5,-1.707524369E-6
1.902000000E2,4.511817088E-4,1.248792118E-3,-4.684858432E-5,-1.081604131E-6
1.904000000E2,4.498153340E-4,1.234738743E-3,-3.437744048E-5,-1.531869573E-5
1.906000000E2,4.450542305E-4,1.235041142E-3,-2.414871477E-5,-3.091523120E-6
1.908000000E2,4.485787248E-4,1.225079257E-3,-4.726323671E-5,3.794805380E-7
1.910000000E2,4.452060228E-4,1.216135847E-3,-5.507338635E-5,-1.645543217E-5
1.912000000E2,4.419965519E-4,1.203049902E-3,-5.933532549E-5,-5.267592223E-6
1.914000000E2,4.430989859E-4,1.192401717E-3,-4.496241114E-5,-1.067822769E-6
1.916000000E2,4.415694228E-4,1.185064938E-3,-3.070425697E-5,4.736598281E-6
1.918000000E2,4.449936252E-4,1.180120014E-3,-1.674099515E-5,5.402037764E-6
1.920000000E2,4.437302379E-4,1.178368540E-3,-2.532895829E-5,-1.864598292E-5
1.922000000E2,4.375352320E-4,1.169988431E-3,-4.543936731E-5,-2.854880135E-6
1.924000000E2,4.425882859E-4,1.160192793E-3,-4.722103395E-5,-1.700159232E-6
1.926000000E2,4.368551683E-4,1.151100017E-3,-3.760484821E-5,-1.218767528E-5
1.928000000E2,4.377132158E-4,1.145150854E-3,-2.968254799E-5,-7.310180834E-6
1.930000000E2,4.339310960E-4,1.139226998E-3,-5.159354888E-5,-1.792652573E-5
1.932000000E2,4.305426055E-4,1.124513434E-3,-5.899728650E-5,8.856537502E-6
1.934000000E2,4.374737110E-4,1.115628084E-3,-3.235090068E-5,2.742133866E-5
1.936000000E2,4.415111409E-4,1.111573074E-3,-2.809832165E-5,8.680571840E-6
1.938000000E2,4.409459397E-4,1.104388755E-3,-3.899494807E-5,-2.604589689E-6
1.940000000E2,4.404693050E-4,1.095975095E-3,-5.254603183E-5,-1.817706768E-5
1.942000000E2,4.336751126E-4,1.083370342E-3,-4.594512650E-5,-1.569349479E-5
1.944000000E2,4.341919071E-4,1.077597044E-3,-4.661088852E-5,-9.811041867E-6
1.946000000E2,4.297506959E-4,1.064725987E-3,-5.913537141E-5,-1.842046200E-5
1.948000000E2,4.268237223E-4,1.053942895E-3,-4.580559797E-5,-1.164794987E-5
1.950000000E2,4.250915160E-4,1.046403748E-3,-3.439448207E-5,-1.064199675E-5
1.952000000E2,4.225669236E-4,1.040185103E-3,-4.838216648E-5,-9.028719207E-6
1.954000000E2,4.214800283E-4,1.027050881E-3,-4.743142857E-5,-1.129962138E-5
1.956000000E2,4.180470751E-4,1.021212531E-3,-5.368102207E-5,-1.654511143E-5
1.958000000E2,4.148619837E-4,1.005578472E-3,-6.269402549E-5,-6.336843769E-6
1.960000000E2,4.155123376E-4,9.961349209E-4,-5.749387358E-5,1.128698579E-5
1.962000000E2,4.193767780E-4,9.825809228E-4,-3.948180144E-5,4.564211962E-6
1.964000000E2,4.173380224E-4,9.803422004E-4,-3.944556837E-5,6.558327072E-7
1.966000000E2,4.196391111E-4,9.668026954E-4,-5.403552469E-5,9.862699239E-8
1.968000000E2,4.173774732E-4,9.587279905E-4,-4.050756415E-5,2.471633760E-6
1.970000000E2,4.206277646E-4,9.505996698E-4,-3.769646243E-5,1.078256357E-5
1.972000000E2,4.216904986E-4,9.436494055E-4,-3.741961909E-5,9.069370767E-6
1.974000000E2,4.242555129E-4,9.356318221E-4,-4.740716344E-5,7.562817872E-6
1.976000000E2,4.247156257E-4,9.246865401E-4,-5.059581621E-5,5.707792813E-6
1.978000000E2,4.265386300E-4,9.153934957E-4,-4.848858629E-5,5.099269288E-6
1.980000000E2,4.267553335E-4,9.052911056E-4,-4.469331090E-5,3.358131768E-6
1.982000000E2,4.278818827E-4,8.975161713E-4,-5.053970480E-5,-1.181286290E-6
1.984000000E2,4.262828189E-4,8.850752237E-4,-4.131241955E-5,-1.139122102E-5
1.986000000E2,4.233253943E-4,8.809912035E-4,-4.252473781E-5,-2.029293261E-7
1.988000000E2,4.262016472E-4,8.680653286E-4,-5.376043373E-5,1.192945337E-5
1.990000000E2,4.280971757E-4,8.594870300E-4,-3.106872644E-5,9.912834141E-6
1.992000000E2,4.301667809E-4,8.556378380E-4,-2.049194088E-5,5.242956181E-6
1.994000000E2,4.301943582E-4,8.512902536E-4,-3.650672708E-5,-1.013355598E-5
1.996000000E2,4.261133585E-4,8.410351472E-4,-4.581202807E-5,-8.802503468E-6
1.998000000E2,4.266733568E-4,8.329654424E-4,-3.813476295E-5,-1.239121438E-6
2.000000000E2,4.256177099E-4,8.257812420E-4,-4.066541945E-5,-2.952241510E-6
2.002000000E2,4.254924602E-4,8.166992746E-4,-4.924166016E-5,-3.560956011E-6
2.004000000E2,4.241933275E-4,8.060845779E-4,-6.294127619E-5,9.957915661E-6
2.006000000E2,4.294756264E-4,7.915227642E-4,-6.481464513E-5,1.588136790E-5
2.008000000E2,4.305458747E-4,7.801587199E-4,-5.785590095E-5,-1.113591194E-5
2.010000000E2,4.250212617E-4,7.683804038E-4,-6.716820432E-5,-2.396420196E-5
2.012000000E2,4.209601939E-4,7.532914381E-4,-5.623903006E-5,-6.942349792E-6
2.014000000E2,4.222443217E-4,7.458847918E-4,-4.404243760E-5,-8.620888943E-7
2.016000000E2,4.206153583E-4,7.356744631E-4,-3.779719851E-5,-1.475857590E-5
2.018000000E2,4.163408914E-4,7.307659123E-4,-3.147169779E-5,-1.201062160E-6
2.020000000E2,4.201349334E-4,7.230857840E-4,-2.988187339E-5,1.577780619E-6
2.022000000E2,4.169720036E-4,7.188131630E-4,-2.849735826E-5,-2.218507132E-6
2.024000000E2,4.192475306E-4,7.116868407E-4,-3.709385435E-5,-1.353431339E-5
2.026000000E2,4.115582783E-4,7.039756213E-4,-3.542701011E-5,-1.589807808E-5
2.028000000E2,4.128882994E-4,6.975160366E-4,-4.735136252E-5,2.053304683E-5
2.030000000E2,4.197714970E-4,6.850350762E-4,-4.677213780E-5,2.743529159E-6
2.032000000E2,4.139857110E-4,6.788071815E-4,-3.491781700E-5,-1.875473908E-5
2.034000000E2,4.122696014E-4,6.710679494E-4,-3.803986148E-5,-1.201532072E-5
2.036000000E2,4.091795827E-4,6.635912369E-4,-4.397529160E-5,-1.337340074E-5
2.038000000E2,4.069202411E-4,6.534778328E-4,-4.900430192E-5,9.430451063E-6
2.040000000E2,4.129517632E-4,6.439895162E-4,-4.342908105E-5,3.149822899E-5
2.042000000E2,4.195195327E-4,6.361062004E-4,-3.848768987E-5,1.329076126E-5
2.044000000E2,4.182680677E-4,6.285944402E-4,-3.871156581E-5,-9.945381264E-6
2.046000000E2,4.155413802E-4,6.206215741E-4,-4.473724206E-5,1.023972198E-5
2.048000000E2,4.223639565E-4,6.106995434E-4,-5.195801132E-5,-1.207812814E-6
2.050000000E2,4.150582550E-4,5.998383695E-4,-4.163567834E-5,-9.317370804E-6
2.052000000E2,4.186370081E-4,5.940452721E-4,-4.378753503E-5,1.412835573E-5
2.054000000E2,4.207095973E-4,5.823233555E-4,-5.141115448E-5,1.159164147E-5
2.056000000E2,4.232736647E-4,5.734808103E-4,-3.302565643E-5,1.085588014E-5
2.058000000E2,4.250519494E-4,5.691130929E-4,-2.726626365E-5,1.380768329E-5
2.060000000E2,4.287967380E-4,5.625743048E-4,-3.195944019E-5,1.691336968E-6
2.062000000E2,4.257284842E-4,5.563293169E-4,-4.537053532E-5,-4.721533358E-6
2.064000000E2,4.269081247E-4,5.444260907E-4,-4.234068111E-5,6.640489494E-6
2.066000000E2,4.283846800E-4,5.393930444E-4,-2.576192949E-5,-6.739761839E-7
2.068000000E2,4.266385342E-4,5.341213189E-4,-2.509782313E-5,2.709272741E-6
2.070000000E2,4.294683891E-4,5.293539152E-4,-2.391593277E-5,1.561748399E-5
2.072000000E2,4.328855278E-4,5.245549458E-4,-2.199758750E-5,1.741533677E-5
2.074000000E2,4.364345238E-4,5.205548802E-4,-3.830909483E-5,1.626630753E-5
2.076000000E2,4.393920508E-4,5.092313078E-4,-6.173988304E-5,1.787049964E-5
2.078000000E2,4.435827236E-4,4.958589270E-4,-5.623694869E-5,9.536856429E-6
2.080000000E2,4.432067934E-4,4.867365284E-4,-3.141686001E-5,3.689268246E-7
2.082000000E2,4.437302944E-4,4.832921830E-4,-1.723956662E-5,-2.129722512E-6
2.084000000E2,4.423549044E-4,4.798407017E-4,-3.039505001E-5,-1.093314928E-5
2.086000000E2,4.393570347E-4,4.711341630E-4,-3.971660350E-5,-6.540597127E-6
2.088000000E2,4.397386655E-4,4.639540603E-4,-4.246453763E-5,3.563080794E-6
2.090000000E2,4.407822670E-4,4.541483479E-4,-4.501573607E-5,8.450334759E-6
2.092000000E2,4.431187994E-4,4.459477659E-4,-4.149878323E-5,-1.683507258E-6
2.094000000E2,4.401088641E-4,4.375488346E-4,-3.844501464E-5,-1.064808150E-6
2.096000000E2,4.426928762E-4,4.305697600E-4,-3.733220229E-5,6.074749628E-6
2.098000000E2,4.425387639E-4,4.226159537E-4,-3.267402583E-5,-3.498042875E-7
2.100000000E2,4.425529545E-4,4.175001497E-4,-3.647466394E-5,9.265666553E-6
2.102000000E2,4.462450305E-4,4.080260881E-4,-4.699398354E-5,7.399167546E-6
2.104000000E2,4.455126215E-4,3.987025563E-4,-4.374054945E-5,-9.946671965E-6
2.106000000E2,4.422663618E-4,3.905298683E-4,-4.213822866E-5,-7.772662694E-6
2.108000000E2,4.424035564E-4,3.818472648E-4,-3.608285267E-5,-9.269913336E-6
2.110000000E2,4.385583964E-4,3.760967273E-4,-4.734555119E-5,-1.100520515E-5
2.112000000E2,4.380014744E-4,3.629090443E-4,-4.740057943E-5,-1.086223768E-5
2.114000000E2,4.342135013E-4,3.571364955E-4,-2.943736774E-5,-6.719342100E-6
2.116000000E2,4.353137375E-4,3.511340972E-4,-3.567677965E-5,7.164425789E-6
2.118000000E2,4.370792717E-4,3.428657836E-4,-2.661165638E-5,-1.592786722E-6
2.120000000E2,4.346766228E-4,3.404894347E-4,-8.834095636E-6,-5.246139342E-6
2.122000000E2,4.349808159E-4,3.393321454E-4,-2.240390446E-5,5.331392051E-6
2.124000000E2,4.368091796E-4,3.315278729E-4,-3.866545393E-5,7.249001695E-6
2.126000000E2,4.378804166E-4,3.238659638E-4,-4.103002667E-5,1.894375498E-6
2.128000000E2,4.375669298E-4,3.151158622E-4,-5.204839473E-5,5.821250595E-6
2.130000000E2,4.402089168E-4,3.030466059E-4,-5.297106712E-5,8.043086762E-6
2.132000000E2,4.407841645E-4,2.939274354E-4,-3.309835739E-5,1.090526098E-6
2.134000000E2,4.406451273E-4,2.898072630E-4,-2.006394808E-5,9.668663033E-6
2.136000000E2,4.446516298E-4,2.859018562E-4,-3.603927324E-5,1.916240371E-5
2.138000000E2,4.483100888E-4,2.753915537E-4,-3.151492183E-5,1.658157993E-5
2.140000000E2,4.512842617E-4,2.732958874E-4,2.127496145E-6,4.217736017E-6
2.142000000E2,4.499971832E-4,2.762425521E-4,7.844666115E-5,-1.910640976E-5
2.144000000E2,4.436416978E-4,3.046745519E-4,1.573867144E-4,-2.061009655E-5
2.146000000E2,4.417531446E-4,3.391972379E-4,1.518504042E-4,1.371450934E-5
2.148000000E2,4.491275016E-4,3.654147136E-4,1.508975438E-4,2.260926378E-5
2.150000000E2,4.507968501E-4,3.995562554E-4,1.894535270E-4,5.378101434E-6
2.152000000E2,4.512787421E-4,4.411961244E-4,1.844389142E-4,5.066357134E-6
2.154000000E2,4.528233929E-4,4.733318211E-4,1.595614009E-4,8.836539174E-6
2.156000000E2,4.548133578E-4,5.050206848E-4,1.756918313E-4,6.992029645E-6
2.158000000E2,4.556202048E-4,5.436085536E-4,1.683508718E-4,1.030973775E-5
2.160000000E2,4.589372529E-4,5.723610335E-4,1.794400839E-4,3.298612325E-6
2.162000000E2,4.569396497E-4,6.153845872E-4,1.975765656E-4,-2.503597179E-6
2.164000000E2,4.579358140E-4,6.513916597E-4,1.671428223E-4,-3.488162842E-6
2.166000000E2,4.555443846E-4,6.822417161E-4,1.669805750E-4,-8.312592913E-6
2.168000000E2,4.546107769E-4,7.181838897E-4,1.830686199E-4,3.493411269E-7
2.170000000E2,4.556841210E-4,7.554691641E-4,1.662527285E-4,1.333989151E-5
2.172000000E2,4.599467335E-4,7.846849811E-4,1.651138095E-4,1.258009784E-5
2.174000000E2,4.607161602E-4,8.215146879E-4,1.807956107E-4,1.102345463E-6
2.176000000E2,4.603876717E-4,8.570032254E-4,1.661337902E-4,8.549392797E-6
2.178000000E2,4.641359173E-4,8.879682039E-4,1.759492693E-4,1.188233056E-5
2.180000000E2,4.651406039E-4,9.273829331E-4,1.815558301E-4,9.065218405E-6
2.182000000E2,4.677620046E-4,9.605905360E-4,1.622755109E-4,4.053366265E-5
2.184000000E2,4.813540689E-4,9.922931375E-4,1.737113992E-4,3.288543228E-5
2.186000000E2,4.809161775E-4,1.030075096E-3,1.857054765E-4,1.754789583E-6
2.188000000E2,4.820559848E-4,1.066575328E-3,1.835137643E-4,1.720088948E-5
2.190000000E2,4.877965333E-4,1.103480601E-3,1.843810913E-4,5.826370658E-6
2.192000000E2,4.843865330E-4,1.140327765E-3,1.781301055E-4,1.759436996E-6
2.194000000E2,4.885003081E-4,1.174732644E-3,1.784412762E-4,1.806188976E-5
2.196000000E2,4.916112889E-4,1.211704275E-3,1.701127350E-4,1.126808857E-5
2.198000000E2,4.930075436E-4,1.242777738E-3,1.602286458E-4,6.748259302E-7
