t,x,y,v_{y},v_{x}
2.348000000E2,5.181569430E-4,1.412399140E-3,,
2.350000000E2,5.173409444E-4,1.408498187E-3,-4.708213325E-5,-1.917943925E-6
2.352000000E2,5.173897654E-4,1.393566286E-3,-4.422270381E-5,4.867984442E-6
2.354000000E2,5.192881382E-4,1.390809106E-3,-2.299535760E-5,-6.561062625E-6
2.356000000E2,5.147653403E-4,1.384368143E-3,-4.023411157E-5,-1.422085194E-5
2.358000000E2,5.135997974E-4,1.374715461E-3,-2.833505849E-5,-3.171494542E-6
2.360000000E2,5.134967425E-4,1.373034120E-3,-2.219962969E-5,-8.489218936E-6
2.362000000E2,5.102041098E-4,1.365835609E-3,-3.912078535E-5,-9.242967598E-6
2.364000000E2,5.097995555E-4,1.357385806E-3,-4.402555091E-5,1.688315498E-8
2.366000000E2,5.102108631E-4,1.348225389E-3,-5.281516343E-5,6.400972545E-6
2.368000000E2,5.123599445E-4,1.336259740E-3,-5.639715840E-5,-5.595316699E-6
2.370000000E2,5.079727364E-4,1.325666525E-3,-3.685452008E-5,-1.429788955E-5
2.372000000E2,5.066407887E-4,1.321517932E-3,-4.170022108E-5,1.056355378E-6
2.374000000E2,5.083952786E-4,1.308986437E-3,-6.947558647E-5,3.031856442E-6
2.376000000E2,5.078535313E-4,1.293727698E-3,-5.497514201E-5,4.650733838E-6
2.378000000E2,5.102555721E-4,1.286996380E-3,-5.521911248E-5,4.007071317E-7
2.380000000E2,5.080138141E-4,1.271640053E-3,-6.475971519E-5,-1.249303201E-5
2.382000000E2,5.052583593E-4,1.261092494E-3,-4.322535334E-5,-7.427196823E-6
2.384000000E2,5.050429354E-4,1.254349911E-3,-3.927255372E-5,-2.586193255E-6
2.386000000E2,5.042238820E-4,1.245383473E-3,-5.066407408E-5,4.120421592E-6
2.388000000E2,5.066911040E-4,1.234084282E-3,-6.851877173E-5,1.427102250E-5
2.390000000E2,5.099322910E-4,1.217975964E-3,-6.506364118E-5,1.010388675E-5
2.392000000E2,5.107326587E-4,1.208058825E-3,-3.365145628E-5,1.090063344E-5
2.394000000E2,5.142925444E-4,1.204515381E-3,-4.767305448E-5,5.019577036E-6
2.396000000E2,5.127404895E-4,1.188989604E-3,-5.810437382E-5,-2.480602243E-6
2.398000000E2,5.133003035E-4,1.181273632E-3,-4.198647808E-5,1.045503480E-6
2.400000000E2,5.131586909E-4,1.172195012E-3,-2.933376379E-5,6.302808597E-6
2.402000000E2,5.158214269E-4,1.169540126E-3,-3.149346315E-5,1.642176252E-5
2.404000000E2,5.197273959E-4,1.159597627E-3,-4.996672566E-5,3.218727431E-5
2.406000000E2,5.286963366E-4,1.149553436E-3,-2.933223213E-5,2.770799643E-5
2.408000000E2,5.308105945E-4,1.147864734E-3,-1.630383438E-5,1.008225942E-5
2.410000000E2,5.327292404E-4,1.143031902E-3,-3.372857043E-5,6.750666685E-6
2.412000000E2,5.335108612E-4,1.134373306E-3,-4.605351686E-5,-1.369971523E-8
2.414000000E2,5.327237605E-4,1.124610496E-3,-4.961985245E-5,7.128226214E-6
2.416000000E2,5.363621517E-4,1.114525365E-3,-4.316174150E-5,1.582519218E-5
2.418000000E2,5.390538374E-4,1.107345799E-3,-4.175292802E-5,1.001318443E-5
2.420000000E2,5.403674254E-4,1.097824194E-3,-4.165774165E-5,-4.714862733E-7
2.422000000E2,5.388652429E-4,1.090682702E-3,-3.191940232E-5,9.181913060E-6
2.424000000E2,5.440401907E-4,1.085056433E-3,-2.728464563E-5,2.773576101E-5
2.426000000E2,5.499595473E-4,1.079768844E-3,-4.873005082E-5,2.633574599E-5
2.428000000E2,5.545744891E-4,1.065564413E-3,-5.709524201E-5,8.558685546E-6
2.430000000E2,5.533830215E-4,1.056930747E-3,-5.281906788E-5,-8.064387139E-6
2.432000000E2,5.513487342E-4,1.044436785E-3,-5.311195470E-5,-8.191317933E-6
2.434000000E2,5.501064943E-4,1.035685965E-3,-3.545674131E-5,-1.963711244E-5
2.436000000E2,5.434938892E-4,1.030254089E-3,-1.941233773E-5,-8.272560283E-6
2.438000000E2,5.467974702E-4,1.027921030E-3,-2.985477163E-5,1.565879980E-5
2.440000000E2,5.497574091E-4,1.018312180E-3,-4.738883571E-5,1.682404163E-5
2.442000000E2,5.535270869E-4,1.008965496E-3,-1.272123022E-4,4.702116796E-5
2.444000000E2,5.685658763E-4,9.674272594E-4,-3.713613722E-5,1.448725014E-5
2.446000000E2,5.593219869E-4,9.941110412E-4,4.945277657E-5,-3.043372787E-5
2.448000000E2,5.563923852E-4,9.872083700E-4,-7.578082953E-5,-5.499997829E-6
2.450000000E2,5.571219878E-4,9.637987094E-4,-1.341654636E-4,-1.827257818E-5
2.452000000E2,5.490833539E-4,9.335421846E-4,-1.316791278E-6,9.451598137E-7
2.454000000E2,5.575000517E-4,9.632719929E-4,6.514328689E-5,1.662372611E-5
2.456000000E2,5.557328444E-4,9.595994993E-4,-2.644188018E-5,5.879434261E-6
2.458000000E2,5.598518254E-4,9.526952408E-4,-2.445508690E-5,1.076357488E-5
2.460000000E2,5.600382743E-4,9.498174646E-4,-3.765325570E-5,1.726924995E-5
2.462000000E2,5.667595254E-4,9.376339385E-4,-4.299831627E-5,2.612831051E-5
2.464000000E2,5.704895985E-4,9.326181381E-4,-3.887996019E-5,1.923183145E-5
2.466000000E2,5.744522580E-4,9.220819544E-4,-3.673001803E-5,1.697195531E-5
2.468000000E2,5.772783806E-4,9.179261309E-4,-3.850928021E-5,1.025472648E-5
2.470000000E2,5.785541486E-4,9.066782423E-4,-5.395802367E-5,-6.074461956E-6
2.472000000E2,5.748485959E-4,8.963429214E-4,-4.917235094E-5,-1.125533900E-5
2.474000000E2,5.740520130E-4,8.870093020E-4,-3.337451376E-5,-3.462809551E-6
2.476000000E2,5.734634720E-4,8.829931159E-4,-2.963852840E-5,-3.204016555E-6
2.478000000E2,5.727704064E-4,8.751538906E-4,-4.662481882E-5,-1.070003820E-7
2.480000000E2,5.734206719E-4,8.643431884E-4,-6.083335039E-5,-1.297792884E-6
2.482000000E2,5.722512892E-4,8.508205505E-4,-4.785983033E-5,-8.582230857E-6
2.484000000E2,5.699877795E-4,8.451992562E-4,-3.839479450E-5,-4.886655555E-6
2.486000000E2,5.702966270E-4,8.354626327E-4,-4.899317948E-5,8.461186943E-6
2.488000000E2,5.733722543E-4,8.256019844E-4,-4.107132501E-5,5.726039703E-6
2.490000000E2,5.725870429E-4,8.190341026E-4,-3.669897959E-5,6.501251709E-7
