t,x,y,v_{x},v_{y}
2.354000000E2,5.986549296E-4,4.316299809E-4,,
2.356000000E2,5.938944504E-4,4.261381185E-4,-7.512286484E-6,-2.763373394E-5
2.358000000E2,5.956500150E-4,4.205764874E-4,1.399058121E-6,-2.530846533E-5
2.360000000E2,5.944540737E-4,4.160147324E-4,-7.823062946E-6,-1.699705723E-5
2.362000000E2,5.925207898E-4,4.137776645E-4,-6.400211582E-6,-1.631586173E-5
2.364000000E2,5.918939891E-4,4.094883877E-4,1.975992109E-6,-2.607959276E-5
2.366000000E2,5.933111867E-4,4.033458274E-4,-3.921204854E-6,-2.041149123E-5
2.368000000E2,5.903255071E-4,4.013237912E-4,-1.561525733E-5,-2.658815365E-5
2.370000000E2,5.870650837E-4,3.927105659E-4,-1.015844447E-5,-4.698653761E-5
2.372000000E2,5.862621293E-4,3.825291762E-4,6.829326511E-6,-1.930041931E-5
2.374000000E2,5.897968143E-4,3.849903982E-4,7.667841429E-7,1.722484770E-5
2.376000000E2,5.865688430E-4,3.894191153E-4,-2.543310073E-5,1.633751308E-5
2.378000000E2,5.796235740E-4,3.915254034E-4,-2.834897680E-5,-5.634137223E-6
2.380000000E2,5.752292523E-4,3.871654604E-4,-3.462402907E-5,-1.540715335E-5
2.382000000E2,5.657739624E-4,3.853625421E-4,-2.190894765E-5,-1.266209013E-5
2.384000000E2,5.664656732E-4,3.821006243E-4,-5.295294548E-6,-1.692165928E-5
2.386000000E2,5.636558446E-4,3.785938784E-4,3.752133216E-6,-7.512864378E-6
2.388000000E2,5.679665265E-4,3.790954786E-4,1.277178364E-6,-1.157567518E-5
2.390000000E2,5.641667159E-4,3.739636083E-4,-2.086705275E-5,-2.885236035E-5
2.392000000E2,5.596197054E-4,3.675545344E-4,-3.255558068E-6,-3.548192550E-5
2.394000000E2,5.628644927E-4,3.597708381E-4,1.019494897E-5,-3.282441284E-5
2.396000000E2,5.636976850E-4,3.544247693E-4,1.966084191E-5,-9.188282825E-6
2.398000000E2,5.707288295E-4,3.560955250E-4,1.267340321E-5,-1.053906207E-6
2.400000000E2,5.687670463E-4,3.540032068E-4,7.991212425E-8,-1.934351588E-5
2.402000000E2,5.707607943E-4,3.483581186E-4,5.343924271E-6,-2.282881137E-5
2.404000000E2,5.709046160E-4,3.448716823E-4,1.551513654E-5,-1.191797729E-5
2.406000000E2,5.769668489E-4,3.435909277E-4,2.304407424E-5,-1.651701344E-5
2.408000000E2,5.801222457E-4,3.382648769E-4,1.546970097E-5,-2.098854676E-5
2.410000000E2,5.831547293E-4,3.351955090E-4,2.186207997E-5,-1.066761335E-5
2.412000000E2,5.888670777E-4,3.339978315E-4,1.687740537E-5,-1.616781332E-5
2.414000000E2,5.899056915E-4,3.287283837E-4,1.001311263E-5,-2.774807878E-5
2.416000000E2,5.928723227E-4,3.228986000E-4,7.025409739E-6,-1.905702683E-5
2.418000000E2,5.927158554E-4,3.211055729E-4,2.684636131E-6,-1.429140976E-5
2.420000000E2,5.939461772E-4,3.171820361E-4,1.389818275E-5,-2.880711279E-5
2.422000000E2,5.982751285E-4,3.095827278E-4,1.652480699E-5,-3.601721773E-6
2.424000000E2,6.005561000E-4,3.157413474E-4,1.000929634E-5,1.131726140E-5
2.426000000E2,6.022788470E-4,3.141096324E-4,-9.119771083E-6,-4.651167951E-5
2.428000000E2,5.969081915E-4,2.971366756E-4,-6.988700664E-6,-5.185436932E-5
2.430000000E2,5.994833667E-4,2.933678846E-4,9.615428001E-6,4.628241846E-6
2.432000000E2,6.007543627E-4,2.989879724E-4,3.891348978E-6,1.363159705E-5
2.434000000E2,6.010399063E-4,2.988205235E-4,-1.047972755E-5,-1.004299999E-6
2.436000000E2,5.965624717E-4,2.985862524E-4,-1.801143443E-5,-4.701586382E-8
2.438000000E2,5.938353326E-4,2.988017171E-4,-1.638451337E-5,-1.359999869E-5
2.440000000E2,5.900086664E-4,2.931462529E-4,-1.594931873E-5,-3.015938775E-5
2.442000000E2,5.874556051E-4,2.867379620E-4,-1.113566274E-5,-1.491175194E-5
2.444000000E2,5.855544013E-4,2.871815521E-4,9.206220279E-6,-9.187261118E-6
2.446000000E2,5.911380932E-4,2.830630576E-4,3.100430319E-5,-6.185762174E-6
2.448000000E2,5.979561225E-4,2.847072472E-4,1.950770352E-5,-2.668658465E-6
2.450000000E2,5.989411746E-4,2.819955942E-4,1.624252418E-5,-2.179488762E-5
2.452000000E2,6.044531322E-4,2.759892922E-4,1.850942796E-5,-4.105931129E-5
2.454000000E2,6.063449458E-4,2.655718697E-4,7.155836460E-6,-1.729386197E-5
2.456000000E2,6.073154668E-4,2.690717474E-4,5.086721408E-6,5.005040437E-6
2.458000000E2,6.083796343E-4,2.675738858E-4,7.002780650E-6,-1.147224843E-5
2.460000000E2,6.101165791E-4,2.644828480E-4,3.199516546E-6,-1.872797725E-5
2.462000000E2,6.096594409E-4,2.600826949E-4,-3.535629760E-6,-2.241171765E-5
2.464000000E2,6.087023271E-4,2.555181610E-4,-7.049843338E-6,-3.544843476E-5
2.466000000E2,6.068395036E-4,2.459033210E-4,-2.443922019E-6,-3.613942672E-5
2.468000000E2,6.077247583E-4,2.410623903E-4,1.333984114E-5,-2.348055980E-6
2.470000000E2,6.121754401E-4,2.449640986E-4,1.356161099E-5,-1.619829543E-5
2.472000000E2,6.131494027E-4,2.345830721E-4,-1.264601879E-6,-4.045715110E-5
2.474000000E2,6.116695993E-4,2.287812382E-4,-6.925898441E-6,-1.864166644E-5
2.476000000E2,6.103790434E-4,2.271264055E-4,1.472764200E-6,-3.793834638E-6
2.478000000E2,6.122587050E-4,2.272637043E-4,5.539093084E-6,-3.431793953E-6
2.480000000E2,6.125946806E-4,2.257536880E-4,-2.306676264E-5,-9.360569326E-6
2.482000000E2,6.030319999E-4,2.235194766E-4,-3.620573094E-5,-2.184992706E-5
2.484000000E2,5.981123882E-4,2.170137171E-4,-1.848215557E-5,-1.306234384E-5
2.486000000E2,5.956391377E-4,2.182945391E-4,-6.238739356E-6,-4.953824258E-6
2.488000000E2,5.956168925E-4,2.150321874E-4,-1.000427371E-5,-3.785439246E-5
2.490000000E2,5.916374282E-4,2.031527821E-4,-2.949265906E-5,-3.851073120E-5
2.492000000E2,5.838198288E-4,1.996278949E-4,-1.664982047E-5,-1.864937295E-5
2.494000000E2,5.849775000E-4,1.956930329E-4,8.805904070E-6,-8.142314276E-6
2.496000000E2,5.873421905E-4,1.963709692E-4,3.962413739E-6,1.154294907E-7
2.498000000E2,5.865624655E-4,1.957392047E-4,6.895623305E-6,-1.070910826E-5
2.500000000E2,5.901004398E-4,1.920873259E-4,3.272216472E-6,-1.753141695E-5
2.502000000E2,5.878713521E-4,1.887266379E-4,-8.491872687E-6,-5.216742154E-6
2.504000000E2,5.867036907E-4,1.900006291E-4,-3.083864750E-6,-1.045300099E-5
2.506000000E2,5.866378062E-4,1.845454375E-4,-1.456649287E-5,-1.283105086E-5
2.508000000E2,5.808770936E-4,1.848682087E-4,-2.710141970E-5,-5.154114877E-6
2.510000000E2,5.757972383E-4,1.824837916E-4,-1.473485999E-7,-9.899036325E-6
2.512000000E2,5.808181541E-4,1.809085942E-4,2.217070142E-5,1.636183483E-5
2.514000000E2,5.846655189E-4,1.890285255E-4,2.220476877E-5,5.423670794E-5
