t,x,y,v_{y},v_{x}
2.366000000E2,8.847521428E-4,-2.522121384E-4,,
2.368000000E2,8.848793604E-4,-2.643061402E-4,-4.903895612E-5,6.569548562E-6
2.370000000E2,8.873799622E-4,-2.718277208E-4,-3.711271209E-5,1.535102913E-6
2.372000000E2,8.854934015E-4,-2.791512251E-4,-5.413360274E-5,-5.787788538E-6
2.374000000E2,8.850648468E-4,-2.934811619E-4,-5.889828623E-5,-3.726437316E-6
2.376000000E2,8.840028266E-4,-3.027105396E-4,-2.310190527E-5,-9.514410992E-7
2.378000000E2,8.846842703E-4,-3.027219240E-4,-6.211802934E-6,-3.810575338E-6
2.380000000E2,8.824785965E-4,-3.051952607E-4,-1.735576888E-5,-3.080244214E-6
2.382000000E2,8.834521726E-4,-3.096642316E-4,-9.101248482E-6,8.141145867E-6
2.384000000E2,8.857350548E-4,-3.088357601E-4,-7.674393744E-6,3.400650766E-6
2.386000000E2,8.848124329E-4,-3.127339891E-4,-1.877265913E-5,-5.725804119E-6
2.388000000E2,8.834447332E-4,-3.163448238E-4,-1.957380410E-5,-3.817912921E-6
2.390000000E2,8.832852678E-4,-3.205635107E-4,-2.882886064E-5,-2.066554703E-6
2.392000000E2,8.826181113E-4,-3.278763680E-4,-3.206873745E-5,-7.948325939E-6
2.394000000E2,8.801059374E-4,-3.333910057E-4,-1.697710417E-5,-5.571652950E-6
2.396000000E2,8.803894501E-4,-3.346672097E-4,4.671530454E-7,-3.251341352E-6
2.398000000E2,8.788054009E-4,-3.332041445E-4,-5.097622963E-6,-6.755813378E-6
2.400000000E2,8.776871248E-4,-3.367062589E-4,-2.727630113E-5,-8.256329247E-6
2.402000000E2,8.755028692E-4,-3.441146649E-4,-2.252678577E-5,-6.864499741E-6
2.404000000E2,8.749413249E-4,-3.457169732E-4,-1.372821625E-5,7.682232288E-7
2.406000000E2,8.758101585E-4,-3.496059514E-4,-2.619486217E-5,8.596004714E-6
2.408000000E2,8.783797267E-4,-3.561949181E-4,-2.023644464E-5,3.604527513E-6
2.410000000E2,8.772519695E-4,-3.577005293E-4,-1.525211440E-5,-6.565525735E-7
2.412000000E2,8.781171057E-4,-3.622957638E-4,-2.466563873E-5,6.169997014E-6
2.414000000E2,8.797199683E-4,-3.675667848E-4,-1.805596663E-5,4.525158668E-7
2.416000000E2,8.782981121E-4,-3.695181505E-4,-3.242404179E-5,-1.933782574E-6
2.418000000E2,8.789464552E-4,-3.805364015E-4,-2.110728001E-5,3.871317136E-6
2.420000000E2,8.798466389E-4,-3.779610625E-4,-3.002095456E-6,-1.435531732E-6
2.422000000E2,8.783722425E-4,-3.817372397E-4,-4.220079162E-5,4.864704626E-7
2.424000000E2,8.800412271E-4,-3.948413791E-4,-3.914703700E-5,4.538133943E-6
