t,x,y,v_{x},v_{y}
4.322000000E2,-6.475566191E-6,1.108773239E-3,,
4.328000000E2,-1.160129342E-5,1.080678485E-3,-1.403072344E-5,-4.732200516E-5
4.334000000E2,-2.331243432E-5,1.051986832E-3,-1.019794918E-5,-4.495567051E-5
4.340000000E2,-2.383883243E-5,1.026731681E-3,-1.503743391E-5,-3.392491512E-5
4.346000000E2,-4.135735500E-5,1.011276934E-3,-2.791041108E-5,-3.870291344E-5
4.352000000E2,-5.733132572E-5,9.802881846E-4,-1.193075090E-5,-4.727297051E-5
4.358000000E2,-5.567425609E-5,9.545493697E-4,-1.141055488E-6,-4.103893583E-5
4.364000000E2,-5.870059231E-5,9.310414616E-4,-7.367488842E-6,-3.757240541E-5
4.370000000E2,-6.451573274E-5,9.094590079E-4,-6.978539115E-6,-4.772774936E-5
4.376000000E2,-6.707483925E-5,8.737681624E-4,-3.475277886E-6,-5.394745971E-5
4.382000000E2,-6.868606620E-5,8.447220563E-4,-6.552247470E-6,-4.362231052E-5
4.388000000E2,-7.493753621E-5,8.214213898E-4,-8.450163851E-6,-4.869561626E-5
4.394000000E2,-7.882626282E-5,7.862873168E-4,9.240608578E-7,-4.442344151E-5
4.400000000E2,-7.382866318E-5,7.681132600E-4,4.192408361E-6,-3.099603833E-5
4.406000000E2,-7.379537279E-5,7.490920708E-4,7.432459025E-7,-2.954158827E-5
4.412000000E2,-7.293676810E-5,7.326633541E-4,-2.698405176E-6,-3.142397747E-5
4.418000000E2,-7.703345900E-5,7.113832978E-4,-2.473677155E-6,-2.898778128E-5
4.424000000E2,-7.590518068E-5,6.978780165E-4,-3.075547681E-6,-2.835336539E-5
4.430000000E2,-8.072411622E-5,6.773592594E-4,-4.761637740E-6,-4.506156625E-5
4.436000000E2,-8.161914597E-5,6.438041370E-4,2.048708243E-6,-4.217104280E-5
4.442000000E2,-7.826566632E-5,6.267540080E-4,9.424060878E-6,-3.017918407E-5
4.448000000E2,-7.031027292E-5,6.075891161E-4,7.020821643E-6,-3.736697450E-5
4.454000000E2,-6.984068035E-5,5.819136386E-4,-2.354004666E-6,-4.090997202E-5
4.460000000E2,-7.313507852E-5,5.584971497E-4,-2.160598915E-6,-3.500198125E-5
4.466000000E2,-7.243339905E-5,5.399112611E-4,-3.172309717E-6,-4.658745918E-5
4.472000000E2,-7.694185018E-5,5.025921987E-4,-4.604384218E-6,-4.680721102E-5
4.478000000E2,-7.795866011E-5,4.837426079E-4,1.184813930E-6,-3.690421314E-5
4.484000000E2,-7.552007346E-5,4.583071429E-4,7.484977326E-6,-3.515896801E-5
4.490000000E2,-6.897668732E-5,4.415518463E-4,2.262499739E-6,-3.062315362E-5
4.496000000E2,-7.280507378E-5,4.215593586E-4,-5.160435092E-6,-3.804557895E-5
4.502000000E2,-7.516920943E-5,3.958971515E-4,-2.300571651E-6,-3.595111369E-5
4.508000000E2,-7.556575976E-5,3.784180222E-4,5.301072779E-7,-3.690641848E-5
4.514000000E2,-7.453308070E-5,3.516094493E-4,6.288307372E-7,-3.521964972E-5
4.520000000E2,-7.481116287E-5,3.361544425E-4,8.571255994E-7,-2.683787603E-5
4.526000000E2,-7.350452998E-5,3.194039981E-4,-1.138772694E-6,-3.606617125E-5
4.532000000E2,-7.617769010E-5,2.928750370E-4,2.081389812E-6,-4.417630479E-5
4.538000000E2,-7.100686220E-5,2.663924324E-4,7.294564811E-6,-3.355170665E-5
4.544000000E2,-6.742421233E-5,2.526129890E-4,1.045452175E-5,-2.712154879E-5
4.550000000E2,-5.846143611E-5,2.338465738E-4,4.723546622E-6,-3.314365961E-5
4.556000000E2,-6.175595638E-5,2.128405975E-4,-8.990594025E-6,-4.173595630E-5
4.562000000E2,-6.925014894E-5,1.837634263E-4,-6.472815887E-6,-4.137571485E-5
4.568000000E2,-6.952333545E-5,1.631897397E-4,-4.092300970E-6,-3.250238681E-5
4.574000000E2,-7.416091010E-5,1.447605621E-4,-4.359700067E-6,-3.472423343E-5
4.580000000E2,-7.475497553E-5,1.215206595E-4,-4.381893919E-6,-4.121298280E-5
4.586000000E2,-7.941918281E-5,9.530498273E-5,-9.116900732E-6,-4.110047537E-5
4.592000000E2,-8.569525641E-5,7.220008910E-5,-8.827923956E-6,-3.943529557E-5
4.598000000E2,-9.001269155E-5,4.798262805E-5,-8.540783270E-6,-4.130491772E-5
4.604000000E2,-9.594419633E-5,2.263418783E-5,-4.738149756E-6,-4.548703922E-5
4.610000000E2,-9.569847126E-5,-6.601819019E-6,-3.068088027E-6,-4.454195906E-5
4.616000000E2,-9.962590196E-5,-3.081616304E-5,-1.258799905E-5,-3.168021702E-5
4.622000000E2,-1.108040701E-4,-4.461807945E-5,-2.416517088E-5,-2.941995910E-5
4.628000000E2,-1.286241070E-4,-6.612011396E-5,-1.986679561E-5,-3.789269258E-5
4.634000000E2,-1.346442248E-4,-9.008931054E-5,-1.234365254E-5,-3.694249252E-5
4.640000000E2,-1.434364901E-4,-1.104511050E-4,-1.432705265E-5,-4.031871289E-5
4.646000000E2,-1.518366880E-4,-1.384717660E-4,-1.838634858E-5,-5.049652129E-5
4.652000000E2,-1.655001084E-4,-1.710469305E-4,-2.065469595E-5,-3.659362797E-5
4.658000000E2,-1.766223232E-4,-1.823841196E-4,-1.348531181E-5,-2.766575067E-5
4.664000000E2,-1.816824825E-4,-2.042458313E-4,-9.483605381E-6,-3.482359142E-5
4.670000000E2,-1.880026496E-4,-2.241724293E-4,-9.600529759E-7,-3.296590208E-5
4.676000000E2,-1.828345461E-4,-2.438049138E-4,7.026375231E-6,-2.661146183E-5
4.682000000E2,-1.795709994E-4,-2.561061835E-4,4.680613189E-6,-2.938143048E-5
4.688000000E2,-1.772178103E-4,-2.790626304E-4,-2.949493883E-6,-4.074127369E-5
4.694000000E2,-1.831103920E-4,-3.049957119E-4,-4.536773090E-6,-3.250456408E-6
4.700000000E2,-1.826619380E-4,-2.829631781E-4,1.156697757E-6,5.720475743E-5
4.706000000E2,-1.817223547E-4,-2.363500030E-4,5.270439564E-6,7.101778739E-5
4.712000000E2,-1.763374105E-4,-1.977418332E-4,3.041317206E-6,6.147304319E-5
4.718000000E2,-1.780727741E-4,-1.625823511E-4,-3.535955298E-6,6.603986357E-5
4.724000000E2,-1.805805569E-4,-1.184939969E-4,1.042831645E-5,8.431071961E-5
4.730000000E2,-1.655587943E-4,-6.140948761E-5,1.163029452E-5,8.852080243E-5
4.736000000E2,-1.666242034E-4,-1.226903403E-5,8.642768252E-6,8.428668835E-5
4.742000000E2,-1.551874724E-4,3.973453842E-5,1.039310781E-5,9.059757520E-5
4.748000000E2,-1.541524741E-4,9.644805621E-5,1.464294587E-6,8.309948982E-5
4.754000000E2,-1.534303189E-4,1.394539262E-4,1.126814280E-6,6.461792797E-5
4.760000000E2,-1.528002969E-4,1.739895698E-4,1.298041625E-6,6.908339397E-5
4.766000000E2,-1.518726690E-4,2.223539990E-4,7.042171006E-7,8.513174409E-5
4.772000000E2,-1.519552364E-4,2.761476627E-4,2.736883677E-6,7.798793565E-5
4.778000000E2,-1.485884086E-4,3.159395218E-4,8.797300636E-6,6.894363666E-5
4.784000000E2,-1.413984756E-4,3.588800267E-4,1.776970005E-6,7.027597108E-5
4.790000000E2,-1.464560445E-4,4.002706871E-4,-3.972121282E-6,6.630337182E-5
4.796000000E2,-1.461650212E-4,4.384440729E-4,-2.406230058E-6,7.311796598E-5
4.802000000E2,-1.493435206E-4,4.880122462E-4,-3.013661579E-6,7.306725315E-5
4.808000000E2,-1.497814151E-4,5.261247766E-4,5.583533241E-6,6.952787969E-5
4.814000000E2,-1.426432807E-4,5.714457019E-4,1.169640263E-5,7.923764535E-5
4.820000000E2,-1.357457319E-4,6.212099511E-4,6.549569612E-6,8.317422629E-5
4.826000000E2,-1.347837972E-4,6.712547734E-4,1.577381990E-6,7.644846576E-5
4.832000000E2,-1.338528735E-4,7.129481100E-4,-2.274275872E-6,7.520650432E-5
4.838000000E2,-1.375129282E-4,7.615025786E-4,-1.153060057E-6,8.824305217E-5
4.844000000E2,-1.352365456E-4,8.188397726E-4,1.318714778E-6,8.939511445E-5
4.850000000E2,-1.359304705E-4,8.687767159E-4,-2.893842712E-6,8.741368923E-5
4.856000000E2,-1.387091568E-4,9.237361997E-4,-3.378389729E-6,8.086151354E-5
4.862000000E2,-1.399845382E-4,9.658105322E-4,2.074197456E-6,6.503207552E-5
4.868000000E2,-1.362201199E-4,1.001774690E-3,3.216027306E-6,7.106394143E-5
4.874000000E2,-1.361253054E-4,1.051087262E-3,-2.703944078E-6,7.534440658E-5
4.880000000E2,-1.394648528E-4,1.092187978E-3,-2.732551572E-6,7.515257783E-5
4.886000000E2,-1.394043673E-4,1.141270355E-3,8.495083689E-7,7.556772377E-5
4.892000000E2,-1.384454427E-4,1.182869247E-3,-5.030304597E-6,7.319031963E-5
4.898000000E2,-1.454407328E-4,1.229098739E-3,-7.476613350E-6,8.066265611E-5
4.904000000E2,-1.474173788E-4,1.279664434E-3,-4.989507840E-6,8.455425529E-5
4.910000000E2,-1.514281422E-4,1.330563845E-3,-1.482483284E-5,7.767117983E-5
4.916000000E2,-1.652071782E-4,1.372869850E-3,-1.923733896E-5,6.747630835E-5
4.922000000E2,-1.745129490E-4,1.411535415E-3,-9.895183271E-6,7.347925833E-5
4.928000000E2,-1.770813981E-4,1.461044960E-3,,
0E-3,,
