t,x,y,v_{x},v_{y}
4.346000000E2,1.406984227E-3,-3.700004544E-4,,
4.352000000E2,1.382195985E-3,-3.804153292E-4,-2.964647011E-5,-1.216898753E-5
4.358000000E2,1.371408462E-3,-3.846032395E-4,-2.074664967E-5,-2.104609258E-5
4.364000000E2,1.357300006E-3,-4.056706403E-4,-2.159284881E-5,-3.163672640E-5
4.370000000E2,1.345497044E-3,-4.225673111E-4,-1.609356714E-5,-2.010330289E-5
4.376000000E2,1.337987725E-3,-4.297946038E-4,-3.464813196E-6,-1.002758168E-5
4.382000000E2,1.341339268E-3,-4.346004092E-4,1.502167305E-5,-2.311464735E-5
4.388000000E2,1.356013733E-3,-4.575321806E-4,6.480455106E-6,-3.191261394E-5
4.394000000E2,1.349115814E-3,-4.728955459E-4,-4.039531495E-6,-1.808732683E-5
4.400000000E2,1.351166295E-3,-4.792369728E-4,3.910668371E-6,-4.711056992E-6
4.406000000E2,1.353808616E-3,-4.785488143E-4,-6.561904638E-6,-4.054093666E-6
4.412000000E2,1.343292009E-3,-4.841018852E-4,-8.867192558E-6,-2.217985826E-5
4.418000000E2,1.343167985E-3,-5.051646442E-4,5.122636478E-6,-2.980560781E-5
4.424000000E2,1.349439173E-3,-5.198686146E-4,7.413442967E-6,-2.253896074E-5
4.430000000E2,1.352064117E-3,-5.322113971E-4,4.069134508E-6,-2.632108079E-5
4.436000000E2,1.354322134E-3,-5.514539115E-4,5.098129458E-6,-2.349117905E-5
4.442000000E2,1.358181872E-3,-5.604008119E-4,6.300055526E-6,-1.184595360E-5
4.448000000E2,1.361882201E-3,-5.656690559E-4,-6.327136296E-6,-1.986594278E-7
4.454000000E2,1.350589308E-3,-5.606392032E-4,-1.556816738E-5,-1.379737638E-5
4.460000000E2,1.343200400E-3,-5.822259075E-4,-1.176803140E-5,-1.621789663E-5
4.466000000E2,1.336467671E-3,-5.801006792E-4,-8.258960391E-6,1.119695418E-6
4.472000000E2,1.333289648E-3,-5.808822730E-4,1.764823931E-6,-3.917502416E-6
4.478000000E2,1.338585459E-3,-5.848016821E-4,4.146465121E-6,-4.303491486E-6
4.484000000E2,1.338265406E-3,-5.860464628E-4,-4.814124226E-6,-1.819917514E-5
4.490000000E2,1.332808510E-3,-6.066406923E-4,-2.696580096E-6,-2.974822572E-5
4.496000000E2,1.335029510E-3,-6.217443337E-4,-4.985534354E-6,-1.537920830E-5
4.502000000E2,1.326825869E-3,-6.250957422E-4,-1.294176165E-5,-1.617216291E-5
4.508000000E2,1.319499396E-3,-6.411509292E-4,4.714731245E-6,-2.247999427E-5
4.514000000E2,1.332483547E-3,-6.520717353E-4,2.812858507E-5,-6.795307908E-6
4.520000000E2,1.353253698E-3,-6.493052987E-4,1.570712793E-5,1.263444399E-5
4.526000000E2,1.351332100E-3,-6.369104026E-4,-5.311642142E-6,-2.612922337E-6
4.532000000E2,1.346879727E-3,-6.524408055E-4,2.029076812E-7,-2.726159626E-5
4.538000000E2,1.351575589E-3,-6.696243181E-4,1.173998662E-6,-1.753563918E-5
4.544000000E2,1.348288526E-3,-6.734835725E-4,2.316294803E-6,7.249668224E-6
4.550000000E2,1.354355143E-3,-6.609247162E-4,1.474581124E-5,-1.928943738E-6
4.556000000E2,1.365983499E-3,-6.757983050E-4,7.827704299E-6,-1.014874574E-5
4.562000000E2,1.363748388E-3,-6.731032111E-4,-1.215475539E-6,-9.217154238E-6
4.568000000E2,1.364524929E-3,-6.868588900E-4,-6.521074630E-6,-2.499200252E-5
4.574000000E2,1.355923099E-3,-7.030936141E-4,-1.000358892E-5,-2.190798660E-5
4.580000000E2,1.352520622E-3,-7.131484740E-4,-1.243545378E-5,-1.059494349E-5
4.586000000E2,1.341000554E-3,-7.158075463E-4,-2.190742259E-5,-1.223596398E-5
4.592000000E2,1.326231715E-3,-7.278316308E-4,-1.428351941E-5,-1.824948023E-5
4.598000000E2,1.323860331E-3,-7.377069226E-4,5.535439591E-6,-2.671701167E-5
4.604000000E2,1.332874242E-3,-7.598920448E-4,1.542074478E-5,-1.814030633E-5
4.610000000E2,1.342365225E-3,-7.594752902E-4,1.001183033E-5,-3.892808579E-6
4.616000000E2,1.344888439E-3,-7.645634150E-4,6.013421430E-6,-1.237414005E-5
4.622000000E2,1.349581330E-3,-7.743242582E-4,-1.563838241E-6,-2.886882863E-6
4.628000000E2,1.343011833E-3,-7.680276745E-4,-1.339589769E-5,8.433499544E-6
4.634000000E2,1.333506253E-3,-7.642040588E-4,-1.907956260E-5,-2.260229397E-7
4.640000000E2,1.320116358E-3,-7.682989020E-4,-2.265270689E-5,-1.453511536E-5
4.646000000E2,1.306323005E-3,-7.816461972E-4,-1.190671533E-5,-2.616706340E-5
4.652000000E2,1.305828299E-3,-7.996993781E-4,-8.821236494E-6,-1.955542218E-5
4.658000000E2,1.295737521E-3,-8.051127038E-4,-1.677128462E-5,-1.941546901E-5
