t,x,y,v_{y},v_{x}
4.328000000E2,4.865048220E-4,3.461078481E-5,,
4.334000000E2,4.864664191E-4,2.452552813E-5,-2.683104233E-5,-5.989242220E-7
4.340000000E2,4.857861130E-4,2.413534016E-6,-3.127091232E-5,-1.764745097E-7
4.346000000E2,4.862546497E-4,-1.299956666E-5,-3.611034457E-5,-2.247493232E-5
4.352000000E2,4.588161942E-4,-4.091887947E-5,-2.137601920E-5,-2.919890680E-5
4.358000000E2,4.512159615E-4,-3.865078970E-5,-6.334199818E-6,-7.215245307E-6
4.364000000E2,4.501578998E-4,-4.851991925E-5,-1.650094619E-5,-8.370514163E-6
4.370000000E2,4.411713445E-4,-5.845192512E-5,-2.167864850E-5,-7.575974518E-6
4.376000000E2,4.410667304E-4,-7.453429744E-5,-2.261977795E-5,6.727238462E-6
4.382000000E2,4.492440307E-4,-8.559565866E-5,-1.901227978E-5,8.723900525E-7
4.388000000E2,4.421135984E-4,-9.734903318E-5,-2.154567244E-5,-1.140319632E-5
4.394000000E2,4.355601951E-4,-1.114504656E-4,-2.941481071E-5,-9.547869626E-6
4.400000000E2,4.306561549E-4,-1.326468060E-4,-2.706334162E-5,-3.912057069E-6
4.406000000E2,4.308657266E-4,-1.439264755E-4,-2.597610615E-5,5.602800211E-6
4.412000000E2,4.373795151E-4,-1.638181334E-4,-3.791010208E-5,7.410972072E-6
4.418000000E2,4.397588931E-4,-1.894185980E-4,-3.232115454E-5,2.688300721E-6
4.424000000E2,4.406054760E-4,-2.026035189E-4,-2.172021475E-5,-7.309288044E-6
4.430000000E2,4.309877474E-4,-2.154828557E-4,-1.975577644E-5,-1.041950168E-6
4.436000000E2,4.393551358E-4,-2.263104506E-4,-2.841623058E-5,7.287860756E-6
4.442000000E2,4.397331804E-4,-2.495823324E-4,-3.323368532E-5,-1.714585222E-6
4.448000000E2,4.372976335E-4,-2.661908730E-4,-2.534311561E-5,-4.443046043E-7
4.454000000E2,4.392000148E-4,-2.799940712E-4,-2.684611336E-5,-5.707750353E-6
4.460000000E2,4.304483331E-4,-2.984062090E-4,-3.686862613E-5,-1.804568995E-5
4.466000000E2,4.175451869E-4,-3.242364225E-4,-3.450082689E-5,-1.480102753E-5
4.472000000E2,4.126871001E-4,-3.398072013E-4,-2.132647614E-5,3.312829360E-6
4.478000000E2,4.215205821E-4,-3.498281939E-4,-3.427548985E-5,5.360663168E-6
4.484000000E2,4.191198959E-4,-3.809377891E-4,-4.005007423E-5,-2.969681142E-6
4.490000000E2,4.179569647E-4,-3.978882829E-4,-3.190267710E-5,-3.787319564E-6
4.496000000E2,4.145751124E-4,-4.192210016E-4,-3.373585517E-5,-2.648880881E-6
4.502000000E2,4.147783077E-4,-4.383713092E-4,-3.148488740E-5,-5.148142794E-6
4.508000000E2,4.083973410E-4,-4.570028665E-4,-2.585021853E-5,-1.209675992E-5
4.514000000E2,4.002621958E-4,-4.693915714E-4,-3.364921271E-5,-2.731029694E-6
4.520000000E2,4.051201054E-4,-4.973819218E-4,-3.716999988E-5,7.660985071E-7
4.526000000E2,4.011815140E-4,-5.139955713E-4,-2.441400621E-5,-1.993418811E-5
4.532000000E2,3.811990797E-4,-5.266787292E-4,-2.710970650E-5,-1.738617826E-5
4.538000000E2,3.803181001E-4,-5.465272191E-4,-2.122568505E-5,6.501963519E-6
4.544000000E2,3.890014359E-4,-5.521495513E-4,-2.027850591E-5,1.289075967E-5
4.550000000E2,3.957870117E-4,-5.708614261E-4,-3.244166530E-5,4.821724385E-6
4.556000000E2,3.947875052E-4,-5.910795496E-4,-1.890541569E-5,-1.201783666E-5
4.562000000E2,3.813656077E-4,-5.935479250E-4,-8.746420715E-6,-1.276404244E-5
4.568000000E2,3.794706542E-4,-6.015752545E-4,-2.021211739E-5,-1.179310956E-5
4.574000000E2,3.672138762E-4,-6.178024658E-4,-3.734556986E-5,-1.031265846E-5
4.580000000E2,3.670954641E-4,-6.463899383E-4,-4.342893559E-5,-1.591876592E-6
