t,x,y,v_{y},v_{x}
2.268000000E2,6.982975235E-4,-1.304336541E-6,,
2.270000000E2,6.953374609E-4,-1.973370279E-5,-9.275712576E-5,-1.654995721E-5
2.272000000E2,6.916775406E-4,-3.840718685E-5,-8.986516772E-5,-5.828663297E-6
2.274000000E2,6.930059956E-4,-5.567976988E-5,-8.844310769E-5,9.892947050E-6
2.276000000E2,6.956347194E-4,-7.378442992E-5,-1.020954293E-4,1.788506900E-5
2.278000000E2,7.001600232E-4,-9.651794160E-5,-9.633707884E-5,1.351256951E-5
2.280000000E2,7.010397472E-4,-1.123192615E-4,-8.003608222E-5,3.293562399E-6
2.282000000E2,7.014774481E-4,-1.285323745E-4,-6.389564746E-5,9.927325453E-8
2.284000000E2,7.010794565E-4,-1.378775204E-4,2.488940881E-7,5.004483165E-6
2.286000000E2,7.034792414E-4,-1.284328168E-4,4.606916908E-5,6.657078580E-6
2.288000000E2,7.037422879E-4,-1.194498528E-4,4.648040155E-5,-2.999969981E-6
2.290000000E2,7.022792534E-4,-1.098406562E-4,3.675416465E-5,2.740558961E-6
2.292000000E2,7.048385115E-4,-1.047481870E-4,2.657440907E-5,9.831697033E-6
2.294000000E2,7.062119322E-4,-9.921089260E-5,4.515669439E-5,1.173405063E-5
2.296000000E2,7.095321318E-4,-8.668550919E-5,5.751978131E-5,-1.151629332E-6
2.298000000E2,7.057512805E-4,-7.620298008E-5,4.520297271E-5,-9.558535246E-6
2.300000000E2,7.057087177E-4,-6.860432011E-5,4.632295978E-5,4.228782130E-6
2.302000000E2,7.074427933E-4,-5.767379617E-5,4.698418243E-5,3.860867160E-8
2.304000000E2,7.057241612E-4,-4.981064714E-5,4.259867794E-5,-6.027063219E-6
2.306000000E2,7.050319681E-4,-4.063432499E-5,3.439233831E-5,-1.212766436E-5
2.308000000E2,7.008730954E-4,-3.605371181E-5,2.268676709E-5,-6.577783033E-6
2.310000000E2,7.024008548E-4,-3.155961816E-5,3.546041681E-5,-4.813139479E-6
2.312000000E2,6.989478396E-4,-2.186954509E-5,4.079894147E-5,-2.029536422E-5
2.314000000E2,6.942827091E-4,-1.524004157E-5,3.445434905E-5,-1.031261510E-5
2.316000000E2,6.948227936E-4,-8.087805466E-6,2.911501332E-5,-6.306749509E-7
2.318000000E2,6.940304392E-4,-3.594036241E-6,5.310827979E-5,9.402498197E-6
2.320000000E2,6.985837929E-4,1.315550645E-5,6.146701549E-5,1.666528412E-6
2.322000000E2,6.946970505E-4,2.099276996E-5,4.518154933E-5,-1.450159682E-5
2.324000000E2,6.927831541E-4,3.122812618E-5,5.075374016E-5,-1.311550735E-5
2.326000000E2,6.894508476E-4,4.129426602E-5,3.340103361E-5,-2.216732600E-5
2.328000000E2,6.839162237E-4,4.458853963E-5,3.992826151E-5,-8.788253575E-6
2.330000000E2,6.859355462E-4,5.726557062E-5,3.972930780E-5,5.681011265E-6
2.332000000E2,6.861886282E-4,6.048026275E-5,2.694323127E-5,-7.123101804E-6
2.334000000E2,6.830863054E-4,6.804286313E-5,3.515447578E-5,1.604276767E-6
2.336000000E2,6.868303389E-4,7.454205306E-5,3.852608583E-5,1.104868644E-5
2.338000000E2,6.875057800E-4,8.345329746E-5,3.649073978E-5,6.315131111E-7
2.340000000E2,6.870829442E-4,8.913834898E-5,3.584448077E-5,-2.773525215E-7
2.342000000E2,6.873948390E-4,9.779108977E-5,4.907210900E-5,1.946280618E-6
2.344000000E2,6.878614564E-4,1.087671926E-4,5.376694221E-5,-6.972999146E-6
2.346000000E2,6.846056394E-4,1.192978667E-4,5.036101964E-5,-1.377956553E-5
2.348000000E2,6.823496302E-4,1.289116004E-4,4.305871743E-5,-1.639665621E-5
