t,x,y,v_{y},v_{x}
3.842000000E2,1.128499564E-3,1.038501100E-4,,
3.844000000E2,1.127159994E-3,1.074575409E-4,3.801911100E-5,-6.641725539E-6
3.846000000E2,1.125842874E-3,1.190577544E-4,4.751383370E-5,-3.522296976E-6
3.848000000E2,1.125751075E-3,1.264630744E-4,3.883445740E-5,4.178731892E-6
3.850000000E2,1.127514367E-3,1.345915374E-4,4.098677331E-5,9.028452957E-6
3.852000000E2,1.129362456E-3,1.428577837E-4,4.072742059E-5,-3.148416008E-6
3.854000000E2,1.126255001E-3,1.508825056E-4,4.292453923E-5,-2.034972542E-6
3.856000000E2,1.128548467E-3,1.600275994E-4,4.691430476E-5,8.017621374E-6
3.858000000E2,1.129462049E-3,1.696482275E-4,4.479187446E-5,-4.086591994E-6
3.860000000E2,1.126913831E-3,1.779443492E-4,4.047751428E-5,-5.795020962E-6
3.862000000E2,1.127144041E-3,1.858392333E-4,3.934909069E-5,8.477374182E-6
3.864000000E2,1.130304780E-3,1.936839855E-4,3.556415402E-5,1.025829735E-5
3.866000000E2,1.131247360E-3,2.000648949E-4,2.601276106E-5,1.114698289E-6
3.868000000E2,1.130750660E-3,2.040890899E-4,3.256169555E-5,2.135733784E-6
3.870000000E2,1.132101653E-3,2.130895731E-4,4.715174660E-5,-6.225947877E-6
3.872000000E2,1.128260280E-3,2.229497885E-4,3.920573084E-5,-1.183740312E-5
3.874000000E2,1.127366692E-3,2.287718654E-4,2.622689170E-5,-1.069531780E-5
3.876000000E2,1.123982153E-3,2.334405452E-4,2.930848517E-5,-8.978852542E-6
3.878000000E2,1.123775151E-3,2.404952595E-4,2.499146357E-5,1.310329970E-6
3.880000000E2,1.124506285E-3,2.434371306E-4,2.753084338E-5,1.495787494E-5
3.882000000E2,1.129758301E-3,2.515075968E-4,4.164533458E-5,2.510498657E-5
3.884000000E2,1.134548280E-3,2.600952645E-4,4.211972693E-5,1.405630594E-5
3.886000000E2,1.135380823E-3,2.683554876E-4,3.248504578E-5,2.438729205E-6
3.888000000E2,1.135523772E-3,2.730892828E-4,4.832791611E-5,3.455131120E-6
3.890000000E2,1.136762876E-3,2.876866541E-4,5.096682522E-5,1.297586002E-5
3.892000000E2,1.140714116E-3,2.934760129E-4,3.147008349E-5,1.153543531E-5
3.894000000E2,1.141377050E-3,3.002746875E-4,5.374178121E-5,-2.091397621E-6
3.896000000E2,1.139877557E-3,3.149727254E-4,6.839364551E-5,-1.907572683E-6
3.898000000E2,1.140614021E-3,3.276321457E-4,6.303425496E-5,5.825624630E-6
3.900000000E2,1.142207806E-3,3.401864273E-4,6.299935836E-5,3.179599180E-6
3.902000000E2,1.141885860E-3,3.528318890E-4,5.427944953E-5,9.829032057E-6
3.904000000E2,1.146139419E-3,3.618982072E-4,4.184583291E-5,1.122278887E-5
3.906000000E2,1.146374976E-3,3.695702222E-4,4.857370254E-5,-3.408403457E-6
3.908000000E2,1.144776058E-3,3.813276882E-4,4.506591202E-5,-2.911427520E-7
3.910000000E2,1.146258519E-3,3.875965870E-4,2.585550854E-5,3.957509690E-6
3.912000000E2,1.146359062E-3,3.916698916E-4,1.870547887E-5,4.860370533E-7
3.914000000E2,1.146452934E-3,3.950787785E-4,1.410241858E-5,1.125430855E-5
3.916000000E2,1.150860785E-3,3.973108590E-4,1.557067784E-5,1.975014887E-5
3.918000000E2,1.154352993E-3,4.013070497E-4,3.529033239E-5,1.232765437E-5
3.920000000E2,1.155791847E-3,4.114269920E-4,5.546655596E-5,5.882553076E-6
3.922000000E2,1.156706015E-3,4.234936720E-4,4.705897465E-5,9.893803993E-6
3.924000000E2,1.159749368E-3,4.302505818E-4,2.707705497E-5,1.452539255E-5
3.926000000E2,1.162516172E-3,4.343244940E-4,3.315995645E-5,2.188006844E-6
3.928000000E2,1.160624571E-3,4.435145644E-4,3.888754322E-5,6.767458333E-6
3.930000000E2,1.165223155E-3,4.498795113E-4,3.660510730E-5,1.110045652E-5
3.932000000E2,1.165064754E-3,4.581566073E-4,2.914723165E-5,-7.295106181E-7
3.934000000E2,1.164931351E-3,4.615384040E-4,2.620310185E-5,1.346293004E-5
3.936000000E2,1.170449926E-3,4.686378481E-4,4.030067749E-5,1.598417526E-5
3.938000000E2,1.171325021E-3,4.776586750E-4,3.922751129E-5,7.312456811E-7
3.940000000E2,1.170742424E-3,4.843288526E-4,3.560576875E-5,1.213133329E-5
3.942000000E2,1.176177554E-3,4.919009825E-4,3.029621259E-5,1.807672909E-5
3.944000000E2,1.177973116E-3,4.964473376E-4,1.729533273E-5,6.272732371E-6
3.946000000E2,1.178686647E-3,4.988191156E-4,2.065715845E-5,2.150492416E-5
3.948000000E2,1.186575085E-3,5.047102010E-4,6.066947704E-5,2.367661709E-5
3.950000000E2,1.188157294E-3,5.230869064E-4,6.745294219E-5,6.241735586E-6
3.952000000E2,1.189071780E-3,5.316913779E-4,3.882760759E-5,5.378242173E-6
3.954000000E2,1.190308591E-3,5.386179494E-4,2.638187837E-5,-2.801728554E-6
3.956000000E2,1.187951088E-3,5.422441292E-4,1.666682583E-5,-5.871541062E-6
3.958000000E2,1.187959974E-3,5.452846798E-4,2.726401047E-5,2.468532548E-6
3.960000000E2,1.188938501E-3,5.531497334E-4,2.709437574E-5,3.974253495E-6
3.962000000E2,1.189549676E-3,5.561224301E-4,2.356696506E-5,5.449312782E-6
3.964000000E2,1.191118226E-3,5.625765194E-4,3.339243609E-5,9.744265785E-6
3.966000000E2,1.193447382E-3,5.694794045E-4,3.334341804E-5,9.933459674E-6
3.968000000E2,1.195091610E-3,5.759138867E-4,2.642495074E-5,1.039539492E-5
3.970000000E2,1.197605540E-3,5.800493848E-4,2.873663425E-5,1.403703738E-5
3.972000000E2,1.200706425E-3,5.874085404E-4,3.094860045E-5,9.989956016E-6
3.974000000E2,1.201601522E-3,5.924288250E-4,2.350649046E-5,4.368457738E-6
3.976000000E2,1.202453808E-3,5.968111365E-4,2.574455824E-5,4.087941247E-6
3.978000000E2,1.203236699E-3,6.027266483E-4,2.770907687E-5,1.373753845E-8
3.980000000E2,1.202459303E-3,6.078947673E-4,2.732611728E-5,-2.057810286E-6
3.982000000E2,1.202413575E-3,6.136570952E-4,3.890077806E-5,-1.009192490E-5
3.984000000E2,1.198422533E-3,6.234550785E-4,4.175934398E-5,-1.051039077E-5
3.986000000E2,1.198209418E-3,6.303608328E-4,2.704367666E-5,-2.251688412E-6
3.988000000E2,1.197521858E-3,6.342725492E-4,2.489212354E-5,-6.454530023E-6
3.990000000E2,1.195627606E-3,6.403176822E-4,3.060551677E-5,-6.150955320E-6
3.992000000E2,1.195061476E-3,6.465147559E-4,4.358531324E-5,1.782102623E-6
3.994000000E2,1.196340447E-3,6.577518075E-4,5.186675646E-5,3.183281621E-6
3.996000000E2,1.196334788E-3,6.672614585E-4,5.612889581E-5,-4.000000509E-6
3.998000000E2,1.194740447E-3,6.802033658E-4,5.545823178E-5,2.205945188E-6
4.000000000E2,1.197217167E-3,6.894447512E-4,4.675320680E-5,6.234164248E-6
4.002000000E2,1.197234113E-3,6.989046485E-4,4.451446347E-5,5.641083643E-6
4.004000000E2,1.199473600E-3,7.072505366E-4,4.574469855E-5,1.955655257E-5
4.006000000E2,1.205056734E-3,7.172025279E-4,3.215768338E-5,1.164538052E-5
4.008000000E2,1.204131752E-3,7.201136099E-4,3.335810113E-5,1.925345833E-7
4.010000000E2,1.205133748E-3,7.305457684E-4,5.159693643E-5,1.060330973E-5
4.012000000E2,1.208373076E-3,7.407523845E-4,4.433855761E-5,9.150219412E-6
4.014000000E2,1.208793836E-3,7.482811914E-4,4.405760696E-5,8.240361194E-6
4.016000000E2,1.211669221E-3,7.583754273E-4,3.773134963E-5,1.093391038E-5
4.018000000E2,1.213167400E-3,7.633737313E-4,3.521209784E-5,-7.696814977E-7
4.020000000E2,1.211361348E-3,7.724602664E-4,2.487220318E-5,3.067635943E-6
4.022000000E2,1.214394454E-3,7.733226126E-4,3.075012856E-5,8.258351172E-6
4.024000000E2,1.214664688E-3,7.847603178E-4,5.136291223E-5,4.616727684E-6
4.026000000E2,1.216241145E-3,7.938677775E-4,4.481695112E-5,-2.541750982E-6
4.028000000E2,1.213647988E-3,8.026870983E-4,3.347851228E-5,-1.186720608E-5
4.030000000E2,1.211494263E-3,8.072591824E-4,2.114070379E-5,1.153386978E-5
4.032000000E2,1.218261536E-3,8.111433798E-4,2.532461711E-5,1.935177931E-5
4.034000000E2,1.219234974E-3,8.173890292E-4,3.282702644E-5,2.205834624E-6
4.036000000E2,1.219143870E-3,8.242741904E-4,3.486881728E-5,-5.905938844E-6
4.038000000E2,1.216872599E-3,8.313365561E-4,4.082304303E-5,-8.825994399E-6
4.040000000E2,1.215613472E-3,8.406034076E-4,4.615627458E-5,6.644374382E-7
4.042000000E2,1.217138374E-3,8.497990660E-4,3.186051879E-5,-1.693634729E-5
4.044000000E2,1.208838933E-3,8.533476151E-4,2.146587938E-5,-1.873534552E-5
4.046000000E2,1.209644236E-3,8.583854177E-4,2.712543122E-5,6.874511234E-6
4.048000000E2,1.211588738E-3,8.641977876E-4,3.195860494E-5,6.839355742E-6
4.050000000E2,1.212379978E-3,8.711688597E-4,4.040933245E-5,-3.784683475E-6
4.052000000E2,1.210074864E-3,8.803615206E-4,2.670062667E-5,-6.781829022E-7
4.054000000E2,1.212108705E-3,8.818491104E-4,1.448470064E-5,8.816714614E-6
4.056000000E2,1.213601550E-3,8.861554008E-4,8.559476433E-6,3.192951069E-6
4.058000000E2,1.213385885E-3,8.852729009E-4,7.480392632E-6,-1.541676263E-6
4.060000000E2,1.212984880E-3,8.891475579E-4,3.375459722E-5,5.116759276E-6
4.062000000E2,1.215432589E-3,8.987747398E-4,4.882197843E-5,-2.724459680E-8
4.064000000E2,1.212973982E-3,9.086763493E-4,4.320507519E-5,-3.243971974E-6
4.066000000E2,1.214135000E-3,9.160567699E-4,5.196902823E-5,1.555612521E-6
4.068000000E2,1.213596227E-3,9.294639606E-4,6.550198992E-5,-9.349544876E-6
4.070000000E2,1.210395182E-3,9.422575659E-4,4.970764125E-5,-1.584425710E-5
4.072000000E2,1.207258524E-3,9.493470171E-4,3.145692635E-5,-6.301392014E-6
4.074000000E2,1.207874625E-3,9.548403364E-4,3.221670885E-5,-2.887902158E-8
4.076000000E2,1.207246972E-3,9.622337006E-4,3.664778084E-5,1.620009155E-5
4.078000000E2,1.214354662E-3,9.694994487E-4,4.562986241E-5,2.033268015E-5
4.080000000E2,1.215380044E-3,9.804856456E-4,5.291605616E-5,1.095278498E-5
4.082000000E2,1.218735776E-3,9.906658712E-4,4.107110731E-5,1.212274300E-5
4.084000000E2,1.220229142E-3,9.969140885E-4,3.642514351E-5,6.171444431E-6
4.086000000E2,1.221204354E-3,1.005235929E-3,2.689779906E-5,-1.330169382E-5
4.088000000E2,1.214908464E-3,1.007673208E-3,2.361970103E-5,-2.466393365E-5
4.090000000E2,1.211338780E-3,1.014683809E-3,4.435685406E-5,-6.067653903E-6
4.092000000E2,1.212481403E-3,1.025415950E-3,4.243378009E-5,4.966722342E-6
4.094000000E2,1.213325469E-3,1.031657321E-3,3.384075202E-5,1.891024141E-5
4.096000000E2,1.220045499E-3,1.038952251E-3,3.856470762E-5,2.029765995E-5
4.098000000E2,1.221444533E-3,1.047083204E-3,3.687295373E-5,7.572530580E-7
4.100000000E2,1.220348400E-3,1.053701432E-3,3.574974052E-5,-8.798932858E-7
