,t,y,v_{y},v_{x},x
0,0.4,0.341294664,0.036431808,-0.004463716,0.508886073
1,0.6,0.357615341,0.083321884,-0.006517288,0.507408463
2,0.8,0.374623418,0.083776655,-0.001642496,0.506279158
3,1,0.391126003,0.093069486,-0.000467523,0.506751464
4,1.2,0.411851212,0.094646482,-0.006871798,0.506092148
5,1.4,0.428984596,0.095511959,-0.004673821,0.504002745
6,1.6,0.450055996,0.101818692,-0.003057517,0.50422262
7,1.8,0.469712073,0.100753346,-0.008471572,0.502779738
8,2,0.490357334,0.01955393,0.000654551,0.500833991
9,2.2,0.477533645,-0.082676481,0.007486726,0.503041559
10,2.4,0.457286742,-0.086257451,0.000940171,0.503828681
11,2.6,0.443030664,-0.064970177,-0.002630339,0.503417627
12,2.8,0.431298671,-0.039904292,-0.066127804,0.502776546
13,3,0.427068948,0.022550312,-0.004569367,0.476966506
14,3.2,0.440318796,0.086437059,0.061945592,0.500948799
15,3.4,0.461643771,0.094608987,0.003513914,0.501744742
16,3.6,0.47816239,0.078241286,0.002153255,0.502354365
17,3.8,0.492940286,0.100447171,-0.001354441,0.502606044
18,4,0.518341259,0.107053171,-0.010522175,0.501812588
19,4.2,0.535761554,0.097940148,-0.009027852,0.498397174
20,4.4,0.557517318,0.106858743,-0.005202977,0.498201448
21,4.6,0.578505052,0.101141317,-0.003351327,0.496315983
22,4.8,0.597973845,0.102684816,0.006897511,0.496860917
23,5,0.619578978,0.103181749,-0.004795297,0.499074988
24,5.2,0.639246545,0.099813554,-0.006817804,0.494942798
25,5.4,0.6595044,0.093186601,0.00243796,0.496347866
26,5.6,0.676521185,0.09223277,-0.009952167,0.495917982
27,5.8,0.696397508,0.103988463,-0.017488863,0.492366999
28,6,0.71811657,0.102828027,-0.021732784,0.488922437
29,6.2,0.737528718,0.09381489,-0.025396472,0.483673885
30,6.4,0.755642526,0.089050224,-0.014988967,0.478763848
31,6.6,0.773148808,0.104219635,-0.013016877,0.477678299
32,6.8,0.79733038,0.107232547,-0.012134928,0.473557097
33,7,0.816041827,0.086462729,-0.008987532,0.472824327
34,7.2,0.831915471,0.092090251,-0.009184838,0.469962084
35,7.4,0.852877927,0.104991923,-0.008263179,0.469150392
36,7.6,0.87391224,0.10683345,-0.006430841,0.466656813
37,7.8,0.895611307,0.10156497,-0.00995555,0.466578056
38,8,0.914538228,0.091053283,-0.015321939,0.462674592
39,8.2,0.932032621,0.088747415,-0.019926131,0.46044928
40,8.4,0.950037194,0.095876852,-0.015249548,0.45470414
41,8.6,0.970383361,0.086517587,-0.001388868,0.454349461
42,8.8,0.984644229,0.091666909,-0.011769028,0.454148593
43,9,1.007050125,0.09720514,-0.021793469,0.44964185
44,9.2,1.023526285,0.080164355,-0.019826438,0.445431205
45,9.4,1.039115866,0.082974315,-0.008263667,0.441711275
46,9.6,1.056716011,0.082025791,-0.005216661,0.442125738
47,9.8,1.071926183,0.083822699,-0.008443815,0.43962461
48,10,1.09024509,0.098111059,-0.005187895,0.438748212
49,10.2,1.111170606,0.092360723,0.003103903,0.437549452
50,10.4,1.127189379,0.095980561,0.003886863,0.439989774
51,10.6,1.149562831,0.103695576,-0.000933945,0.439104198
52,10.8,1.16866761,0.081561962,0.001373598,0.439616196
53,11,1.182187616,0.088112547,-0.013658438,0.439653637
54,11.2,1.203912629,0.004312195,-0.014051105,0.434152821
55,11.4,1.183912494,-0.087963646,0.000345785,0.434033195
56,11.6,1.16872717,-0.068518814,0.005264894,0.434291135
57,11.8,1.156504968,-0.068042805,0.000598324,0.436139153
58,12,1.141510049,-0.076012737,-0.005989916,0.434530464
59,12.2,1.126099873,-0.069126074,-0.002099031,0.433743186
60,12.4,1.113859619,-0.069022755,-0.000512186,0.433690852
61,12.6,1.098490771,-0.072969547,-0.004397896,0.433538312
62,12.8,1.0846718,-0.075691097,-0.002768679,0.431931694
