t,x,y,v_{y},v_{x}
5.540000000E1,3.216784928E-2,9.023969604E-1,3.809409100E-2,4.010971275E-3
5.300000000E1,3.832995818E-2,9.145615250E-1,-1.995665106E-5,3.811404765E-3
5.460000000E1,4.446013645E-2,9.206278420E-1,-2.288838524E-2,3.691664859E-3
6.500000000E1,-5.917814251E-2,9.272689105E-1,2.288838524E-2,-3.691664859E-3
6.420000000E1,-3.475322138E-2,9.332394356E-1,-2.270877538E-2,-3.061097803E-2
5.140000000E1,2.626118550E-2,9.390183768E-1,-1.143421429E-2,-5.986995317E-5
5.380000000E1,2.626118550E-2,9.390183768E-1,3.791448114E-3,3.831361416E-3
5.220000000E1,2.016293788E-2,9.390503075E-1,-1.528553236E-2,7.542982925E-3
6.820000000E1,-5.295217232E-2,9.516299704E-1,-1.133443104E-2,-1.911689378E-2
5.060000000E1,2.025872980E-2,9.573450503E-1,-1.524561906E-2,-7.982660423E-5
6.900000000E1,-8.341147980E-2,9.578878712E-1,5.721098477E-2,-7.323459764E-3
4.980000000E1,2.638890807E-2,9.634113673E-1,-7.622809530E-3,-3.991330211E-5
6.340000000E1,-1.020057767E-2,9.636029512E-1,-3.414298968E-2,-3.067084798E-2
4.900000000E1,2.032259109E-2,9.695415456E-1,-1.899715387E-2,-1.153399755E-2
6.580000000E1,-4.065988515E-2,9.698608520E-1,3.430264288E-2,1.796098595E-4
6.740000000E1,-5.282444976E-2,9.760229609E-1,-1.907698048E-2,3.711621510E-3
5.620000000E1,5.087769049E-2,9.815783876E-1,9.524520582E-2,8.121725806E-3
4.740000000E1,3.258294762E-2,9.816741795E-1,-1.915680708E-2,1.895724057E-2
6.660000000E1,-5.889076674E-2,9.821531392E-1,3.851318067E-3,-7.602852879E-3
6.260000000E1,1.432013539E-2,9.878682191E-1,-3.430264288E-2,-1.796098595E-4
4.820000000E1,4.484330415E-2,9.938068135E-1,-7.582896228E-3,-7.662722832E-3
4.580000000E1,2.054610558E-2,1.012229279E0,3.991330211E-5,-7.622809530E-3
4.340000000E1,3.887277909E-2,1.018231735E0,-3.771491463E-3,-7.642766181E-3
6.180000000E1,-9.913201897E-3,1.018487180E0,-4.196536572E-2,7.403286368E-3
4.500000000E1,2.670821449E-2,1.024393844E0,-1.141425764E-2,-3.871274718E-3
4.660000000E1,1.451171924E-2,1.024457705E0,-1.909693713E-2,7.523026274E-3
4.420000000E1,2.674014513E-2,1.030492091E0,3.851318067E-3,-7.602852879E-3
4.260000000E1,3.896857102E-2,1.036526478E0,-2.292829854E-2,1.131447439E-2
6.980000000E1,-6.466970794E-2,1.043167546E0,9.536494573E-2,-1.474670278E-2
4.100000000E1,2.683593705E-2,1.048786834E0,-3.041141151E-2,-1.540527227E-2
5.700000000E1,4.516261057E-2,1.054789290E0,9.145375771E-2,4.290364390E-3
4.180000000E1,2.076962007E-2,1.054917012E0,-7.662722832E-3,7.582896228E-3
6.100000000E1,2.474877201E-3,1.055012804E0,-4.932873878E-2,-4.218488888E-2
7.300000000E1,-1.193942833E-1,1.073946160E0,-1.520570576E-2,-7.702636134E-3
7.380000000E1,-1.071658575E-1,1.079980546E0,5.705133157E-2,2.316777835E-2
6.020000000E1,5.758262031E-2,1.097413162E0,-4.944847869E-2,-1.931646029E-2
4.020000000E1,4.541805570E-2,1.103575271E0,-4.188553911E-2,-7.842332691E-3
7.220000000E1,-9.484163965E-2,1.104309675E0,-4.182566916E-2,-1.927654699E-2
7.060000000E1,-1.070062043E-1,1.110471784E0,6.106230284E-2,-1.492631264E-2
3.940000000E1,3.938366936E-2,1.115803697E0,-1.143421429E-2,-5.986995317E-5
3.860000000E1,4.551384763E-2,1.121870014E0,-1.141425764E-2,-3.871274718E-3
5.780000000E1,5.774227351E-2,1.127904400E0,5.715111482E-2,4.110754531E-3
3.780000000E1,4.557770891E-2,1.134066509E0,-2.667983335E-2,-1.396965574E-4
5.940000000E1,3.338121366E-2,1.134130370E0,-3.051119477E-2,3.651751556E-3
7.140000000E1,-8.855180817E-2,1.140867231E0,-3.851318067E-3,7.602852879E-3
5.860000000E1,5.173981782E-2,1.146231073E0,3.891231369E-3,-1.522566241E-2
3.700000000E1,4.573736212E-2,1.164557747E0,-2.652018015E-2,-3.063093468E-2
7.460000000E1,-8.232583798E-2,1.165228290E0,6.097249791E-2,2.225008799E-3
3.620000000E1,9.458720439E-2,1.176498797E0,,
7.540000000E1,-1.036058434E-1,1.177536543E0,5.338960168E-2,-5.437714032E-3
7.620000000E1,-9.102618043E-2,1.250651653E0,8.180550589E-2,2.710890135E-2
7.700000000E1,-6.023160122E-2,1.308425352E0,7.045111820E-2,1.180341234E-2
7.780000000E1,-7.214072069E-2,1.363373442E0,7.244662551E-2,-5.337930777E-3
7.860000000E1,-6.877229046E-2,1.424339953E0,7.812381935E-2,2.314813729E-3
7.940000000E1,-6.843701872E-2,1.488371553E0,,
