 	Area	Mean	StdDev	Min	Max	XM	YM	Angle	Length
1	0.047	68.169	35.27	26.419	168.333	0	0	-58.736	2.758
2	0.062	56.067	21.474	26.827	95.333	0	0	-87.349	3.641
3	0.052	72.075	51.748	23.203	179.004	0	0	150.795	3.106
4	0.06	68.478	37.075	25.353	140.577	0	0	156.01	3.52
5	0.058	97.179	60.215	28.882	255	0	0	-3.926	3.443
6	0.054	60.481	34.247	21.333	234.667	0	0	-177.563	3.168
7	0.052	48.822	25.598	18.884	98.775	0	0	-161.665	3.051
8	0.051	51.105	33.114	19.445	138.179	0	0	-149.859	3.018
9	0.048	70.66	37.271	26.245	255	0	0	66.623	2.843
10	0.06	49.114	37.791	20.333	255	0	0	-6.31	3.524
11	0.057	46.731	24.855	27.02	155.507	0	0	59.184	3.352
12	0.054	64.528	35.159	22.962	140.483	0	0	-40.272	3.178
13	0.056	68.421	26.988	32.051	168.515	0	0	-121.512	3.318
14	0.057	61.112	28.082	24.877	117.567	0	0	-72.918	3.382
15	0.063	64.682	41.154	19.078	255	0	0	-2.064	3.74
16	0.064	50.519	28.226	27.38	255	0	0	94.848	3.785
17	0.056	40.226	22.637	24.344	173.764	0	0	161.748	3.333
18	0.053	77.933	47.41	20.828	255	0	0	-141.774	3.129
19	0.058	87.112	54.525	26.455	247	0	0	158.356	3.424
20	0.056	123.015	83.481	34.965	255	0	0	-163.856	3.33
21	0.056	81.285	53.684	27.407	255	0	0	174.463	3.316
22	0.057	76.543	38.578	27.729	242.878	0	0	-121.701	3.364
23	0.045	51.974	22.569	26.084	116.043	0	0	-70.079	2.668
24	0.051	59.387	36.778	24.301	202.697	0	0	146.399	3.012
25	0.064	54.994	30.231	21.912	163.667	0	0	1.521	3.807
26	0.053	72.722	44.509	23.779	253	0	0	-41.07	3.127
27	0.071	60.964	36.282	26.733	255	0	0	110.395	4.203
28	0.052	113.54	76.914	32.347	255	0	0	-165.432	3.079
29	0.062	70.742	56.067	21.4	255	0	0	10.797	3.685
30	0.064	64.182	44.44	21.742	255	0	0	-12.113	3.771
31	0.053	59.383	20.951	28.881	98.808	0	0	-107.464	3.142
32	0.051	51.42	28.688	26.064	161	0	0	-58.097	2.995
33	0.069	71.998	49.616	22.208	255	0	0	143.318	4.115
34	0.05	74.219	35.962	29.949	131.878	0	0	49.899	2.928
35	0.052	43.893	28.044	26.667	255	0	0	86.269	3.105
36	0.05	54.154	35.418	25.973	255	0	0	101.182	2.952
37	0.053	48.588	29.831	26.512	253	0	0	124.461	3.124
38	0.065	69.974	45.301	23.609	200.667	0	0	142.125	3.84
39	0.059	70.228	43.774	22.792	233.452	0	0	20.007	3.494
40	0.06	50.781	17.003	26.585	105.638	0	0	80.899	3.513
41	0.05	57.069	31.512	24.92	141.857	0	0	-58.756	2.954
42	0.047	57.099	44.708	19.264	255	0	0	-10.899	2.761
43	0.064	49.759	28.113	20.533	126.329	0	0	13.167	3.77
44	0.043	55.259	22.33	28.453	94.848	0	0	-81.167	2.522
45	0.055	62.221	36.966	28.278	255	0	0	51.294	3.258
46	0.062	68.166	46.847	25.616	255	0	0	110.587	3.687
47	0.071	60.072	34.689	24.971	230.667	0	0	124.52	4.189
48	0.049	68.796	48.464	24.14	255	0	0	141.862	2.89
49	0.056	67.598	52.043	25	255	0	0	62.911	3.291
50	0.066	87.565	51.828	25.685	255	0	0	141.456	3.918
51	0.067	50.438	30.033	27.333	255	0	0	91.958	3.942
52	0.063	69.789	50.16	27.203	255	0	0	63.435	3.727
53	0.044	50.987	36.342	20.486	255	0	0	1.498	2.577
54	0.046	57.407	44.523	18.803	255	0	0	-16.972	2.711
55	0.054	76.631	55.651	24.184	246	0	0	37.77	3.216
56	0.069	66.949	35.146	26.828	220.497	0	0	61.333	4.107
57	0.054	70.724	53.751	24.007	255	0	0	161.092	3.221
58	0.059	57.894	34.824	27.141	255	0	0	99.96	3.504
59	0.059	43.732	32.916	26.918	255	0	0	78.636	3.504
60	0.041	56.266	34.523	24.915	255	0	0	124.695	2.396
61	0.071	56.036	35.939	19.754	253.667	0	0	8.973	4.21
62	0.051	55.277	50.772	19.774	255	0	0	32.984	3.031
63	0.069	81.578	62.85	24.44	244.667	0	0	131.673	4.103
64	0.041	61.613	30.561	27	213.667	0	0	63.258	2.432
65	0.07	65.908	33.709	25.961	254.667	0	0	102.856	4.162
66	0.061	49.809	50.441	21.259	255	0	0	23.093	3.606
67	0.075	99.584	78.04	25.552	255	0	0	-137.303	4.444
68	0.062	56.165	31.843	28.015	255	0	0	99.462	3.687
69	0.063	54.522	43.509	22	255	0	0	1.548	3.739
70	0.057	60.768	52.382	28.509	255	0	0	55.032	3.349
71	0.058	72.337	40.143	26.023	137.467	0	0	133.603	3.418
72	0.072	81.445	55.451	25.97	254.54	0	0	117.176	4.24
73	0.064	91.683	69.615	21.686	255	0	0	147.082	3.811
74	0.054	51.526	19.485	28.778	224.333	0	0	87.274	3.186
75	0.061	62.439	44.723	24.221	255	0	0	119.081	3.603
76	0.043	80.447	54.308	24.266	255	0	0	49.808	2.557
77	0.064	63.149	51.311	28.765	255	0	0	61.369	3.76
78	0.057	52.645	36.614	25.41	255	0	0	162.288	3.376
79	0.045	49.819	44.529	25.324	255	0	0	77.033	2.626
80	0.062	63.745	40.374	25.33	255	0	0	-61.771	3.631
81	0.072	73.317	47.444	24.338	255	0	0	140.774	4.26
82	0.056	77.713	48.677	27.022	255	0	0	52.839	3.317
83	0.06	62.737	43.848	22.044	255	0	0	139.044	3.545
