X,Y
0.00000,99.648
0.01657,54.833
0.03314,44.556
0.04971,40.944
0.06628,38.500
0.08285,36.074
0.09942,34.130
0.11599,33.093
0.13256,32.704
0.14913,32.352
0.16570,32.019
0.18227,31.815
0.19884,31.278
0.21541,30.574
0.23198,29.685
0.24855,28.722
0.26512,28.426
0.28169,28.556
0.29826,28.481
0.31483,27.963
0.33140,27.333
0.34797,27.315
0.36454,27.296
0.38111,27.611
0.39768,27.296
0.41425,26.926
0.43082,26.778
0.44739,26.907
0.46396,26.815
0.48053,27.519
0.49710,28.241
0.51367,28.370
0.53024,27.778
0.54681,27.093
0.56338,26.093
0.57995,25.130
0.59652,24.574
0.61309,24.259
0.62966,24.278
0.64623,24.611
0.66280,24.778
0.67937,25.315
0.69594,27.352
0.71251,29.056
0.72908,29.500
0.74565,29.722
0.76222,29.963
0.77879,30.315
0.79536,31.056
0.81193,30.556
0.82850,28.759
0.84507,27.685
0.86164,28.278
0.87821,28.500
0.89478,29.093
0.91135,29.167
0.92792,28.778
0.94449,28.352
0.96106,28.556
0.97763,29.111
0.99420,29.630
1.01077,29.500
1.02734,29.241
1.04391,29.185
1.06048,29.407
1.07705,29.500
1.09362,29.333
1.11019,29.093
1.12676,28.537
1.14333,28.241
1.15990,28.074
1.17647,27.778
1.19304,27.444
1.20961,27.574
1.22618,28.056
1.24275,28.444
1.25932,29.389
1.27589,29.815
1.29246,30.333
1.30903,30.815
1.32560,31.333
1.34217,32.167
1.35874,32.870
1.37531,33.130
1.39188,32.907
1.40845,32.111
1.42502,31.667
1.44159,31.222
1.45816,30.574
1.47473,30.556
1.49130,30.759
1.50787,32.111
1.52444,33.444
1.54101,35.574
1.55758,38.944
1.57415,47.852
1.59072,68.259
1.60729,91.222
1.62386,107.519
1.64043,114.926
1.65700,112.500
1.67357,102.537
1.69014,82.667
1.70671,57.185
1.72328,41.315
1.73985,38.074
1.75642,36.759
1.77299,35.704
1.78956,36.315
1.80613,37.574
1.82270,40.389
1.83927,43.852
1.85584,46.537
1.87241,46.222
1.88898,43.481
1.90555,41.370
1.92212,39.037
1.93869,36.907
1.95526,35.315
1.97183,34.796
1.98840,34.944
2.00497,34.537
2.02154,34.167
2.03811,34.130
2.05468,34.611
2.07125,36.056
2.08782,38.019
2.10439,40.333
2.12096,42.759
2.13753,45.000
2.15410,46.000
2.17067,45.537
2.18724,45.204
2.20381,45.019
2.22038,43.685
2.23695,42.741
2.25352,41.519
2.27009,39.444
2.28666,38.389
2.30323,37.778
2.31980,36.611
2.33637,36.204
2.35294,36.648
2.36951,37.481
2.38608,38.648
2.40265,39.926
2.41922,41.130
2.43579,42.222
2.45236,42.722
2.46893,42.722
2.48550,42.611
2.50207,43.056
2.51864,44.185
2.53521,47.185
2.55178,55.315
2.56835,75.648
2.58492,92.796
2.60149,99.093
2.61806,100.556
2.63463,97.222
2.65120,80.407
2.66777,59.556
2.68434,52.185
2.70091,48.222
2.71748,46.741
2.73405,46.815
2.75062,47.685
2.76719,49.278
2.78376,50.315
2.80033,50.370
2.81690,49.222
2.83347,47.741
2.85004,47.648
2.86661,48.870
2.88318,50.056
2.89975,50.500
2.91632,50.407
2.93289,51.167
2.94946,52.278
2.96603,52.352
2.98260,52.741
2.99917,53.704
3.01574,56.056
3.03231,58.556
3.04888,59.426
3.06545,59.259
3.08202,57.852
3.09859,56.444
3.11516,55.778
3.13173,56.000
3.14830,57.056
3.16487,58.722
3.18144,61.722
3.19801,64.037
3.21458,65.685
3.23115,66.352
3.24772,65.167
3.26429,63.593
3.28086,63.222
3.29743,64.167
3.31400,64.796
3.33057,64.852
3.34714,65.537
3.36371,67.352
3.38028,69.926
3.39685,73.019
3.41342,75.278
3.42999,77.204
3.44656,78.537
3.46313,80.685
3.47970,82.537
3.49627,82.815
3.51284,82.778
3.52941,84.426
3.54598,89.574
3.56255,95.778
3.57912,99.981
3.59569,107.222
3.61226,125.296
3.62883,150.963
3.64540,172.796
3.66197,188.426
3.67854,196.444
3.69511,202.556
3.71168,199.278
3.72825,193.667
3.74482,183.556
3.76139,165.148
3.77796,141.056
3.79453,120.111
3.81110,109.333
3.82767,107.315
3.84424,107.333
3.86081,106.630
3.87738,106.296
3.89395,106.130
3.91052,106.333
3.92709,105.907
3.94366,105.500
3.96023,105.278
3.97680,106.056
3.99337,107.204
4.00994,108.704
4.02651,109.315
4.04308,109.241
4.05965,108.833
