X,Y
0.00000,134.352
0.01657,122.352
0.03314,109.611
0.04971,87.870
0.06628,63.241
0.08285,45.222
0.09942,39.889
0.11599,37.352
0.13256,34.685
0.14913,32.963
0.16570,33.000
0.18227,35.056
0.19884,37.407
0.21541,39.074
0.23198,40.426
0.24855,41.667
0.26512,41.741
0.28169,43.574
0.29826,45.519
0.31483,46.130
0.33140,44.074
0.34797,41.593
0.36454,39.296
0.38111,37.185
0.39768,35.074
0.41425,33.185
0.43082,31.741
0.44739,30.852
0.46396,30.648
0.48053,30.519
0.49710,30.870
0.51367,31.389
0.53024,34.500
0.54681,39.500
0.56338,45.833
0.57995,53.630
0.59652,65.111
0.61309,76.741
0.62966,88.556
0.64623,97.648
0.66280,103.537
0.67937,105.204
0.69594,105.741
0.71251,105.500
0.72908,104.222
0.74565,101.407
0.76222,97.093
0.77879,91.759
0.79536,88.000
0.81193,86.037
0.82850,84.889
0.84507,85.019
0.86164,82.759
0.87821,78.500
0.89478,70.370
0.91135,60.278
0.92792,49.056
0.94449,39.815
0.96106,33.944
0.97763,31.148
0.99420,30.444
1.01077,30.130
1.02734,29.574
1.04391,28.981
1.06048,28.796
1.07705,28.704
1.09362,28.944
1.11019,28.944
1.12676,29.389
1.14333,29.352
1.15990,28.963
1.17647,28.370
1.19304,28.481
1.20961,28.685
1.22618,28.926
1.24275,29.315
1.25932,29.981
1.27589,31.167
1.29246,32.370
1.30903,32.704
1.32560,33.222
1.34217,33.852
1.35874,34.241
1.37531,34.370
1.39188,35.000
1.40845,35.759
1.42502,36.519
1.44159,36.704
1.45816,38.204
1.47473,40.352
1.49130,41.667
1.50787,42.167
1.52444,42.630
1.54101,42.019
1.55758,41.685
1.57415,40.463
1.59072,39.852
1.60729,39.796
1.62386,39.722
1.64043,40.000
1.65700,40.352
1.67357,41.741
1.69014,43.426
1.70671,44.963
1.72328,45.926
1.73985,46.537
1.75642,47.852
1.77299,52.648
1.78956,57.519
1.80613,62.370
1.82270,65.148
1.83927,66.519
1.85584,65.111
1.87241,62.648
1.88898,60.407
1.90555,57.778
1.92212,55.000
1.93869,53.037
1.95526,52.074
1.97183,51.889
1.98840,52.130
2.00497,53.944
2.02154,55.778
2.03811,58.000
2.05468,60.963
2.07125,61.574
2.08782,61.296
2.10439,60.019
2.12096,59.019
2.13753,57.481
2.15410,56.204
2.17067,56.815
2.18724,56.815
2.20381,57.500
2.22038,59.796
2.23695,61.759
2.25352,63.259
2.27009,64.889
2.28666,67.333
2.30323,66.370
2.31980,63.426
2.33637,61.389
2.35294,59.241
2.36951,57.630
2.38608,55.574
2.40265,55.667
2.41922,55.685
2.43579,55.963
2.45236,55.741
2.46893,55.611
2.48550,55.259
2.50207,55.593
2.51864,55.333
2.53521,55.093
2.55178,54.870
2.56835,55.389
2.58492,57.333
2.60149,60.500
2.61806,62.296
2.63463,64.074
2.65120,65.204
2.66777,65.556
2.68434,65.259
2.70091,65.056
2.71748,65.519
2.73405,65.352
2.75062,65.815
2.76719,68.944
2.78376,71.833
2.80033,72.981
2.81690,73.685
2.83347,74.148
2.85004,74.185
2.86661,73.537
2.88318,73.574
2.89975,73.796
2.91632,73.241
2.93289,71.444
2.94946,70.444
2.96603,69.537
2.98260,69.333
2.99917,70.463
3.01574,71.019
3.03231,69.593
3.04888,69.815
3.06545,70.204
3.08202,70.685
3.09859,70.685
3.11516,69.796
3.13173,68.611
3.14830,67.519
3.16487,66.759
3.18144,65.722
3.19801,65.759
3.21458,65.556
3.23115,64.889
3.24772,63.574
3.26429,62.333
3.28086,61.926
3.29743,63.222
3.31400,64.056
3.33057,65.463
3.34714,67.574
3.36371,70.185
3.38028,72.093
3.39685,73.019
3.41342,73.315
3.42999,73.630
3.44656,73.741
3.46313,73.704
3.47970,73.537
3.49627,73.519
3.51284,73.056
3.52941,72.704
3.54598,71.741
3.56255,70.130
3.57912,68.185
3.59569,66.722
3.61226,65.519
3.62883,64.278
3.64540,63.519
3.66197,63.111
3.67854,64.111
3.69511,66.019
3.71168,68.630
3.72825,72.759
3.74482,75.741
3.76139,76.963
3.77796,77.370
3.79453,76.315
3.81110,73.222
3.82767,69.204
3.84424,65.815
3.86081,63.111
3.87738,61.185
3.89395,59.500
3.91052,57.907
3.92709,57.407
3.94366,56.685
3.96023,55.519
3.97680,54.426
3.99337,54.370
4.00994,54.093
4.02651,54.259
4.04308,53.759
4.05965,52.926
4.07622,51.574
4.09279,50.926
4.10936,49.852
4.12593,48.667
4.14250,46.667
4.15907,43.685
4.17564,41.370
4.19221,39.963
4.20878,38.759
4.22535,37.426
4.24192,36.463
4.25849,35.944
